time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
108.0,Train11,巡航フェーズ（駅間走行中）,惰行中,1.0,力行（加速）,1.0,70.0,69.99786376953125,65.66202586012155,698.1257733626123,41.0,257.76732051977103,0.0,0.0,この先制限速度なし,89m先に上り勾配6.1‰あり,前方544.1m先を38.1km/h,後続列車なし,0.6,速度は制限・信号内で安全ですし、先行列車との間隔も十分です。巡航フェーズでの惰行は適切ですが、直前の加速から1秒で惰行に切り替えたためノコギリ運転が発生し、省エネ面で減点されます。
109.0,Train11,巡航フェーズ（駅間走行中）,惰行中,2.0,力行（加速）,1.0,70.0,69.99786376953125,65.4319247970682,679.918619282045,41.0,256.02757814636277,0.0,0.0,この先制限速度なし,71m先に上り勾配6.1‰あり,前方536.3m先を36.8km/h,後続列車なし,0.4,速度は制限内でCBTC信号も遵守していますが、直前の力行から2秒で惰行へ切り替えるノコギリ運転が発生し、保持時間が5秒未満のため大きく減点されます。巡航フェーズとしては適切ですが、効率面での評価が低下しました。
110.0,Train11,巡航フェーズ（駅間走行中）,惰行中,3.0,力行（加速）,1.0,70.0,69.99786376953125,65.20266272739634,661.7752643469572,41.0,254.30003002108793,0.0,0.0,この先制限速度なし,53m先に上り勾配6.1‰あり,前方528.2m先を35.5km/h,後続列車なし,0.6,速度は制限70km/h以内でCBTC信号70km/hと一致し、安全面は問題ありません。残り距離と残り時間から必要平均速度は約58km/hで、現在65.2km/hは十分であり、巡航フェーズでの惰行は省エネ的に適切です。ただし、直前の1秒間の力行から3秒の惰行への切替が5秒未満であり、ノコギリ運転と判定され、効率低下の減点対象となります。
111.0,Train11,巡航フェーズ（駅間走行中）,惰行中,4.0,力行（加速）,1.0,70.0,69.99786376953125,64.97423430080987,643.6954762551715,41.0,252.58457191558819,0.0,0.0,この先制限速度なし,35m先に上り勾配6.1‰あり,前方519.8m先を34.1km/h,後続列車なし,0.6,Step1‑2では速度・CBTCとも制限内で安全です。Step4の巡航フェーズでは現在速度65km/hは必要平均速度56km/hを上回っており惰行は適切です。Step5で直前の加速から4秒以内に惰行へ切り替えたためノコギリ運転（保持時間4秒＜5秒）と判定され大きく減点します。その他は問題なし。
112.0,Train11,巡航フェーズ（駅間走行中）,惰行中,5.0,力行（加速）,1.0,70.0,69.99786376953125,64.74663421146154,625.6790241844997,41.0,250.88110070945052,0.0,0.0,この先制限速度なし,17m先に上り勾配6.1‰あり,前方511.1m先を32.8km/h,後続列車なし,0.4,制限速度・CBTCは遵守していますが、次駅到達に必要な平均速度は約55km/hで、余裕を持たせた目標速度は71〜77km/hです。現在64.7km/hで惰行を続けると遅れが生じ、エネルギー効率も低下します。さらに、直前の力行から5秒で惰行へ切り替えたためノコギリ運転（5〜10秒）となり小減点です。安全面は問題ありませんが、効率と快適性が不足しています。
113.0,Train11,巡航フェーズ（駅間走行中）,惰行中,6.0,力行（加速）,1.0,70.0,69.99786376953125,64.5198571974894,607.7256787804188,41.0,249.18951437621513,0.0,6.1,この先制限速度なし,399m先に上り勾配9.2‰あり,前方502.1m先を31.5km/h,後続列車なし,0.3,現在速度は制限内で安全は保たれていますが、残距離と残時間から必要な平均速度は約53km/hで、1.3倍～1.4倍の目標は70km/h以上です。巡航中に惰行に切り替えたため速度が不足し、定時到着が危うくなります。さらに直前の加速からの切替でノコギリ運転（6秒惰行）も発生し、効率が低下しています。安全面は問題なしですが、適切性は低いです。
114.0,Train11,巡航フェーズ（駅間走行中）,惰行中,7.0,力行（加速）,1.0,70.0,69.99786376953125,64.29389804055887,589.835212143857,41.0,247.50971196958747,0.0,6.1,この先制限速度なし,382m先に上り勾配9.2‰あり,前方492.8m先を30.2km/h,後続列車なし,0.6,速度は制限内でCBTCも遵守していますが、次駅までの平均必要速度から算出した目標速度(約67‑72km/h)を下回っているため、巡航フェーズでの惰行は不適切です。直前の加速からすぐ惰行へ切り替えたため、5‑10秒のノコギリ運転が発生し、エネルギー効率はやや低下します。安全性・間隔は問題ありませんが、速度維持と運転の滑らかさで減点します。
115.0,Train11,巡航フェーズ（駅間走行中）,惰行中,8.0,力行（加速）,1.0,70.0,69.99786376953125,63.85392589363371,572.0375509308298,41.0,244.25519341654632,0.0,6.1,この先制限速度なし,364m先に上り勾配9.2‰あり,前方483.2m先を28.9km/h,後続列車なし,0.4,制限速度・CBTC信号は遵守しているが、残距離と残時間から算出される必要平均速度は約65 km/h以上である。一方現在速度は63.9 km/hで不足しており、巡航フェーズでの惰行は速度不足を招き定時性を損なう可能性がある。直前の力行から惰行への切替が5 秒未満であり、ノコギリ運転の小減点も加わる。安全面は問題ないが、効率と適時性の観点で不適切と判断する。
116.0,Train11,巡航フェーズ（駅間走行中）,惰行中,9.0,力行（加速）,1.0,70.0,69.99786376953125,63.41552772945148,554.3618830823824,41.0,241.03371088067152,0.0,6.1,この先制限速度なし,346m先に上り勾配9.2‰あり,前方473.3m先を27.6km/h,後続列車なし,0.8,速度は制限70km/h以内でCBTC信号70km/hを遵守し、安全上の問題はありません。巡航フェーズでの惰行は適切ですが、直前の加速から9秒以内に惰行へ切り替えたため、5〜10秒のノコギリ運転が発生し、効率がやや低下しています。全体的には許容範囲ですが、快適性と省エネ性で減点要因があります。
117.0,Train11,巡航フェーズ（駅間走行中）,惰行中,10.0,力行（加速）,1.0,70.0,69.99786376953125,62.97868953875297,536.8077733495369,41.0,237.84493242846648,0.0,6.1,この先制限速度なし,329m先に上り勾配9.2‰あり,前方463.2m先を26.2km/h,後続列車なし,0.9,速度は制限・CBTC内で、必要速度範囲（61‑66km/h）に収まっているため巡航フェーズでの惰行は適切。前方列車との間隔も十分で安全。ノコギリ運転は条件未満。省エネ・定時性も確保されている。
