time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,ブレーキ（減速）,30.0,70.0,70.0,0.0,2178.000000000001,180.0,0.0,0.0,-2.1,この先制限速度なし,387m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに70km/hで現在0km/h、加速フェーズでの力行は駅出発直後の正常な操作です。前方に先行列車も後続列車もなく、速度超過や信号無視はありません。直前のブレーキは30秒と長く、ノコギリ運転の条件を満たさないため減点要因もなく、定時到着に必要な平均速度を考慮しても加速は適切です。したがって評価は最高とします。
1.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,ブレーキ（減速）,30.0,70.0,70.0,3.1655461647722727,2177.552031426483,179.0,1.4360229636203226,0.0,-2.1,この先制限速度なし,386m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,現在速度は制限・CBTC信号内で、加速フェーズにあり次駅到達に必要な平均速度約44km/hを考慮すれば加速は適切です。直前の減速は30秒続き、保持時間は5秒未満ではないためノコギリ運転は発生せず、安全・時刻遵守・省エネの観点でも問題ありません。先行列車・後続列車が不在で間隔問題もなく、現在の力行は必要速度に向けた適切な加速であり、評価は高いです。
2.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,ブレーキ（減速）,30.0,70.0,70.0,6.166266910487602,2176.2480601784305,178.0,3.8252323424340187,0.0,-2.1,この先制限速度なし,384m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で6.2km/hと遵守しており、加速フェーズで必要速度（約44km/h）に向けて力行を継続している点は適切です。直前の減速は30秒と保持時間が長く、ノコギリ運転の条件を満たさないため減点対象外です。先行・後続列車もなく、定時到着に余裕があるものの、加速は必要最小限で省エネ性も許容範囲です。総合的に適切な操作と評価できます。
3.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,ブレーキ（減速）,30.0,70.0,70.0,9.01037060950777,2174.132710937684,177.0,7.013257309345573,0.0,-2.1,この先制限速度なし,381m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・信号速度ともに70km/hで現在9km/hと安全域が大きく、先行列車もなし。加速フェーズでの力行は必要速度（約44km/h）に向けた適切な操作で、ノコギリ運転の条件も満たさず、エネルギー無駄も少ないため高く評価できる。
4.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,ブレーキ（減速）,30.0,70.0,70.0,11.705695795979539,2171.248380451793,176.0,10.863988502661705,0.0,-2.1,この先制限速度なし,377m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、先行列車も後続列車もいないため安全上の問題はありません。加速フェーズで必要速度（約44km/h）に向けて加速を開始しており、直前のブレーキからの切り替えは適切です。ノコギリ運転の条件も満たさず、エネルギー面でも許容範囲です。したがって現在の力行は妥当と判断します。
5.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,ブレーキ（減速）,30.0,70.0,70.0,14.259723701053257,2167.6353385103334,175.0,15.257685474202574,0.0,-2.1,この先制限速度なし,373m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTCともに遵守しており、加速フェーズでの力行は適切です。直前のブレーキは30秒と長く、現在の加速保持時間は6秒でノコギリ運転条件を満たさず、列間距離も問題ありません。エネルギー効率は若干改善余地がありますが、安全・信号遵守の観点からは高評価です。
6.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,ブレーキ（減速）,30.0,70.0,70.0,16.679590829763864,2163.3318254315873,174.0,20.089261355397895,0.0,-2.1,この先制限速度なし,368m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに70km/hで現在速度は16.7km/hと安全域内です。次駅到達に必要な平均速度は約45km/hで、加速フェーズでの力行は速度到達に不可欠です。直前の減速は30秒と長く、保持時間が5秒未満のノコギリ運転条件を満たさないため減点対象外です。先行・後続列車もなく、定時遅れも0秒で、必要な加速と評価できます。
7.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,ブレーキ（減速）,30.0,70.0,70.0,18.972101512263023,2158.374146057838,173.0,25.266730186273776,0.0,-2.1,この先制限速度なし,362m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,制限速度・CBTC信号ともに遵守され、先行列車も後続列車もなしで安全性は確保されています。加速フェーズでの力行は適切で、ノコギリ運転も発生していません。ただし、必要平均速度に対しやや過剰に加速しており、省エネ観点で若干の改善余地があります。
8.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,ブレーキ（減速）,30.0,70.0,70.0,21.143740370988105,2152.7967602747963,172.0,30.709803262816266,0.0,-2.1,この先制限速度なし,356m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、速度超過はありません。加速フェーズで必要速度に向けて加速を継続している点は適切です。前後列車なしでノコギリ運転の条件も満たさず、停止位置評価は対象外です。省エネ観点で余裕はありますが、加速は必要なため評価は高く、0.9とします。
9.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,10.0,ブレーキ（減速）,30.0,70.0,70.0,23.200684653441794,2146.6323700855482,171.0,36.348621758647695,0.0,-2.1,この先制限速度なし,349m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守されており、加速フェーズで力行を継続している点は適切です。保持時間が10秒以上でノコギリ運転の条件を満たさず、前後列車もいないため間隔問題もありません。速度はまだ低いものの、加速開始直後であり、定時性は後段の課題となるため、現在の操作は全体的に妥当と判断します。
