station,train0,train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11,train12,train13,train14,train15,train16,train17,train18,train19,train20,train21,train22,train23,train24,train25
西船橋,0,0,165,385,0,740,835,1040,0,1315,1415,0,1615,1855,2025,0,2215,2390,0,2670,2775,0,2980,3110,3295,0
原木中山,0,180,0,565,0,0,1015,0,0,0,1595,0,0,2035,0,0,2395,0,0,0,2955,0,3330,0,3475,0
妙典,0,450,0,745,610,0,1320,0,1035,0,1890,1580,0,2300,0,2025,2715,0,2435,0,3135,3005,3530,0,3675,3395
行徳,0,580,0,875,740,0,1450,0,1165,0,2020,1715,0,2430,0,2155,2850,0,2565,0,3270,3135,3665,0,3810,3530
南行徳,0,720,0,1015,880,0,1590,0,1305,0,2155,1855,0,2570,0,2290,2990,0,2700,0,3410,3270,3805,0,3950,3670
浦安,0,845,705,1135,1005,1290,1710,1575,1430,1845,2275,1980,2120,2690,2555,2415,3115,2975,2820,3250,3535,3395,3930,3670,4075,3795
葛西,0,1020,880,1310,1180,1465,1885,1750,1605,2020,2450,2155,2295,2865,2730,2590,3290,3150,2995,3425,3710,3570,4105,3845,4250,3970
西葛西,0,1155,1015,1445,1315,1600,2020,1885,1740,2155,2595,2300,2440,3010,2875,2735,3430,3295,3135,3565,3845,3710,4240,3980,4385,4105
南砂町,0,1380,1245,1680,1550,1835,2255,2120,1975,2390,2830,2535,2675,3245,3110,2970,3665,3530,3370,3800,4080,3945,4475,4215,4620,4340
東陽町,0,1555,1405,1845,1715,2000,2420,2285,2140,2555,2995,2700,2840,3410,3275,3135,3840,3695,3545,3975,4255,4120,4650,4390,4795,4515
木場,0,1675,1525,1980,1835,2135,2555,2420,2275,2690,3130,2835,2975,3545,3410,3270,3975,3830,3680,4110,4390,4255,4785,4525,4930,4650
門前仲町,0,1800,1650,2105,1960,2265,2685,2550,2405,2820,3260,2965,3105,3675,3540,3400,4105,3960,3810,4240,4520,4385,4915,4655,5070,4780
茅場町,0,2015,1865,2320,2175,2480,2910,2775,2620,3045,3485,3190,3330,3900,3765,3625,4330,4185,4035,4465,4745,4610,5140,4880,5295,5005
日本橋,0,2125,1970,2430,2285,2590,3020,2885,2730,3155,3595,3300,3440,4010,3875,3735,4440,4295,4145,4575,4855,4720,5250,4990,5405,5115
大手町,0,2240,2085,2545,2400,2705,3135,3000,2845,3270,3710,3415,3555,4125,3990,3850,4555,4410,4260,4690,4970,4835,5365,5105,5525,5230
