station,train0,train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11,train12,train13,train14,train15,train16,train17,train18,train19,train20,train21,train22,train23,train24,train25
西船橋,0,28,38,63,0,78,72,47,0,65,54,0,57,1855,2025,0,2215,2390,0,2670,2775,0,2980,3110,3295,0
原木中山,0,-8,2,25,0,41,38,12,0,28,31,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
妙典,0,8,16,38,3,37,15,6,18,18,12,18,18,0,0,2025,0,0,2435,0,0,3005,0,0,0,3395
行徳,0,3,-15,38,0,-15,17,-55,21,-41,21,7,-30,0,0,0,0,0,0,0,0,0,0,0,0,0
南行徳,0,-4,4,31,-5,-30,10,-19,28,-57,26,-2,-55,0,0,0,0,0,0,0,0,0,0,0,0,0
浦安,0,9,36,30,-12,9,11,4,27,0,48,-10,-36,0,0,0,0,0,0,0,0,0,0,0,0,0
葛西,0,20,50,53,-7,30,11,13,33,0,58,-15,-32,0,0,0,0,0,0,0,0,0,0,0,0,0
西葛西,0,35,61,72,0,48,17,34,41,17,68,-10,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
南砂町,0,73,75,48,33,31,20,21,29,29,52,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0
東陽町,0,69,87,49,24,38,22,25,40,43,111,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0
木場,0,86,115,50,45,39,47,32,41,47,135,49,59,0,0,0,0,0,0,0,0,0,0,0,0,0
門前仲町,0,122,139,107,97,107,119,109,112,129,167,126,131,0,0,0,0,0,0,0,0,0,0,0,0,0
茅場町,0,121,128,110,94,106,134,127,136,153,185,148,156,0,0,0,0,0,0,0,0,0,0,0,0,0
日本橋,0,125,147,120,108,129,142,146,163,175,218,162,228,0,0,0,0,0,0,0,0,0,0,0,0,0
大手町,0,127,155,127,111,138,150,154,172,181,226,163,228,0,0,0,0,0,0,0,0,0,0,0,0,0
