station,train0,train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11,train12,train13,train14,train15,train16,train17,train18,train19,train20,train21,train22,train23,train24,train25
西船橋,0,64,36,0,47,25,0,48,72,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
原木中山,0,11,0,0,10,0,0,0,8,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
妙典,0,8,0,61,-12,0,65,0,7,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
行徳,0,16,0,10,8,0,2,0,2,10,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南行徳,0,7,0,5,11,0,5,0,6,11,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浦安,0,12,-3,7,4,-7,4,-3,2,23,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
葛西,0,4,10,7,3,-5,-4,5,28,6,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西葛西,0,31,29,21,20,10,19,21,36,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南砂町,0,14,8,5,8,-3,-4,0,8,-3,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東陽町,0,12,11,16,11,-1,2,10,17,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
木場,0,4,5,10,2,-2,4,1,11,28,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
門前仲町,0,22,18,29,18,3,16,8,15,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茅場町,0,24,20,25,27,4,10,13,15,-11,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本橋,0,16,9,24,22,-1,14,9,8,-17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大手町,0,12,0,14,18,-2,4,4,2,-18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
