time,position,speed,action
0,21.112,0.0,Actions.acceleration
1,21.112448,3.17,Actions.acceleration
2,21.113752,6.17,Actions.acceleration
3,21.115867,9.01,Actions.acceleration
4,21.118752,11.71,Actions.acceleration
5,21.122365,14.26,Actions.acceleration
6,21.126668,16.68,Actions.acceleration
7,21.131626,18.97,Actions.acceleration
8,21.137203,21.14,Actions.acceleration
9,21.143368,23.2,Actions.acceleration
10,21.150088,25.15,Actions.acceleration
11,21.157335,26.99,Actions.acceleration
12,21.16508,28.74,Actions.acceleration
13,21.173298,30.39,Actions.acceleration
14,21.181963,31.96,Actions.acceleration
15,21.191043,33.39,Actions.acceleration
16,21.200509,34.74,Actions.acceleration
17,21.210341,36.02,Actions.acceleration
18,21.220518,37.23,Actions.acceleration
19,21.231028,38.43,Actions.acceleration
20,21.24186,39.54,Actions.acceleration
21,21.252991,40.59,Actions.acceleration
22,21.264406,41.58,Actions.acceleration
23,21.27609,42.53,Actions.acceleration
24,21.288035,43.47,Actions.acceleration
25,21.300242,44.41,Actions.acceleration
26,21.312707,45.33,Actions.acceleration
27,21.325427,46.24,Actions.acceleration
28,21.338397,47.13,Actions.acceleration
29,21.351613,48.01,Actions.coasting
30,21.364936,47.91,Actions.acceleration
31,21.378366,48.78,Actions.coasting
32,21.391902,48.68,Actions.coasting
33,21.405409,48.58,Actions.coasting
34,21.418889,48.48,Actions.coasting
35,21.432341,48.38,Actions.coasting
36,21.445765,48.28,Actions.coasting
37,21.459161,48.18,Actions.coasting
38,21.47253,48.08,Actions.coasting
39,21.485872,47.98,Actions.acceleration
40,21.499321,48.84,Actions.coasting
41,21.512895,48.9,Actions.coasting
42,21.526486,48.96,Actions.coasting
43,21.540094,49.02,Actions.coasting
44,21.553718,49.08,Actions.coasting
45,21.56736,49.14,Actions.coasting
46,21.581018,49.2,Actions.coasting
47,21.594693,49.26,Actions.coasting
48,21.608385,49.32,Actions.coasting
49,21.622093,49.38,Actions.coasting
50,21.635818,49.44,Actions.coasting
51,21.649559,49.5,Actions.coasting
52,21.663287,49.33,Actions.coasting
53,21.676965,49.15,Actions.coasting
54,21.690595,48.98,Actions.coasting
55,21.704175,48.8,Actions.coasting
56,21.717707,48.63,Actions.coasting
57,21.731191,48.45,Actions.coasting
58,21.744626,48.28,Actions.coasting
59,21.758014,48.11,Actions.coasting
60,21.771353,47.94,Actions.acceleration
61,21.784779,48.73,Actions.coasting
62,21.79829,48.55,Actions.coasting
63,21.811752,48.38,Actions.coasting
64,21.825166,48.2,Actions.coasting
65,21.838532,48.03,Actions.coasting
66,21.85185,47.86,Actions.acceleration
67,21.865256,48.65,Actions.coasting
68,21.878746,48.48,Actions.coasting
69,21.892187,48.3,Actions.coasting
70,21.90558,48.13,Actions.coasting
71,21.918926,47.96,Actions.acceleration
72,21.932358,48.75,Actions.coasting
73,21.945875,48.57,Actions.coasting
74,21.959343,48.4,Actions.coasting
75,21.972763,48.23,Actions.coasting
76,21.986135,48.05,Actions.coasting
77,21.999459,47.88,Actions.acceleration
78,22.012871,48.67,Actions.coasting
79,22.026367,48.5,Actions.coasting
80,22.039814,48.32,Actions.coasting
81,22.053213,48.15,Actions.coasting
82,22.066564,47.98,Actions.acceleration
83,22.080003,48.77,Actions.coasting
84,22.093525,48.59,Actions.coasting
85,22.106999,48.42,Actions.coasting
86,22.120425,48.25,Actions.coasting
87,22.133802,48.07,Actions.coasting
88,22.147132,47.9,Actions.acceleration
89,22.160549,48.69,Actions.coasting
90,22.17405,48.52,Actions.coasting
91,22.187503,48.34,Actions.coasting
92,22.200908,48.17,Actions.coasting
93,22.214264,48.0,Actions.acceleration
94,22.227708,48.79,Actions.coasting
95,22.241236,48.61,Actions.coasting
96,22.254715,48.44,Actions.coasting
97,22.268146,48.27,Actions.coasting
98,22.281529,48.09,Actions.coasting
99,22.294864,47.92,Actions.acceleration
100,22.308263,48.44,Actions.coasting
101,22.321634,47.83,Actions.acceleration
102,22.33497,48.19,Actions.coasting
103,22.348269,47.57,Actions.acceleration
104,22.361534,47.93,Actions.acceleration
105,22.374898,48.29,Actions.coasting
106,22.388225,47.67,Actions.acceleration
107,22.401518,48.03,Actions.coasting
108,22.414773,47.42,Actions.acceleration
109,22.427996,47.78,Actions.acceleration
110,22.441319,48.14,Actions.coasting
111,22.454604,47.52,Actions.acceleration
112,22.467856,47.89,Actions.acceleration
113,22.481208,48.24,Actions.coasting
114,22.494521,47.63,Actions.acceleration
115,22.507822,48.24,Actions.coasting
116,22.521198,48.07,Actions.coasting
117,22.534526,47.89,Actions.acceleration
118,22.547941,48.69,Actions.coasting
119,22.561441,48.51,Actions.coasting
120,22.574892,48.34,Actions.coasting
121,22.588295,48.16,Actions.coasting
122,22.60165,47.99,Actions.acceleration
123,22.615092,48.78,Actions.coasting
124,22.628618,48.61,Actions.coasting
125,22.642096,48.43,Actions.coasting
126,22.655525,48.26,Actions.coasting
127,22.668906,48.09,Actions.coasting
128,22.682239,47.91,Actions.acceleration
129,22.69566,48.71,Actions.coasting
130,22.709151,48.39,Actions.coasting
131,22.722538,48.0,Actions.acceleration
132,22.735952,48.58,Actions.coasting
133,22.74939,48.19,Actions.coasting
134,22.762721,47.8,Actions.acceleration
135,22.77608,48.38,Actions.coasting
136,22.789464,47.99,Actions.acceleration
137,22.802876,48.57,Actions.coasting
138,22.816312,48.18,Actions.coasting
139,22.829641,47.79,Actions.acceleration
140,22.842997,48.37,Actions.coasting
141,22.856379,47.98,Actions.acceleration
142,22.869789,48.56,Actions.coasting
143,22.883223,48.17,Actions.coasting
144,22.896549,47.78,Actions.acceleration
145,22.909904,48.36,Actions.coasting
