time,position,kilometrage,speed,action
0,0.000000,16.011800,0.0348,P1
1,0.000497,16.011303,3.5086,P1
2,0.001958,16.009842,6.9771,P1
3,0.004382,16.007418,10.4396,P1
4,0.007767,16.004033,13.8956,P1
5,0.012111,15.999689,17.3444,P1
6,0.017412,15.994388,20.7857,P1
7,0.023668,15.988132,24.2188,P1
8,0.030876,15.980924,27.6431,P1
9,0.039033,15.972767,31.0583,P1
10,0.048139,15.963661,34.4636,P1
11,0.058188,15.953612,37.8586,P1
12,0.069179,15.942621,41.2246,P1
13,0.081082,15.930718,44.4713,P1
14,0.093895,15.917905,47.7128,P1
15,0.107369,15.904431,48.7461,C
16,0.120952,15.890848,49.0484,C
17,0.134619,15.877181,49.3497,C
18,0.148369,15.863431,49.6498,C
19,0.162202,15.849598,49.9488,C
20,0.176123,15.835677,50.2918,C
21,0.190145,15.821655,50.6624,C
22,0.204270,15.807530,51.0315,C
23,0.218497,15.793303,51.3992,C
24,0.232826,15.778974,51.7655,C
25,0.247256,15.764544,52.1304,C
26,0.261788,15.750012,52.4939,C
27,0.276420,15.735380,52.8560,C
28,0.291153,15.720647,53.2166,C
29,0.305986,15.705814,53.5759,C
30,0.320918,15.690882,53.9337,C
31,0.335950,15.675850,54.2901,C
32,0.351080,15.660720,54.6451,C
33,0.366309,15.645491,54.9987,C
34,0.381636,15.630164,55.3509,C
35,0.397060,15.614740,55.7017,C
36,0.412582,15.599218,56.0510,C
37,0.428201,15.583599,56.3990,C
38,0.443916,15.567884,56.7455,C
39,0.459727,15.552073,57.0906,C
40,0.475634,15.536166,57.4343,C
41,0.491636,15.520164,57.7765,C
42,0.507733,15.504067,58.1174,C
43,0.523924,15.487876,58.4569,C
44,0.540209,15.471591,58.7949,C
45,0.556589,15.455211,59.1315,C
46,0.573061,15.438739,59.4667,C
47,0.589626,15.422174,59.8005,C
48,0.606284,15.405516,60.1329,C
49,0.623034,15.388766,60.4638,C
50,0.639876,15.371924,60.7934,C
51,0.656809,15.354991,61.1215,C
52,0.673833,15.337967,61.4483,C
53,0.690948,15.320852,61.7736,C
54,0.708153,15.303647,62.0782,C
55,0.725351,15.286449,61.7566,C
56,0.742461,15.269339,61.4363,C
57,0.759482,15.252318,61.1174,C
58,0.776414,15.235386,60.8000,C
59,0.792962,15.218838,58.1883,B1
60,0.808733,15.203067,55.3882,B1
61,0.823727,15.188073,52.5994,B1
62,0.837948,15.173852,49.8214,B1
63,0.851399,15.160401,47.0539,B1
64,0.864082,15.147718,44.2964,B1
65,0.876001,15.135799,41.5485,B1
66,0.887158,15.124642,38.8099,B1
67,0.897555,15.114245,36.0802,B1
68,0.907196,15.104604,33.3589,B1
69,0.916081,15.095719,30.6457,B1
70,0.924214,15.087586,27.9402,B1
71,0.931597,15.080203,25.2421,B1
72,0.938231,15.073569,22.5510,B1
73,0.944118,15.067682,19.8665,B1
74,0.949261,15.062539,17.1883,B1
75,0.953660,15.058140,14.5160,B1
76,0.957318,15.054482,11.8492,B1
77,0.960236,15.051564,9.1876,B1
78,0.962416,15.049384,6.5310,B1
79,0.963858,15.047942,3.8788,B1
80,0.964500,15.047300,0.0000,B1
81,0.964500,15.047300,0.0000,B1
82,0.964500,15.047300,0.0000,B1
83,0.964500,15.047300,0.0000,B1
84,0.964500,15.047300,0.0000,B1
85,0.964500,15.047300,0.0000,B1
86,0.964500,15.047300,0.0000,B1
87,0.964500,15.047300,0.0000,B1
88,0.964500,15.047300,0.0000,B1
89,0.964500,15.047300,0.0000,B1
90,0.964500,15.047300,0.0000,B1
91,0.964500,15.047300,0.0000,B1
92,0.964500,15.047300,0.0000,B1
93,0.964500,15.047300,0.0000,B1
94,0.964500,15.047300,0.0000,B1
95,0.964500,15.047300,0.0000,B1
96,0.964500,15.047300,0.0000,B1
97,0.964500,15.047300,0.0000,B1
