time,position,kilometrage,speed,action
0,0.000000,16.011800,0.0348,P1
1,0.000497,16.011303,3.5086,P1
2,0.001958,16.009842,6.9771,P1
3,0.004382,16.007418,10.4396,P1
4,0.007767,16.004033,13.8956,P1
5,0.012111,15.999689,17.3444,P1
6,0.017412,15.994388,20.7857,P1
7,0.023668,15.988132,24.2188,P1
8,0.030876,15.980924,27.6431,P1
9,0.039033,15.972767,31.0583,P1
10,0.048139,15.963661,34.4636,P1
11,0.058188,15.953612,37.8586,P1
12,0.069095,15.942705,39.8268,C
13,0.080162,15.931638,39.9142,C
14,0.091296,15.920504,40.2475,C
15,0.102523,15.909277,40.5798,C
16,0.113841,15.897959,40.9109,C
17,0.125252,15.886548,41.2409,C
18,0.136754,15.875046,41.5698,C
19,0.148347,15.863453,41.8976,C
20,0.160031,15.851769,42.2242,C
21,0.171807,15.839993,42.5765,C
22,0.183690,15.828110,42.9748,C
23,0.195683,15.816117,43.3718,C
24,0.207786,15.804014,43.7674,C
25,0.219999,15.791801,44.1616,C
26,0.232321,15.779479,44.5545,C
27,0.244752,15.767048,44.9459,C
28,0.257292,15.754508,45.3360,C
29,0.269940,15.741860,45.7248,C
30,0.282696,15.729104,46.1121,C
31,0.295559,15.716241,46.4980,C
32,0.308529,15.703271,46.8826,C
33,0.321606,15.690194,47.2657,C
34,0.334789,15.677011,47.6475,C
35,0.348077,15.663723,48.0279,C
36,0.361472,15.650328,48.4069,C
37,0.374971,15.636829,48.7845,C
38,0.388575,15.623225,49.1606,C
39,0.402283,15.609517,49.5354,C
40,0.416096,15.595704,49.9088,C
41,0.430011,15.581789,50.2808,C
42,0.444030,15.567770,50.6514,C
43,0.458152,15.553648,51.0205,C
44,0.472376,15.539424,51.3883,C
45,0.486702,15.525098,51.7546,C
46,0.501129,15.510671,52.1196,C
47,0.515658,15.496142,52.4831,C
48,0.530288,15.481512,52.8452,C
49,0.545017,15.466783,53.2059,C
50,0.559847,15.451953,53.5652,C
51,0.574777,15.437023,53.9231,C
52,0.589805,15.421995,54.2796,C
53,0.604933,15.406867,54.6346,C
54,0.620159,15.391641,54.9882,C
55,0.635483,15.376317,55.3405,C
56,0.650904,15.360896,55.6913,C
57,0.666423,15.345377,56.0407,C
58,0.682039,15.329761,56.3886,C
59,0.697751,15.314049,56.7352,C
60,0.713546,15.298254,56.8352,C
61,0.729292,15.282508,56.5356,C
62,0.744954,15.266846,56.2372,C
63,0.760534,15.251266,55.9401,C
64,0.776031,15.235769,55.6442,C
65,0.791446,15.220354,55.3494,C
66,0.806780,15.205020,55.0558,C
67,0.821845,15.189955,52.9410,B1
68,0.836161,15.175639,50.1618,B1
69,0.849706,15.162094,47.3930,B1
70,0.862483,15.149317,44.6343,B1
71,0.874496,15.137304,41.8853,B1
72,0.885746,15.126054,39.1455,B1
73,0.896237,15.115563,36.4147,B1
74,0.905970,15.105830,33.6924,B1
75,0.914948,15.096852,30.9783,B1
76,0.923173,15.088627,28.2719,B1
77,0.930648,15.081152,25.5729,B1
78,0.937373,15.074427,22.8809,B1
79,0.943352,15.068448,20.1956,B1
80,0.948586,15.063214,17.5166,B1
81,0.953077,15.058723,14.8436,B1
82,0.956826,15.054974,12.1762,B1
83,0.959835,15.051965,9.5140,B1
84,0.962105,15.049695,6.8568,B1
85,0.963637,15.048163,4.2040,B1
86,0.964433,15.047367,1.5555,B1
87,0.964500,15.047300,0.0000,B1
88,0.964500,15.047300,0.0000,B1
89,0.964500,15.047300,0.0000,B1
90,0.964500,15.047300,0.0000,B1
91,0.964500,15.047300,0.0000,B1
92,0.964500,15.047300,0.0000,B1
93,0.964500,15.047300,0.0000,B1
94,0.964500,15.047300,0.0000,B1
95,0.964500,15.047300,0.0000,B1
96,0.964500,15.047300,0.0000,B1
97,0.964500,15.047300,0.0000,B1
