time,position,speed,action
0,21.112,0.0,Actions.acceleration
1,21.112448,3.17,Actions.acceleration
2,21.113752,6.17,Actions.acceleration
3,21.115867,9.01,Actions.acceleration
4,21.118752,11.71,Actions.acceleration
5,21.122365,14.26,Actions.acceleration
6,21.126668,16.68,Actions.acceleration
7,21.131626,18.97,Actions.acceleration
8,21.137203,21.14,Actions.acceleration
9,21.143368,23.2,Actions.acceleration
10,21.150088,25.15,Actions.acceleration
11,21.157335,26.99,Actions.acceleration
12,21.16508,28.74,Actions.acceleration
13,21.173298,30.39,Actions.acceleration
14,21.181963,31.96,Actions.acceleration
15,21.191043,33.39,Actions.acceleration
16,21.200509,34.74,Actions.acceleration
17,21.210341,36.02,Actions.acceleration
18,21.220518,37.23,Actions.acceleration
19,21.231028,38.43,Actions.acceleration
20,21.24186,39.54,Actions.acceleration
21,21.252991,40.59,Actions.acceleration
22,21.264406,41.58,Actions.acceleration
23,21.27609,42.53,Actions.acceleration
24,21.288035,43.47,Actions.acceleration
25,21.300242,44.41,Actions.acceleration
26,21.312707,45.33,Actions.acceleration
27,21.325427,46.24,Actions.acceleration
28,21.338394,46.99,Actions.coasting
29,21.351432,46.89,Actions.coasting
30,21.364444,46.79,Actions.coasting
31,21.377429,46.7,Actions.coasting
32,21.390388,46.61,Actions.coasting
33,21.40332,46.51,Actions.coasting
34,21.416227,46.42,Actions.coasting
35,21.429107,46.32,Actions.coasting
36,21.441961,46.23,Actions.coasting
37,21.45479,46.14,Actions.coasting
38,21.467592,46.04,Actions.coasting
39,21.480369,45.95,Actions.coasting
40,21.49312,45.86,Actions.coasting
41,21.505849,45.84,Actions.coasting
42,21.518592,45.91,Actions.coasting
43,21.531354,45.98,Actions.coasting
44,21.544135,46.05,Actions.coasting
45,21.556935,46.12,Actions.coasting
46,21.569755,46.18,Actions.coasting
47,21.582594,46.25,Actions.coasting
48,21.595452,46.32,Actions.coasting
49,21.608329,46.39,Actions.coasting
50,21.621224,46.46,Actions.coasting
51,21.634139,46.53,Actions.coasting
52,21.647073,46.59,Actions.coasting
53,21.660006,46.48,Actions.coasting
54,21.672893,46.31,Actions.coasting
55,21.685734,46.14,Actions.coasting
56,21.698529,45.98,Actions.coasting
57,21.711277,45.81,Actions.coasting
58,21.723979,45.64,Actions.coasting
59,21.736635,45.48,Actions.coasting
60,21.749245,45.31,Actions.coasting
61,21.761809,45.15,Actions.coasting
62,21.774327,44.98,Actions.coasting
63,21.7868,44.82,Actions.coasting
64,21.799227,44.66,Actions.coasting
65,21.811609,44.49,Actions.coasting
66,21.823946,44.33,Actions.coasting
67,21.836237,44.17,Actions.coasting
68,21.848484,44.01,Actions.coasting
69,21.860813,44.8,Actions.acceleration
70,21.873377,45.65,Actions.acceleration
71,21.886174,46.48,Actions.acceleration
72,21.899181,46.94,Actions.coasting
73,21.912196,46.77,Actions.coasting
74,21.925165,46.6,Actions.coasting
75,21.938086,46.43,Actions.coasting
76,21.950961,46.27,Actions.coasting
77,21.963789,46.1,Actions.coasting
78,21.976571,45.93,Actions.coasting
79,21.989306,45.77,Actions.coasting
80,22.001996,45.6,Actions.coasting
81,22.014639,45.43,Actions.coasting
82,22.027236,45.27,Actions.coasting
83,22.039788,45.1,Actions.coasting
84,22.052293,44.94,Actions.coasting
85,22.064753,44.78,Actions.coasting
86,22.077168,44.61,Actions.coasting
87,22.089538,44.45,Actions.coasting
88,22.101862,44.29,Actions.coasting
89,22.114141,44.12,Actions.coasting
90,22.126382,44.18,Actions.acceleration
91,22.138774,45.03,Actions.acceleration
92,22.151401,45.87,Actions.acceleration
93,22.16426,46.7,Actions.acceleration
94,22.177291,46.89,Actions.coasting
95,22.190294,46.72,Actions.coasting
96,22.203249,46.56,Actions.coasting
97,22.216158,46.39,Actions.coasting
98,22.22902,46.22,Actions.coasting
99,22.241835,46.05,Actions.coasting
100,22.254604,45.89,Actions.coasting
101,22.267327,45.72,Actions.coasting
102,22.280003,45.55,Actions.coasting
103,22.292634,45.39,Actions.coasting
104,22.305208,45.04,Actions.coasting
105,22.317635,44.44,Actions.coasting
106,22.329904,44.1,Actions.acceleration
107,22.342213,44.52,Actions.acceleration
108,22.354638,44.93,Actions.acceleration
109,22.367175,45.34,Actions.acceleration
110,22.379825,45.73,Actions.acceleration
111,22.392583,46.12,Actions.acceleration
112,22.40545,46.51,Actions.acceleration
113,22.418422,46.89,Actions.acceleration
114,22.431432,46.58,Actions.coasting
115,22.444286,45.97,Actions.coasting
116,22.456971,45.37,Actions.coasting
117,22.469488,44.76,Actions.coasting
118,22.481836,44.16,Actions.coasting
119,22.494094,44.3,Actions.acceleration
120,22.506476,44.94,Actions.acceleration
121,22.519079,45.79,Actions.acceleration
122,22.531913,46.61,Actions.acceleration
123,22.544938,46.92,Actions.coasting
124,22.557947,46.75,Actions.coasting
125,22.570909,46.58,Actions.coasting
126,22.583824,46.41,Actions.coasting
127,22.596693,46.24,Actions.coasting
128,22.609514,46.08,Actions.coasting
129,22.62229,45.91,Actions.coasting
130,22.635019,45.74,Actions.coasting
131,22.647702,45.58,Actions.coasting
132,22.660339,45.41,Actions.coasting
133,22.67293,45.25,Actions.coasting
134,22.685475,45.08,Actions.coasting
135,22.697974,44.92,Actions.coasting
136,22.710407,44.57,Actions.coasting
137,22.722736,44.2,Actions.coasting
138,22.73496,43.82,Actions.coasting
139,22.74708,43.44,Actions.coasting
140,22.759095,43.07,Actions.coasting
141,22.771007,42.7,Actions.coasting
142,22.782814,42.32,Actions.coasting
143,22.794519,41.95,Actions.coasting
144,22.80612,41.58,Actions.coasting
145,22.817619,41.21,Actions.coasting
146,22.829015,40.84,Actions.coasting
