station,train0,train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11,train12,train13,train14,train15,train16,train17,train18,train19,train20,train21,train22,train23,train24,train25
西船橋,0,0,170,0,360,535,0,815,920,0,1125,1255,1440,0,1720,1830,2215,2390,0,2670,2775,0,2980,3110,3295,0
原木中山,0,180,0,0,540,0,0,0,1100,0,1475,0,1620,0,2055,0,2395,0,0,0,2955,0,3330,0,3475,0
妙典,0,445,0,170,860,0,580,0,1280,1150,1675,0,1820,1540,2255,0,2715,0,2435,0,3135,3005,3530,0,3675,3395
行徳,0,575,0,300,995,0,710,0,1415,1280,1810,0,1955,1675,2385,0,2850,0,2565,0,3270,3135,3665,0,3810,3530
南行徳,0,715,0,435,1135,0,845,0,1555,1415,1950,0,2095,1815,2520,0,2990,0,2700,0,3410,3270,3805,0,3950,3670
浦安,0,835,700,560,1260,1120,965,1395,1680,1540,2075,1815,2220,1940,2640,2360,3115,2975,2820,3250,3535,3395,3930,3670,4075,3795
葛西,0,1010,875,735,1435,1295,1140,1570,1855,1715,2250,1990,2395,2115,2815,2535,3290,3150,2995,3425,3710,3570,4105,3845,4250,3970
西葛西,0,1155,1020,880,1575,1440,1280,1710,1990,1855,2385,2125,2530,2250,2950,2670,3430,3295,3135,3565,3845,3710,4240,3980,4385,4105
南砂町,0,1390,1255,1115,1810,1675,1515,1945,2225,2090,2620,2360,2765,2485,3185,2905,3665,3530,3370,3800,4080,3945,4475,4215,4620,4340
東陽町,0,1555,1420,1280,1985,1840,1690,2120,2400,2265,2795,2535,2940,2660,3360,3080,3840,3695,3545,3975,4255,4120,4650,4390,4795,4515
木場,0,1690,1555,1415,2120,1975,1825,2255,2535,2400,2930,2670,3075,2795,3495,3215,3975,3830,3680,4110,4390,4255,4785,4525,4930,4650
門前仲町,0,1820,1685,1545,2250,2105,1955,2385,2665,2530,3060,2800,3215,2925,3635,3355,4105,3960,3810,4240,4520,4385,4915,4655,5070,4780
茅場町,0,2045,1910,1770,2475,2330,2180,2610,2890,2755,3285,3025,3440,3150,3860,3580,4330,4185,4035,4465,4745,4610,5140,4880,5295,5005
日本橋,0,2155,2020,1880,2585,2440,2290,2720,3000,2865,3395,3135,3550,3260,3970,3690,4440,4295,4145,4575,4855,4720,5250,4990,5405,5115
大手町,0,2270,2135,1995,2700,2555,2405,2835,3115,2980,3510,3250,3670,3375,4090,3810,4555,4410,4260,4690,4970,4835,5365,5105,5525,5230
