time,train_id,group_phase,group_notch,group_delay,group_hunting,current_speed,speed_limit,signal_speed,dist_to_next_station,time_to_next_station,delay,holding_time,prev_notch_duration,hunting_score,llm_reward,nn_output,abs_error,reason
330.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延なし,なし,0.0,70.0,70.0,11.0,3.0,0.0,1.0,25.0,0.0,0.0,1.0,1.0,駅停車完了フェーズで停止位置が11m手前と誤差が10m超えているため、停止位置誤差評価で0.0とした。
438.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延なし,なし,68.0,70.0,70.0,240.5,25.5,0.0,15.0,15.0,0.0,1.0,0.0,1.0,ブレーキが適切に掛かりdelta_stopが-0.03mで許容範囲内、速度・CBTC制限遵守、ノコギリ運転なしのため最高評価とした。
341.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延10秒超,なし,69.4,70.0,70.0,250.0,0.0,20.0,2.0,12.0,0.0,1.0,0.0,1.0,ブレーキが適切に掛かりΔstopが±5m以内でCBTC・制限速度も遵守、ノコギリ運転なしで安全に停止できるため高評価。
342.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延なし,なし,69.4,70.0,70.0,250.0,25.9,0.0,9.0,12.0,0.0,1.0,0.0,1.0,ブレーキ中で速度が信号速度に近く、delta_stopが±5m以内のため停止位置は適切に確保され、制限速度・CBTCも遵守している。
339.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延10秒超,なし,70.0,70.0,70.0,250.0,0.0,20.0,9.0,10.0,0.0,1.0,0.0,1.0,ブレーキが適切に作動し、delta_stopが-4.5mで許容範囲内、速度・信号遵守、間隔も安全であるため高評価とした。
337.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延10秒超,なし,70.0,70.0,70.0,250.0,0.0,20.0,2.0,10.0,0.0,1.0,0.0,1.0,ブレーキが適切に掛かり、delta_stopが5m以内で停止位置が確保され、速度・信号遵守も問題なく、ノコギリ運転や間隔違反はなく高評価とした。
392.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延なし,なし,0.5,70.0,70.0,0.3,3.0,0.0,3.0,8.0,0.0,1.0,0.0,1.0,列車は停止位置誤差0.3mで許容範囲内、速度・信号・制限を遵守し、不要な加速もなく適切にブレーキ保持しているため最高評価とした。
404.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延なし,なし,0.5,70.0,70.0,0.7,3.0,0.0,3.0,8.0,0.0,1.0,0.0,1.0,駅停車完了で停止位置誤差0.7mは許容範囲内、速度・信号遵守、ノコギリ運転なし、遅延0秒のためreward=1.0とした。
416.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延なし,なし,0.5,70.0,70.0,1.1,3.0,0.0,3.0,8.0,0.0,1.0,0.0,1.0,ブレーキが適切に掛かり制限速度・CBTC超過なし、停止位置も達成可能で遅延ゼロのため最高評価とした。
410.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延なし,なし,0.5,70.0,70.0,0.9,3.0,0.0,3.0,8.0,0.0,1.0,0.0,1.0,停止位置が1m以内であり、制限速度・CBTCを遵守、ノコギリ運転なし、遅延0秒で適切に駅停車完了と判断したため。
