time,train_id,group_phase,group_notch,current_speed,signal_speed,speed_limit,dist_to_next_station,req_stop_dist,delta_stop,delay,f_exist,f_distance,rule_expected,rule_reason,llm_reward,nn_output,reason
180.0,T2,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,57.7,59.7,70.0,203.4,158.93,44.47,0.0,1.0,202.4,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,0.0,0.4,エラー発生: Request timed out.
214.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,0.84,14.8,70.0,47.6,0.03,47.57,0.0,1.0,50.7,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,0.3,0.7,次駅減速フェーズで加速を続けている点がフェーズに合わずエネルギー無駄となるため、評価を低くし0.3とした。
403.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,18.32,21.5,80.0,51.7,18.03,33.67,0.0,1.0,64.6,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,0.0,0.8,エラー発生: Request timed out.
586.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,66.97,70.0,70.0,397.5,218.05,179.45,0.0,1.0,397.5,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,0.2,0.5,減速フェーズで不要な力行を続けエネルギー効率が低く、適切なノッチ操作ではないため低評価とした。
587.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,67.21,70.0,70.0,378.8,219.62,159.18,0.0,1.0,378.8,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,0.2,0.5,次駅減速フェーズで不要な力行を続け省エネ性と定時性を損ねるため評価を低くし、reward 0.2とした。
588.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,67.46,70.0,70.0,360.1,221.16,138.94000000000003,0.0,1.0,360.1,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,0.3,0.5,次駅減速フェーズで不要な力行を続けエネルギー効率が低下したため、評価を下げ0.3とした。
589.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,67.69,70.0,70.0,341.3,222.68,118.62,0.0,1.0,341.3,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,0.5,0.5,不要な力行により省エネ性が低く、定時性に余裕があるが加速は不適切と判断し、低評価とした。
590.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,67.93,70.0,70.0,322.5,224.18,98.32,0.0,1.0,322.5,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,0.2,0.5,次駅減速フェーズで不要な力行を継続し省エネ性が低く、適切な減速操作でないため評価を低くし0.2とした。
595.0,T2,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,63.55,64.8,70.0,229.8,191.72,38.08000000000001,0.0,1.0,229.8,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,0.2,0.5,ノコギリ運転と早すぎるブレーキにより省エネ性が低く、上限0.3点に抑えられたため0.2点とした。
598.0,T2,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,54.47,55.5,70.0,180.7,142.05,38.64999999999998,0.0,1.0,180.7,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,0.3,0.5,保持時間が7秒未満で惰行→減速への短時間切替がノコギリ運転と判定され、上限0.3点となった。
