time,train_id,group_phase,group_notch,current_speed,signal_speed,speed_limit,dist_to_next_station,req_stop_dist,delta_stop,delay,f_exist,f_distance,rule_expected,rule_reason,llm_reward,nn_output,reason
0.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.05,0.053731928280769,-0.003731928280768994,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.2,ブレーキが適切に作動しdelta_stopが0m付近で停止位置が確保され、速度・信号超過なしで安全かつ定時に停止できたため最高評価とした。
1.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.05,0.053731928280769,-0.003731928280768994,10.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.2,ブレーキが適切に掛かりdelta_stopが0mで停止位置が正確なため、全項目で問題なく評価し1.0とした。
2.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.05,0.053731928280769,-0.003731928280768994,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.0,ブレーキが適切な位置で作動しdelta_stop≈0で停止位置が正確、速度制限・CBTC遵守、遅延なしのため最高評価とした。
4.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.05,0.053731928280769,-0.003731928280768994,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.2,ブレーキが適切に作動し、停止位置誤差が0mで安全かつ定時に停止できているため高評価。
5.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.05,0.053731928280769,-0.003731928280768994,10.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.2,次駅減速フェーズでブレーキが適切にかかり、delta_stop≈0で停止位置が正確に確保されているため高評価。
6.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.55,0.053731928280769,0.49626807171923104,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.2,次駅減速フェーズで適切にブレーキをかけ、delta_stopが0.5mで停止位置が良好、速度は制限内でエネルギー無駄なしと評価し高評価とした。
7.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.55,0.053731928280769,0.49626807171923104,10.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.2,ブレーキが適切に作動しdelta_stopが5m以内で停止位置確保、速度・信号超過なし、ノコギリ運転もなく安全かつ省エネな減速と判断。
8.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.55,0.053731928280769,0.49626807171923104,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.0,ブレーキが適切に掛かり、delta_stopが0.5mで停止位置が確保され、速度・信号遵守も問題なく評価が高い。
10.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.55,0.053731928280769,0.49626807171923104,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.2,次駅減速フェーズでブレーキ中、delta_stopが0.5mで許容範囲内のため適切と判断し高評価。
11.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.55,0.053731928280769,0.49626807171923104,10.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.2,ブレーキが適切に掛かっており、delta_stopが5m以内で停止位置も正確、速度・CBTC制限を遵守しているため高評価。
