time,train_id,group_phase,group_notch,current_speed,signal_speed,speed_limit,dist_to_next_station,req_stop_dist,delta_stop,delay,f_exist,f_distance,rule_expected,rule_reason,llm_reward,nn_output,reason
0.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.05,0.053731928280769,-0.003731928280768994,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.4,ブレーキが適切に作動しdelta_stopが0m付近で停止位置が確保され、速度・信号超過なしで安全かつ定時に停止できたため最高評価とした。
1.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.05,0.053731928280769,-0.003731928280768994,10.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.5,ブレーキが適切に掛かりdelta_stopが0mで停止位置が正確なため、全項目で問題なく評価し1.0とした。
2.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.05,0.053731928280769,-0.003731928280768994,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.3,ブレーキが適切な位置で作動しdelta_stop≈0で停止位置が正確、速度制限・CBTC遵守、遅延なしのため最高評価とした。
3.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.05,0.053731928280769,-0.003731928280768994,10.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.6,次駅減速フェーズでブレーキが適切に作動し、停止位置誤差がほぼ0mで安全かつ省エネ的に問題なく、他の評価項目に違反なし。
4.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.05,0.053731928280769,-0.003731928280768994,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.3,ブレーキが適切に作動し、停止位置誤差が0mで安全かつ定時に停止できているため高評価。
5.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.05,0.053731928280769,-0.003731928280768994,10.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.5,次駅減速フェーズでブレーキが適切にかかり、delta_stop≈0で停止位置が正確に確保されているため高評価。
6.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.55,0.053731928280769,0.49626807171923104,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.4,次駅減速フェーズで適切にブレーキをかけ、delta_stopが0.5mで停止位置が良好、速度は制限内でエネルギー無駄なしと評価し高評価とした。
7.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.55,0.053731928280769,0.49626807171923104,10.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.5,ブレーキが適切に作動しdelta_stopが5m以内で停止位置確保、速度・信号超過なし、ノコギリ運転もなく安全かつ省エネな減速と判断。
8.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.55,0.053731928280769,0.49626807171923104,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.3,ブレーキが適切に掛かり、delta_stopが0.5mで停止位置が確保され、速度・信号遵守も問題なく評価が高い。
9.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.55,0.053731928280769,0.49626807171923104,10.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.6,ブレーキが適切に作動しdelta_stopが0.5mで許容範囲内、速度制限・CBTC遵守、ノコギリ運転なし、遅延は過去のもので現在の操作に問題なし。
10.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.55,0.053731928280769,0.49626807171923104,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.3,次駅減速フェーズでブレーキ中、delta_stopが0.5mで許容範囲内のため適切と判断し高評価。
11.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,0.55,0.053731928280769,0.49626807171923104,10.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.5,ブレーキが適切に掛かっており、delta_stopが5m以内で停止位置も正確、速度・CBTC制限を遵守しているため高評価。
12.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,1.05,0.053731928280769,0.996268071719231,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.4,ブレーキが適切に作動し、delta_stopが1.0mで停止位置が許容範囲内、速度・信号遵守、ノコギリ運転なしで安全かつ定時に停止できるため高評価。
13.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,1.05,0.053731928280769,0.996268071719231,10.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.5,ブレーキ中でdelta_stopが1mと許容範囲内、速度・信号遵守、ノコギリ運転なしのため最高評価とした。
14.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,1.05,0.053731928280769,0.996268071719231,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.3,ブレーキが適切に掛かり、delta_stopが1mで停止位置が確保でき、速度・信号超過なしで安全かつ定時に停止できるため高評価とした。
15.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,70.0,70.0,1.05,0.053731928280769,0.996268071719231,10.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.6,ブレーキ中でdelta_stopが1.0mと5m以内に収まり、信号・制限速度を遵守し、ノコギリ運転もなく適切な減速と停止が可能なため高評価。
