time,position_km,kilometrage,speed,notch,gradient,atc_ceiling,atc_now
0.00,0.000000,16.011800,0.0000,P1,-5.00,45.00,45.0
0.10,0.000005,16.011795,0.3476,P1,-5.00,45.00,45.0
0.20,0.000020,16.011780,0.6952,P1,-5.00,45.00,45.0
0.30,0.000045,16.011755,1.0427,P1,-5.00,45.00,45.0
0.40,0.000079,16.011721,1.3902,P1,-5.00,45.00,45.0
0.50,0.000123,16.011677,1.7376,P1,-5.00,45.00,45.0
0.60,0.000177,16.011623,2.0850,P1,-5.00,45.00,45.0
0.70,0.000240,16.011560,2.4323,P1,-5.00,45.00,45.0
0.80,0.000313,16.011487,2.7795,P1,-5.00,45.00,45.0
0.90,0.000395,16.011405,3.1268,P1,-5.00,45.00,45.0
1.00,0.000487,16.011313,3.4739,P1,-5.00,45.00,45.0
1.10,0.000589,16.011211,3.8210,P1,-5.00,45.00,45.0
1.20,0.000701,16.011099,4.1681,P1,-5.00,45.00,45.0
1.30,0.000822,16.010978,4.5151,P1,-5.00,45.00,45.0
1.40,0.000952,16.010848,4.8620,P1,-5.00,45.00,45.0
1.50,0.001093,16.010707,5.2089,P1,-5.00,45.00,45.0
1.60,0.001243,16.010557,5.5557,P1,-5.00,45.00,45.0
1.70,0.001402,16.010398,5.9025,P1,-5.00,45.00,45.0
1.80,0.001572,16.010228,6.2492,P1,-5.00,45.00,45.0
1.90,0.001751,16.010049,6.5958,P1,-5.00,45.00,45.0
2.00,0.001939,16.009861,6.9424,P1,-5.00,45.00,45.0
2.10,0.002137,16.009663,7.2890,P1,-5.00,45.00,45.0
2.20,0.002345,16.009455,7.6354,P1,-5.00,45.00,45.0
2.30,0.002562,16.009238,7.9819,P1,-5.00,45.00,45.0
2.40,0.002789,16.009011,8.3282,P1,-5.00,45.00,45.0
2.50,0.003026,16.008774,8.6745,P1,-5.00,45.00,45.0
2.60,0.003272,16.008528,9.0207,P1,-5.00,45.00,45.0
2.70,0.003528,16.008272,9.3669,P1,-5.00,45.00,45.0
2.80,0.003794,16.008006,9.7130,P1,-5.00,45.00,45.0
2.90,0.004069,16.007731,10.0590,P1,-5.00,45.00,45.0
3.00,0.004353,16.007447,10.4050,P1,-5.00,45.00,45.0
3.10,0.004648,16.007152,10.7509,P1,-5.00,45.00,45.0
3.20,0.004952,16.006848,11.0967,P1,-5.00,45.00,45.0
3.30,0.005265,16.006535,11.4425,P1,-5.00,45.00,45.0
3.40,0.005588,16.006212,11.7882,P1,-5.00,45.00,45.0
3.50,0.005921,16.005879,12.1339,P1,-5.00,45.00,45.0
3.60,0.006263,16.005537,12.4794,P1,-5.00,45.00,45.0
3.70,0.006615,16.005185,12.8249,P1,-5.00,45.00,45.0
3.80,0.006977,16.004823,13.1704,P1,-5.00,45.00,45.0
3.90,0.007348,16.004452,13.5157,P1,-5.00,45.00,45.0
4.00,0.007729,16.004071,13.8610,P1,-5.00,45.00,45.0
4.10,0.008119,16.003681,14.2063,P1,-5.00,45.00,45.0
4.20,0.008519,16.003281,14.5514,P1,-5.00,45.00,45.0
4.30,0.008928,16.002872,14.8965,P1,-5.00,45.00,45.0
4.40,0.009347,16.002453,15.2415,P1,-5.00,45.00,45.0
4.50,0.009776,16.002024,15.5864,P1,-5.00,45.00,45.0
4.60,0.010214,16.001586,15.9313,P1,-5.00,45.00,45.0
4.70,0.010662,16.001138,16.2761,P1,-5.00,45.00,45.0
4.80,0.011119,16.000681,16.6208,P1,-5.00,45.00,45.0
4.90,0.011586,16.000214,16.9654,P1,-5.00,45.00,45.0
5.00,0.012063,15.999737,17.3100,P1,-5.00,45.00,45.0
