time,position_km,kilometrage,speed,notch,gradient,atc_ceiling,atc_now
0.00,0.964500,15.047300,0.0000,P1,2.00,75.00,75.0
0.10,0.964505,15.047295,0.3229,P1,2.00,75.00,75.0
0.20,0.964519,15.047281,0.6458,P1,2.00,75.00,75.0
0.30,0.964542,15.047258,0.9686,P1,2.00,75.00,75.0
0.40,0.964574,15.047226,1.2914,P1,2.00,75.00,75.0
0.50,0.964614,15.047186,1.6142,P1,2.00,75.00,75.0
0.60,0.964664,15.047136,1.9369,P1,2.00,75.00,75.0
0.70,0.964723,15.047077,2.2595,P1,2.00,75.00,75.0
0.80,0.964791,15.047009,2.5821,P1,2.00,75.00,75.0
0.90,0.964867,15.046933,2.9046,P1,2.00,75.00,75.0
1.00,0.964953,15.046847,3.2271,P1,2.00,75.00,75.0
1.10,0.965047,15.046753,3.5496,P1,2.00,75.00,75.0
1.20,0.965151,15.046649,3.8720,P1,2.00,75.00,75.0
1.30,0.965263,15.046537,4.1943,P1,2.00,75.00,75.0
1.40,0.965385,15.046415,4.5166,P1,2.00,75.00,75.0
1.50,0.965515,15.046285,4.8389,P1,2.00,75.00,75.0
1.60,0.965655,15.046145,5.1611,P1,2.00,75.00,75.0
1.70,0.965803,15.045997,5.4832,P1,2.00,75.00,75.0
1.80,0.965960,15.045840,5.8053,P1,2.00,75.00,75.0
1.90,0.966126,15.045674,6.1273,P1,2.00,75.00,75.0
2.00,0.966301,15.045499,6.4493,P1,2.00,75.00,75.0
2.10,0.966485,15.045315,6.7712,P1,2.00,75.00,75.0
2.20,0.966678,15.045122,7.0931,P1,2.00,75.00,75.0
2.30,0.966880,15.044920,7.4149,P1,2.00,75.00,75.0
2.40,0.967091,15.044709,7.7367,P1,2.00,75.00,75.0
2.50,0.967311,15.044489,8.0584,P1,2.00,75.00,75.0
2.60,0.967540,15.044260,8.3800,P1,2.00,75.00,75.0
2.70,0.967778,15.044022,8.7016,P1,2.00,75.00,75.0
2.80,0.968024,15.043776,9.0231,P1,2.00,75.00,75.0
2.90,0.968280,15.043520,9.3446,P1,2.00,75.00,75.0
3.00,0.968544,15.043256,9.6660,P1,2.00,75.00,75.0
3.10,0.968818,15.042982,9.9874,P1,2.00,75.00,75.0
3.20,0.969100,15.042700,10.3086,P1,2.00,75.00,75.0
3.30,0.969391,15.042409,10.6299,P1,2.00,75.00,75.0
3.40,0.969691,15.042109,10.9510,P1,2.00,75.00,75.0
3.50,0.970000,15.041800,11.2722,P1,2.00,75.00,75.0
3.60,0.970318,15.041482,11.5932,P1,2.00,75.00,75.0
3.70,0.970645,15.041155,11.9142,P1,2.00,75.00,75.0
3.80,0.970981,15.040819,12.2351,P1,2.00,75.00,75.0
3.90,0.971326,15.040474,12.5560,P1,2.00,75.00,75.0
4.00,0.971680,15.040120,12.8768,P1,2.00,75.00,75.0
4.10,0.972042,15.039758,13.1975,P1,2.00,75.00,75.0
4.20,0.972414,15.039386,13.5182,P1,2.00,75.00,75.0
4.30,0.972794,15.039006,13.8388,P1,2.00,75.00,75.0
4.40,0.973184,15.038616,14.1593,P1,2.00,75.00,75.0
4.50,0.973582,15.038218,14.4798,P1,2.00,75.00,75.0
4.60,0.973989,15.037811,14.8002,P1,2.00,75.00,75.0
4.70,0.974405,15.037395,15.1205,P1,2.00,75.00,75.0
4.80,0.974830,15.036970,15.4408,P1,2.00,75.00,75.0
4.90,0.975264,15.036536,15.7610,P1,2.00,75.00,75.0
5.00,0.975706,15.036094,16.0811,P1,2.00,75.00,75.0
5.10,0.976158,15.035642,16.4012,P1,2.00,75.00,75.0
5.20,0.976618,15.035182,16.7211,P1,2.00,75.00,75.0
5.30,0.977088,15.034712,17.0411,P1,2.00,75.00,75.0
5.40,0.977566,15.034234,17.3609,P1,2.00,75.00,75.0
5.50,0.978053,15.033747,17.6807,P1,2.00,75.00,75.0
5.60,0.978549,15.033251,18.0004,P1,2.00,75.00,75.0
5.70,0.979054,15.032746,18.3200,P1,2.00,75.00,75.0
5.80,0.979568,15.032232,18.6396,P1,2.00,75.00,75.0
5.90,0.980090,15.031710,18.9591,P1,2.00,75.00,75.0
6.00,0.980622,15.031178,19.2785,P1,2.00,75.00,75.0
6.10,0.981162,15.030638,19.5979,P1,2.00,75.00,75.0
6.20,0.981712,15.030088,19.9171,P1,2.00,75.00,75.0
6.30,0.982270,15.029530,20.2363,P1,2.00,75.00,75.0
6.40,0.982837,15.028963,20.5555,P1,2.00,75.00,75.0
6.50,0.983413,15.028387,20.8745,P1,2.00,75.00,75.0
6.60,0.983997,15.027803,21.1935,P1,2.00,75.00,75.0
6.70,0.984591,15.027209,21.5124,P1,2.00,75.00,75.0
6.80,0.985193,15.026607,21.8312,P1,2.00,75.00,75.0
6.90,0.985805,15.025995,22.1499,P1,2.00,75.00,75.0
7.00,0.986425,15.025375,22.4686,P1,2.00,75.00,75.0
7.10,0.987054,15.024746,22.7872,P1,2.00,75.00,75.0
7.20,0.987692,15.024108,23.1057,P1,2.00,75.00,75.0
7.30,0.988338,15.023462,23.4241,P1,2.00,75.00,75.0
7.40,0.988994,15.022806,23.7424,P1,2.00,75.00,75.0
7.50,0.989658,15.022142,24.0607,P1,2.00,75.00,75.0
7.60,0.990331,15.021469,24.3789,P1,2.00,75.00,75.0
7.70,0.991013,15.020787,24.6970,P1,2.00,75.00,75.0
7.80,0.991704,15.020096,25.0150,P1,2.00,75.00,75.0
