time,position_km,kilometrage,speed,notch,gradient,atc_ceiling,atc_now
0.00,2.022500,13.989300,0.0000,P1,3.00,70.00,70.0
0.10,2.022505,13.989295,0.3194,P1,3.00,70.00,70.0
0.20,2.022519,13.989281,0.6387,P1,3.00,70.00,70.0
0.30,2.022541,13.989259,0.9581,P1,3.00,70.00,70.0
0.40,2.022573,13.989227,1.2773,P1,3.00,70.00,70.0
0.50,2.022613,13.989187,1.5965,P1,3.00,70.00,70.0
0.60,2.022662,13.989138,1.9157,P1,3.00,70.00,70.0
0.70,2.022720,13.989080,2.2348,P1,3.00,70.00,70.0
0.80,2.022787,13.989013,2.5539,P1,3.00,70.00,70.0
0.90,2.022863,13.988937,2.8729,P1,3.00,70.00,70.0
1.00,2.022948,13.988852,3.1919,P1,3.00,70.00,70.0
1.10,2.023041,13.988759,3.5108,P1,3.00,70.00,70.0
1.20,2.023144,13.988656,3.8297,P1,3.00,70.00,70.0
1.30,2.023255,13.988545,4.1485,P1,3.00,70.00,70.0
1.40,2.023375,13.988425,4.4673,P1,3.00,70.00,70.0
1.50,2.023504,13.988296,4.7860,P1,3.00,70.00,70.0
1.60,2.023642,13.988158,5.1047,P1,3.00,70.00,70.0
1.70,2.023789,13.988011,5.4233,P1,3.00,70.00,70.0
1.80,2.023944,13.987856,5.7419,P1,3.00,70.00,70.0
1.90,2.024108,13.987692,6.0604,P1,3.00,70.00,70.0
2.00,2.024282,13.987518,6.3789,P1,3.00,70.00,70.0
2.10,2.024464,13.987336,6.6973,P1,3.00,70.00,70.0
2.20,2.024655,13.987145,7.0156,P1,3.00,70.00,70.0
2.30,2.024854,13.986946,7.3339,P1,3.00,70.00,70.0
2.40,2.025063,13.986737,7.6522,P1,3.00,70.00,70.0
2.50,2.025280,13.986520,7.9703,P1,3.00,70.00,70.0
2.60,2.025507,13.986293,8.2885,P1,3.00,70.00,70.0
2.70,2.025742,13.986058,8.6065,P1,3.00,70.00,70.0
