time,position,speed,action
0.000,23.290000,0.0000,1
1.000,23.290393,2.7772,1
2.000,23.291537,5.4099,1
3.000,23.293393,7.9053,1
4.000,23.295924,10.2702,1
5.000,23.299094,12.5113,1
6.000,23.302864,14.5785,1
7.000,23.307188,16.5178,1
8.000,23.312036,18.3551,1
9.000,23.317381,20.0956,1
10.000,23.323196,21.7442,1
11.000,23.329457,23.3057,1
12.000,23.336141,24.7846,1
13.000,23.343223,26.1852,1
14.000,23.350685,27.5114,1
15.000,23.358505,28.7673,1
16.000,23.366664,29.9565,1
17.000,23.375144,31.0824,1
18.000,23.383929,32.1484,1
19.000,23.393002,33.1577,1
20.000,23.402348,34.1131,1
21.000,23.411952,35.0175,1
22.000,23.421800,35.8736,1
23.000,23.431880,36.6840,1
24.000,23.442178,37.4511,1
25.000,23.452684,38.1772,1
26.000,23.463386,38.8644,1
27.000,23.474274,39.5148,1
28.000,23.485337,40.1303,1
29.000,23.496567,40.7128,1
30.000,23.507954,41.2642,1
31.000,23.519490,41.7859,1
32.000,23.531168,42.2828,1
33.000,23.542981,42.7699,1
34.000,23.554929,43.2489,1
35.000,23.567009,43.7199,1
36.000,23.579217,44.1643,1
37.000,23.591545,44.5920,1
38.000,23.603991,45.0126,1
39.000,23.616553,45.4262,1
40.000,23.629228,45.8328,1
41.000,23.642016,46.2326,1
42.000,23.654913,46.6257,1
43.000,23.667919,47.0122,1
44.000,23.681032,47.3923,1
45.000,23.694249,47.7659,1
46.000,23.707569,48.1332,1
47.000,23.720990,48.4943,1
48.000,23.734511,48.8493,1
49.000,23.748129,49.1983,1
50.000,23.761843,49.5414,1
51.000,23.775653,49.8900,1
52.000,23.789562,50.2494,1
53.000,23.803570,50.6027,1
54.000,23.817675,50.9500,1
55.000,23.831876,51.2914,1
56.000,23.846171,51.6270,1
57.000,23.860558,51.9569,1
58.000,23.875036,52.2812,1
59.000,23.889603,52.5999,1
60.000,23.904258,52.9132,1
61.000,23.919000,53.2212,1
62.000,23.933826,53.5239,1
63.000,23.948736,53.8214,1
64.000,23.963727,54.1138,1
65.000,23.978799,54.4012,1
65.790,23.990762,54.6248,0
66.790,24.005852,54.0308,0
67.790,24.020778,53.4386,0
68.790,24.035539,52.8484,0
69.790,24.050137,52.2599,0
70.790,24.064571,51.6732,0
71.790,24.078842,51.0884,0
72.790,24.092952,50.5053,0
73.790,24.106899,49.9239,0
74.790,24.120686,49.3443,0
75.790,24.134311,48.7663,0
76.790,24.147777,48.1901,0
77.790,24.161082,47.6155,0
78.790,24.174228,47.0426,0
79.790,24.187216,46.4713,0
80.790,24.200044,45.9016,0
81.790,24.212715,45.3336,0
82.790,24.225228,44.7670,0
83.790,24.237584,44.2021,0
84.790,24.249784,43.6387,0
85.790,24.261827,43.0768,0
86.790,24.273714,42.5164,0
87.790,24.285445,41.9574,0
88.790,24.297022,41.4000,0
89.790,24.308481,41.2013,0
90.790,24.319916,41.1285,0
91.790,24.331330,41.0560,0
92.790,24.342724,40.9836,0
93.790,24.354099,40.9113,0
94.790,24.365453,40.8393,0
95.790,24.376785,40.7379,0
96.790,24.388081,40.5958,0
97.790,24.399338,40.4541,0
98.790,24.410555,40.3128,0
99.790,24.421734,40.1761,0
100.790,24.432884,40.1010,0
101.790,24.444003,39.9606,0
102.790,24.455084,39.8205,0
103.790,24.466127,39.7069,0
104.790,24.477147,39.6379,0
105.790,24.488148,39.5691,0
106.790,24.499130,39.5005,0
107.790,24.510092,39.4321,0
108.790,24.521036,39.3638,0
109.790,24.531961,39.2957,0
110.790,24.542867,39.2278,0
111.790,24.553754,39.1601,0
112.790,24.564622,39.0925,0
113.790,24.575472,39.0251,0
113.890,24.576556,39.0183,0
113.990,24.577640,39.0116,0
114.090,24.578723,39.0049,0
114.190,24.579806,38.9982,0
114.290,24.580890,38.9914,0
