position,v_std,t_std
23.290000,0.0000,0.000
23.291000,4.1741,1.531
23.292000,6.0324,2.249
23.293000,7.3769,2.788
23.294000,8.4726,3.240
23.295000,9.4071,3.635
23.296000,10.3243,4.024
23.297000,11.0312,4.340
23.298000,11.7382,4.655
23.299000,12.4452,4.970
23.300000,13.0083,5.240
23.301000,13.5567,5.506
23.302000,14.1050,5.771
23.303000,14.6397,6.032
23.304000,15.0882,6.263
23.305000,15.5367,6.494
23.306000,15.9852,6.725
23.307000,16.4337,6.957
23.308000,16.8257,7.168
23.309000,17.2047,7.374
23.310000,17.5836,7.580
23.311000,17.9626,7.786
23.312000,18.3415,7.993
23.313000,18.6691,8.180
23.314000,18.9947,8.367
23.315000,19.3203,8.555
23.316000,19.6459,8.742
23.317000,19.9716,8.929
23.318000,20.2711,9.106
23.319000,20.5546,9.278
23.320000,20.8381,9.450
23.321000,21.1216,9.622
23.322000,21.4051,9.794
23.323000,21.6885,9.966
23.324000,21.9446,10.128
23.325000,22.1940,10.288
23.326000,22.4434,10.448
23.327000,22.6928,10.608
23.328000,22.9422,10.767
23.329000,23.1916,10.927
23.330000,23.4258,11.081
23.331000,23.6471,11.231
23.332000,23.8684,11.380
23.333000,24.0896,11.530
23.334000,24.3109,11.680
23.335000,24.5322,11.829
23.336000,24.7535,11.979
23.337000,24.9546,12.121
23.338000,25.1523,12.263
23.339000,25.3500,12.404
23.340000,25.5478,12.545
23.341000,25.7455,12.686
23.342000,25.9432,12.827
23.343000,26.1410,12.968
23.344000,26.3232,13.104
23.345000,26.5010,13.238
23.346000,26.6787,13.372
23.347000,26.8565,13.506
23.348000,27.0342,13.640
23.349000,27.2120,13.774
23.350000,27.3897,13.908
23.351000,27.5621,14.040
23.352000,27.7227,14.168
23.353000,27.8833,14.296
23.354000,28.0439,14.424
23.355000,28.2045,14.552
23.356000,28.3651,14.680
23.357000,28.5257,14.808
23.358000,28.6863,14.935
23.359000,28.8396,15.061
23.360000,28.9853,15.183
23.361000,29.1310,15.306
23.362000,29.2768,15.428
23.363000,29.4225,15.551
23.364000,29.5683,15.674
23.365000,29.7140,15.796
23.366000,29.8598,15.919
23.367000,30.0012,16.040
23.368000,30.1339,16.158
23.369000,30.2667,16.275
23.370000,30.3994,16.393
23.371000,30.5322,16.511
23.372000,30.6650,16.629
23.373000,30.7977,16.747
23.374000,30.9305,16.865
23.375000,31.0633,16.983
23.376000,31.1863,17.097
23.377000,31.3076,17.211
23.378000,31.4290,17.325
23.379000,31.5503,17.439
23.380000,31.6716,17.553
23.381000,31.7930,17.667
23.382000,31.9143,17.780
23.383000,32.0357,17.894
23.384000,32.1563,18.008
23.385000,32.2675,18.118
23.386000,32.3788,18.228
23.387000,32.4900,18.338
23.388000,32.6012,18.449
