time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,ブレーキ（減速）,30.0,70.0,70.0,0.0,2178.000000000001,180.0,0.0,0.0,-2.1,この先制限速度なし,387m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,現在速度は0km/hで制限速度70km/h、CBTC信号70km/hを遵守しています。駅出発直後の加速フェーズであり、次駅到達に必要な平均速度は約12km/hと余裕があるため、力行を継続することは適切です。直前のブレーキは30秒続いており、保持時間が5秒未満でもノコギリ運転の条件（両方が10秒未満）を満たさないため減点対象外です。先行・後続列車もなく、安全・時刻・省エネの観点からも問題はありません。
1.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,ブレーキ（減速）,30.0,70.0,70.0,3.1655461647722727,2177.552031426483,179.0,1.4360229636203226,0.0,-2.1,この先制限速度なし,386m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,現在速度は制限70km/h・信号70km/hを大きく下回り、次駅到達に必要な約60km/hへ加速すべき段階です。直前のブレーキは30秒で条件を満たすため、2秒間の力行はノコギリ運転とみなされず、安全・信号遵守の観点で適切です。省エネ面でも加速は必要です。
2.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,ブレーキ（減速）,30.0,70.0,70.0,6.166266910487602,2176.2480601784305,178.0,3.8252323424340187,0.0,-2.1,この先制限速度なし,384m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,Step1: 速度は制限70km/h・CBTC70km/h以内で安全。Step2: 信号遵守。Step3: 次駅減速フェーズではなく、加速フェーズ。Step4: 目標平均速度は約44km/h、必要速度は57‑62km/hであり、現在6.2km/hのため加速は適切で、無駄な惰行やブレーキはない。Step5: 前回のブレーキ30秒は10秒超えているためノコギリ運転なし。Step6‑7: 前後列車なし、定時性・省エネ面でも問題なし。総合評価は高く、現在の力行は適切。
3.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,ブレーキ（減速）,30.0,70.0,70.0,9.01037060950777,2174.132710937684,177.0,7.013257309345573,0.0,-2.1,この先制限速度なし,381m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,制限速度・CBTC信号ともに70km/h以内で現在9km/hと安全は確保されています。加速フェーズで力行を継続しており、ノコギリ運転は発生していません。先行・後続列車もなく、信号違反もありません。定時到着に必要な平均速度は約44km/hで、現在は低速ですが、加速を続けることは妥当です。省エネ面での余裕はありますが、安全・信号遵守の観点から適切です。
4.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,ブレーキ（減速）,30.0,70.0,70.0,11.705695795979539,2171.248380451793,176.0,10.863988502661705,0.0,-2.1,この先制限速度なし,377m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTCともに遵守しており、先行列車も後続列車もなし。加速フェーズでの力行は必要速度に向けた適切な操作で、ノコギリ運転の条件も満たさない。定時遅れもなく、エネルギー効率はやや改善余地があるものの安全性・適正性は高い。
5.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,ブレーキ（減速）,30.0,70.0,70.0,14.259723701053257,2167.6353385103334,175.0,15.257685474202574,0.0,-2.1,この先制限速度なし,373m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要速度（約44.6km/h）に向けて加速中です。直前は長時間のブレーキで停車していたため、ノコギリ運転は発生していません。間隔や安全面に問題はなく、エネルギー面で若干の余裕はあるものの、現在の加速は妥当です。
6.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,ブレーキ（減速）,30.0,70.0,70.0,16.679590829763864,2163.3318254315873,174.0,20.089261355397895,0.0,-2.1,この先制限速度なし,368m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守されており、現在は加速フェーズで力行が続いている。直前の減速は駅停車からの正常な離脱で、ノコギリ運転の条件も満たさない。先行・後続列車がいないため間隔問題もなし。定時到着に必要な速度に向けて加速している点から、操作は適切と評価できる。
7.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,ブレーキ（減速）,30.0,70.0,70.0,18.972101512263023,2158.374146057838,173.0,25.266730186273776,0.0,-2.1,この先制限速度なし,362m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、速度は19km/hで安全域が大きい。加速フェーズであり、次駅到達に必要な平均速度を上回るため、加速操作は適切。ノコギリ運転は発生せず、前後列車もなし。定時性・省エネ面で若干余裕はあるが、安全・運行上の問題はない。
8.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,ブレーキ（減速）,30.0,70.0,70.0,21.143740370988105,2152.7967602747963,172.0,30.709803262816266,0.0,-2.1,この先制限速度なし,356m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、現在速度は21.1km/hで加速フェーズに適した範囲です。直前は30秒間のブレーキで減速していたため、加速への切り替えは必要で、ノコギリ運転の条件も満たしていません。先行・後続列車もなく、停車位置や信号違反のリスクもありません。エネルギー面で若干余裕はあるものの、次駅到達に必要な平均速度を考慮すれば適切な加速です。
9.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,10.0,ブレーキ（減速）,30.0,70.0,70.0,23.200684653441794,2146.6323700855482,171.0,36.348621758647695,0.0,-2.1,この先制限速度なし,349m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で遵守され、先行列車もいないため安全上の問題はありません。加速フェーズで必要な速度に向けて力行を継続しており、惰行やブレーキはなく、ノコギリ運転も発生していません。定時到着に必要な平均速度を考慮すると加速は適切で、エネルギー効率も妥当です。
10.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,11.0,ブレーキ（減速）,30.0,70.0,70.0,25.14881638758307,2139.9120032828982,170.0,42.12261375746012,0.0,-2.1,この先制限速度なし,342m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTCともに70km/h以内で遵守されており、先行列車もなし。現在25.1km/hと必要平均速度45km/hに対し加速フェーズであり、力行継続は適切。保持時間が10秒超えているためノコギリ運転は発生せず、間隔問題もなし。定時到着のため速度上昇が必要で、省エネ面は許容範囲。総合的に適切な操作と判断できる。
11.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,12.0,ブレーキ（減速）,30.0,70.0,70.0,26.993734323444887,2132.665093774268,169.0,47.97946468566394,0.0,-2.1,この先制限速度なし,334m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で遵守され、先行列車もなし。加速フェーズで27km/hは目標速度（約60km/h）に向けた適切な加速で、無駄な惰行やブレーキはなく、ノコギリ運転も発生していません。定時到着に必要な加速であり、省エネ面でも後続で減速に移行すれば問題ありません。
12.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,13.0,ブレーキ（減速）,30.0,70.0,70.0,28.74076563054452,2124.919558623116,168.0,53.874190954589544,0.0,-2.1,この先制限速度なし,326m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,速度は制限・CBTC内で、先行列車もなし。加速フェーズで必要速度（約45km/h）に向けて力行を続けており、惰行やブレーキは不要。保持時間・直前操作ともに10秒超でノコギリ運転なし。安全・時刻遵守は確保され、エネルギー面でも過剰加速は見られないため、現在のノッチは適切と判断できる。
13.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,14.0,ブレーキ（減速）,30.0,70.0,70.0,30.39497732598752,2116.701871878522,167.0,59.76830740429072,0.0,-2.1,この先制限速度なし,318m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTCともに遵守しており、加速フェーズで必要な平均速度（約45 km/h）に向けて30.4 km/hから加速中です。前後列車なしでノコギリ運転条件も満たさず、安全性は確保されています。定時到着まで余裕はありますが、目標速度に達するための加速は妥当です。
14.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,15.0,ブレーキ（減速）,30.0,70.0,70.0,31.96118741293167,2108.0371352702264,166.0,65.62907988384445,0.0,-2.1,この先制限速度なし,308m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度70km/h、信号70km/hを遵守し、先行列車なしで加速フェーズ。残距離2108m・残時166秒から必要平均速度≈46km/hで、現在32km/hは加速が妥当。ノコギリ運転条件を満たさず、エネルギー効率はやや低いが安全・時刻遵守に支障なし。
15.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,16.0,ブレーキ（減速）,30.0,70.0,70.0,33.38956556163591,2098.9567704531,165.0,71.21171756683124,0.0,-2.1,この先制限速度なし,299m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で33.4km/hと安全です。次駅までの平均速度は約46km/h必要で、加速フェーズでの力行は必要速度に向けた適切な加速であり、不要な惰行やブレーキはありません。ノコギリ運転の条件も満たさず、前後列車もいないため間隔問題もなし。定時性は維持され、省エネ面は若干余裕がありますが全体として適切です。
16.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,17.0,ブレーキ（減速）,30.0,70.0,70.0,34.74124400116306,2089.490565453438,164.0,76.70334748634244,0.0,-2.1,この先制限速度なし,289m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに70km/hで、現在34.7km/hと余裕があるため安全上の問題はありません。残り距離と残り時間から必要平均速度は約46km/hで、加速が必要です。直前は30秒間のブレーキで、今回の加速は逆転操作ですが保持時間が10秒未満ではなく、ノコギリ運転には該当しません。したがって加速操作は適切です。
17.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,18.0,ブレーキ（減速）,30.0,70.0,70.0,36.020771480221505,2079.6591052485524,163.0,82.08887974619147,0.0,-2.1,この先制限速度なし,279m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに70km/h以内で36km/hと安全は確保されています。加速フェーズで必要な平均速度（約46km/h）に対し、目標速度帯（約60‑64km/h）へ向かうべく加速を継続しており、不要な惰行やブレーキはありません。前方に先行列車もなく、ノコギリ運転の条件も満たさないため、操作は適切です。
18.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,19.0,ブレーキ（減速）,30.0,70.0,70.0,37.231931443069435,2069.481896506094,162.0,87.35424312204276,0.0,-2.1,この先制限速度なし,268m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で、現在37.2km/hと余裕があるため加速は安全です。次駅到達に必要な平均速度は約46km/hで、加速フェーズでの力行は必要速度に近づく適切な操作です。直前のブレーキからの切替は保持時間が10秒以上でノコギリ運転には該当せず、先行・後続列車もなしです。全体として安全かつスケジュール達成に向けた適切な加速です。
19.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,20.0,ブレーキ（減速）,30.0,70.0,70.0,38.42520543202613,2058.9717781665904,161.0,92.70124664741897,0.0,-2.1,この先制限速度なし,258m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で走行しており、加速フェーズでの力行は必要速度（約60km/h）に向けて適切です。直前のブレーキは30秒と長く、保持時間は10秒以上なのでノコギリ運転は発生していません。先行・後続列車もなく、停止位置や信号違反のリスクもありません。省エネ面で若干余裕はあるものの、安全・速度遵守の観点から適切な操作です。
20.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,21.0,ブレーキ（減速）,30.0,70.0,70.0,39.53786155146717,2048.14026130251,160.0,97.82954465668452,0.0,-2.1,この先制限速度なし,247m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,現在速度は制限70km/h・信号70km/hを大きく下回っており、残り160秒で次駅へ到達するために必要な平均速度は約46km/h、目標速度は約60km/hです。加速フェーズで力行を継続し、減速や惰行がなく、ノコギリ運転も発生していません。先行・後続列車もなく、安全・時刻通りに向けた適切な操作と判断します。
21.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,22.0,ブレーキ（減速）,30.0,70.0,70.0,40.58822488598231,2037.0088400947352,159.0,102.79695132361027,0.0,-2.1,この先制限速度なし,235m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,現在速度40.6km/hは制限70km/h・CBTC70km/hを遵守し、先行列車もなし。次駅までの平均必要速度は約46km/hで、定時到着には約60km/hが望ましい。巡航フェーズで加速を続けることは速度向上に必要で、ノコギリ運転も発生していない。エネルギー面でも過剰加速ではないため、操作は概ね適切と判断する。
22.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,23.0,ブレーキ（減速）,30.0,70.0,70.0,41.5822664799225,2025.5936227656478,158.0,107.6109010003833,0.0,-2.1,この先制限速度なし,223m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,現在速度41.6km/hは制限70km/h・信号70km/hを遵守し、先行列車なしでCBTC違反もありません。残り距離2025.6m・残り時間158秒から算出される必要平均速度は約46km/hで、1.3〜1.4倍の目標速度は60〜64km/hです。必要速度を満たすために加速（力行）を継続するのは巡航フェーズとして適切で、ノコギリ運転は発生していません。省エネ余裕がなく、運転は妥当です。
23.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,24.0,ブレーキ（減速）,30.0,70.0,70.0,42.52872754108959,2013.90952097929,157.0,112.29646133164889,0.0,-2.1,この先制限速度なし,211m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,現在速度42.5km/hは制限70km/h以内でCBTC信号とも一致し安全です。次駅までの平均必要速度は約46km/hで、必要速度は1.3〜1.4倍の60〜65km/hと算出されるため、加速（力行）を継続するのは適切です。直前のブレーキは30秒以上でノコギリ運転には該当せず、先行・後続列車もなし。省エネ面は若干課題あるものの、定時到達と安全性を確保できるため評価は高いです。
24.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,25.0,ブレーキ（減速）,30.0,70.0,70.0,43.467615797622145,2001.9648644447336,156.0,117.04287233987783,0.0,-2.1,この先制限速度なし,199m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で安全は確保されています。残距離2002m・残時156秒から必要平均速度は約46km/hで、1.3‑1.4倍の巡航速度は60‑65km/hが望ましいため、現在の43.5km/hは不足しています。したがって加速（力行）を続けるのはスケジュール遵守に必要であり、ノコギリ運転や無駄なエネルギー消費は見られません。評価は高めです。
25.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,26.0,ブレーキ（減速）,30.0,70.0,70.0,44.4073152454624,1989.758341814124,155.0,121.89145686317718,0.0,-2.1,この先制限速度なし,187m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度70km/h、CBTC信号70km/hを下回る44.4km/hで安全は確保されています。残り距離1989.8m・残り時間155sから算出した必要平均速度は約46km/hで、1.3〜1.4倍の目標速度は60〜65km/hです。現在の加速はこの目標に向けた適切な操作で、停車や間隔の問題もなく、ノコギリ運転も発生していません。したがって評価は高く、0.9とします。
26.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,27.0,ブレーキ（減速）,30.0,70.0,70.0,45.33131704463812,1977.2929988316755,154.0,126.75471612359382,0.0,-2.1,この先制限速度なし,174m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、先行列車も後続列車もなし。残距離と残時間から必要平均速度は約46 km/hで、現在45.3 km/hとやや不足。巡航フェーズでの加速は時刻通り到達のため妥当で、ノコギリ運転やエネルギー浪費は見られない。したがって運転操作は適切と評価できる。
27.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,28.0,ブレーキ（減速）,30.0,70.0,70.0,46.23984668729646,1964.5731642795427,153.0,131.62903639450911,0.0,-2.1,この先制限速度なし,161m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,速度は制限・CBTCともに遵守しており、先行列車も後続列車もいないため安全面は問題なし。巡航フェーズで必要とされる平均速度の1.3〜1.4倍（約60‑65km/h）に達しておらず、加速操作は妥当。保持時間が10秒超でノコギリ運転は発生していない。定時遅れもなく、エネルギー面でも過剰な加速はないため、全体的に適切と評価できる。
28.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,29.0,ブレーキ（減速）,30.0,70.0,70.0,47.133127735266775,1951.6031045731133,152.0,136.51096493251708,0.0,-2.1,この先制限速度なし,148m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で安全は確保されています。次駅までの平均必要速度は約46km/hで、1.3‑1.4倍の目標速度は60‑65km/h程度です。現在47.1km/hと不足しているため、巡航フェーズでの力行は定時到着のために適切です。保持時間は10秒以上でノコギリ運転は発生せず、前後列車もいないため間隔問題もありません。省エネ面での余裕はありますが、安全・時刻遵守の観点で妥当です。
29.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,30.0,ブレーキ（減速）,30.0,70.0,70.0,48.01138178645524,1938.3870243020879,151.0,141.39720499872456,0.0,-2.1,この先制限速度なし,134m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに48 km/hは安全域内で、残り距離と残り時間から算出した必要平均速度≈46 km/hに対し、1.3‑1.4倍の目標速度は約60 km/h。現在の速度はそれに届いていないため、巡航フェーズでの加速は適切。ノコギリ運転は発生せず、前後列車もなし。定時性・省エネの観点でも必要な加速であり、評価は高い。
30.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,31.0,ブレーキ（減速）,30.0,70.0,70.0,48.87482844365983,1924.9290667802868,150.0,146.28461097863772,0.0,-2.1,この先制限速度なし,121m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,制限速度・CBTC信号ともに遵守しており、先行列車もいないため安全上の問題はありません。次駅までの平均速度は約46km/hで、1.3〜1.4倍の目標速度は約60km/h前後です。現在48.9km/hとやや遅れているため、巡航フェーズでの加速は適切であり、ノコギリ運転も発生していません。省エネ面での余裕はあるものの、定時到着のために加速は妥当です。
31.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,32.0,ブレーキ（減速）,30.0,70.0,70.0,49.72368528573123,1911.233314604086,149.0,151.17018360128336,0.0,-2.1,この先制限速度なし,107m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.6,制限速度・CBTC信号は遵守しており安全上の問題はありませんが、現在の速度は必要平均速度(≈46 km/h)を上回っているため、巡航フェーズでの加速は不要です。エネルギー効率が低下し、加速継続は省エネ性に欠けます。安全・間隔は良好なので大幅減点はなく、適度に減点した評価となります。
