time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,mode,reward,reason
56.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,57.0,ブレーキ（減速）,30.0,70.0,70.0,67.43551395424122,67.4,1498.4592160821107,124.0,236.6490103835682,0.0,0.0,この先制限速度なし,489m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0,0,,0,67.4,0,normal,0.7,巡航フェーズでrequired_speedに達しているにも関わらず不要な力行を継続し、省エネ性が低下しているため評価を減点した。
57.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,58.0,ブレーキ（減速）,30.0,70.0,70.0,67.88962504071506,67.9,1479.6632394166238,123.0,239.76635699766786,0.0,0.0,この先制限速度なし,470m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0,0,,0,67.9,0,normal,0.6,巡航フェーズで必要速度と同等なのに力行を続けており、エネルギー効率が低下しているため評価を減点し、0.6とした。
58.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,59.0,ブレーキ（減速）,30.0,70.0,70.0,68.33703074066928,68.3,1460.7421574620466,122.0,242.85622091473422,0.0,0.0,この先制限速度なし,451m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0,0,,0,68.3,0,normal,0.6,巡航フェーズでrequired_speedを満たすのに加速を続けており、エネルギー効率が低下しているため減点し、rewardを0.6とした。
59.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,60.0,ブレーキ（減速）,30.0,70.0,70.0,68.7810865040963,68.8,1441.6972838972627,121.0,245.94112104175284,0.0,0.0,この先制限速度なし,432m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0,0,,0,68.8,0,normal,0.6,巡航フェーズでrequired_speedと同等の速度にも関わらず不要な力行を続け、エネルギー効率が低下しているため減点し0.6とした。
60.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,61.0,ブレーキ（減速）,30.0,70.0,70.0,69.22195793481993,69.2,1422.5295085325947,120.0,249.02177662418936,0.0,0.0,この先制限速度なし,413m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0,0,,0,69.2,0,normal,0.5,巡航フェーズでrequired_speedと同等なのに力行を継続し、エネルギー効率が低下しているため減点し0.5とした。
61.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,62.0,ブレーキ（減速）,30.0,70.0,70.0,69.65965942481216,69.7,1403.2397138878955,119.0,252.09787211822405,0.0,0.0,この先制限速度なし,393m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0,0,,0,69.7,0,normal,0.4,巡航フェーズでrequired_speedと同等なのに力行を継続しているためエネルギー無駄と評価し、0.4点とした。
62.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,1.0,力行（加速）,62.0,70.0,70.0,70.0942054446789,70.1,1383.8287784741326,118.0,255.1690988578471,0.0,0.0,この先制限速度なし,374m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0,0,,0,70.1,0,normal,0.0,制限速度70.0km/hを0.1km/h超過し、即時ゼロルールに該当するため、安全上評価は0.0とした。
63.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,1.0,ブレーキ（減速）,1.0,70.0,70.0,67.35220737393803,67.4,1364.7430482492914,117.0,236.07919526905738,0.0,0.0,この先制限速度なし,355m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0,0,,0,67.4,0,normal,0.0,直前のブレーキから1秒で加速へ反転し、保持時間が7秒未満でノコギリ運転と判定、上限が0.0点のためrewardは0.0。
64.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,2.0,ブレーキ（減速）,1.0,70.0,70.0,67.80779327506437,67.8,1345.9700048451673,116.0,239.20320275251524,0.0,0.0,この先制限速度なし,337m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0,0,,0,67.8,0,normal,0.0,前後のブレーキから2秒未満で力行へ切替え、保持時間が7秒未満で合理的根拠がなく、ノコギリ運転と判定され上限0.0点となった。
65.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,3.0,ブレーキ（減速）,1.0,70.0,70.0,68.25608011336216,68.3,1327.07150324595,115.0,242.2957987190891,0.0,0.0,この先制限速度なし,318m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0,0,,0,68.3,0,normal,0.0,直前のブレーキから3秒の力行へ短時間で切り替え、保持時間が7秒未満で合理的理由がなく、ノコギリ運転と判定され上限0.0点となった。
66.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,4.0,ブレーキ（減速）,1.0,70.0,70.0,68.70071545559975,68.7,1308.0490346044264,114.0,245.38143494423903,0.0,0.0,この先制限速度なし,298m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0,0,,0,68.7,0,normal,0.0,前ブレーキから4秒間の力行への短時間反転（1秒保持）でノコギリ運転と判定され、上限が0点となったためreward=0.0。
67.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,5.0,ブレーキ（減速）,1.0,70.0,70.0,69.14216386127225,69.1,1288.9035035338204,113.0,248.46288466538948,0.0,0.0,この先制限速度なし,279m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0,0,,0,69.1,0,normal,0.0,ブレーキから1秒の力行への短時間反転でノコギリ運転と判定され、上限が0.0点となったためrewardは0.0。
