time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
18,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,1.0,1.0,1.55,6.2,0.053731928280769,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,減速フェーズで適切にブレーキをかけ、delta_stopが5m以内で停止位置も良好、速度・信号遵守、ノコギリ運転なしで評価が高く1.0とした。
19,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,1.0,70.0,1.55,0.0,0.053731928280769,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキ中でdelta_stopが1.5mと5m以内であり、信号・速度制限を遵守しノコギリ運転もなく、停止位置も適切に達成できるため高評価とした。
20,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.8,惰行,20.0,70.0,70.0,1.0,1.0,1.55,6.2,0.053731928280769,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキが適切にかかり、delta_stopが1.5mで|Δ|≤5mの高評価範囲に入り、速度・信号・安全すべて遵守しているため0.9とした。
21,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.8,惰行,20.0,70.0,70.0,1.0,70.0,1.55,0.0,0.053731928280769,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,次駅減速フェーズで適切にブレーキをかけ、delta_stopが1.5mで停止位置誤差が5m以内、速度・信号遵守、ノコギリ運転なしと評価し最高点とする。
22,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,1.0,1.0,1.55,6.2,0.053731928280769,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキが適切に作動し、delta_stopが1.5mで停止位置が許容範囲内、速度・信号・遅延すべて遵守しているため高評価とした。
23,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,1.0,70.0,1.55,0.0,0.053731928280769,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキが適切に作動し、delta_stopが1.5mで許容範囲内、速度は制限内でCBTC遵守、ノコギリ運転なし、全基準を満たすため最高評価とする。
24,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,1.0,1.0,2.05,8.2,0.053731928280769,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,次駅減速フェーズでブレーキを適切に使用し、delta_stopが2mで停止位置が確保されているため評価は高く、ノコギリ運転や余分な力行はなし。
25,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,1.0,70.0,2.05,0.0,0.053731928280769,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキ中でdelta_stopが2mと許容範囲内、速度も制限・CBTC内であり、ノコギリ運転なしで適切に停止位置へ向かっているため最高評価とした。
26,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.8,惰行,20.0,70.0,70.0,1.0,1.0,2.05,8.2,0.053731928280769,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,次駅減速フェーズでブレーキが適切に掛かり、delta_stopが2mで停止位置誤差が5m以内のため高評価とした。
27,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.8,惰行,20.0,70.0,70.0,1.0,70.0,2.05,0.0,0.053731928280769,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキで適切に減速し、delta_stopが2mで許容範囲内、速度・信号遵守、ノコギリ運転なしのため高評価。
28,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,1.0,1.0,2.05,8.2,0.053731928280769,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,次駅減速フェーズでブレーキが適切にかかり、delta_stopが2mで許容範囲内、速度・信号・制限を遵守しノコギリ運転もなしと判断し高評価とした。
29,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,1.0,70.0,2.05,0.0,0.053731928280769,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキ中でdelta_stopが2mと許容範囲内、速度も制限内で停止位置が適切に保たれているため高評価とします。
30,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,1.0,1.0,3.05,12.2,0.053731928280769,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,次駅減速フェーズで適切にブレーキをかけ、delta_stopが3mで停止位置は許容範囲内、速度・信号遵守、ノコギリ運転なしと評価し高評価とした。
31,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,1.0,70.0,3.05,0.0,0.053731928280769,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキ中でdelta_stopが3mと許容範囲内であり、速度・CBTC制限を遵守し、ノコギリ運転もなく適切な減速フェーズと判断したため高評価。
32,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.8,惰行,20.0,70.0,70.0,1.0,1.0,3.05,12.2,0.053731928280769,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキが適切に作動し、delta_stopが3mで停止位置が許容範囲内、速度・信号遵守の問題なしと評価し、最高評価とした。
33,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.8,惰行,20.0,70.0,70.0,1.0,70.0,3.05,0.0,0.053731928280769,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキが適切に掛かりdelta_stopが3mで許容範囲内、速度制限・CBTC遵守のため評価は最高点とした。
34,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,1.0,1.0,3.05,12.2,0.053731928280769,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキ中で速度が制限・信号を下回り、delta_stopが3mと許容範囲内のため適切に停止できると判断した。
35,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,1.0,70.0,3.05,0.0,0.053731928280769,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキが作動し、delta_stopが3mで許容範囲内のため停止位置は適切であり、他の安全違反はない。
36,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,1.0,1.0,4.05,16.2,0.053731928280769,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキが適切に掛かり、delta_stopが4mで許容範囲内のため、減速フェーズの操作は安全かつ定時に適合し高評価とした。
37,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,1.0,70.0,4.05,0.0,0.053731928280769,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキが適切にかかっておりΔstop=4mで停止位置が許容範囲内、速度・信号遵守の違反なしのため高評価とした。
38,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.8,惰行,20.0,70.0,70.0,1.0,1.0,4.05,16.2,0.053731928280769,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,次駅減速フェーズでブレーキが適切に掛かり、Δstopが5m以内で停止位置も良好、速度制限・CBTC遵守、ノコギリ運転なしと評価し最高点とした。
39,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.8,惰行,20.0,70.0,70.0,1.0,70.0,4.05,0.0,0.053731928280769,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキ中でdelta_stopが4mと許容範囲内であり、信号・制限速度を遵守、ノコギリ運転なしで適切な減速と判断し高評価とした。
40,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,1.0,1.0,4.05,16.2,0.053731928280769,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,全ての上位項目で安全・信号遵守・停止位置が適切であり、不要な加速やノコギリ運転が無いため最高評価とした。
41,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,1.0,70.0,4.05,0.0,0.053731928280769,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキ中でdelta_stopが4m（5m以内）と停止位置が適切、速度は制限・CBTC内、ノコギリ運転なし、遅延はあるが安全性に問題なしと判断し高評価とした。
60,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,2.0,2.0,1.71,6.2,0.2148808499115298,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,停止位置誤差1.5mで許容範囲内、速度・CBTC遵守、ノコギリ運転なしのためreward=1.0とした。
61,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,2.0,70.0,1.71,0.0,0.2148808499115298,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキが適切に行われ、delta_stopが1.5mで停止位置が許容範囲内であり、速度・信号超過もなく安全に減速しているため、最高評価とした。
62,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.4,惰行,20.0,70.0,70.0,2.0,2.0,1.71,6.2,0.2148808499115298,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキが適切に掛かりdelta_stopが1.5mで許容範囲内、速度も制限内で余裕があり、ノコギリ運転なしと評価し高評価とした。
63,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.4,惰行,20.0,70.0,70.0,2.0,70.0,1.71,0.0,0.2148808499115298,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキが適切に作動しdelta_stopが1.5mで停止位置は許容範囲内、速度・信号超過なし、ノコギリ運転もなく高評価とした。
64,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,2.0,2.0,1.71,6.2,0.2148808499115298,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,次駅減速フェーズでブレーキが適切に作動し、delta_stopが1.5mで停止位置が確保され、速度・信号遵守、ノコギリ運転なしで高評価とした。
65,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,2.0,70.0,1.71,0.0,0.2148808499115298,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキが適切に掛かりdelta_stopが正の範囲内で停止位置が確保され、速度・信号違反がないため高評価。
66,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,2.0,2.0,2.21,8.0,0.2148808499115298,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキが適切に作動し、delta_stopが2mで許容範囲内、速度も制限内のため安全に停止でき高評価。
67,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,2.0,70.0,2.21,0.0,0.2148808499115298,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキで適切に減速し、delta_stopが2mで許容範囲内、速度制限・CBTC遵守、ノコギリ運転なしで安全に停止できるため高評価。
68,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.4,惰行,20.0,70.0,70.0,2.0,2.0,2.21,8.0,0.2148808499115298,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキ中でdelta_stopが2mと許容範囲内、速度・信号超過なし、ノコギリ運転もなく全項目で適切と判断し1.0とした。
69,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.4,惰行,20.0,70.0,70.0,2.0,70.0,2.21,0.0,0.2148808499115298,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキが適切に作動し、delta_stopが2mで停止位置が許容範囲内、速度・信号超過なしで安全かつ省エネと判断し高評価。
70,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,2.0,2.0,2.21,8.0,0.2148808499115298,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキが適切にかかり、delta_stopが2.0mで許容範囲内のため停止位置が確保され、速度も制限・信号内で安全に減速している。
71,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,2.0,70.0,2.21,0.0,0.2148808499115298,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキで適切に減速し、delta_stopが2mで停止位置が許容範囲内、速度・CBTC制限を遵守しているため高評価。
72,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,2.0,2.0,3.21,11.6,0.2148808499115298,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキが適切に作動し、delta_stopが3 mで許容範囲内のため高評価とし、他項目に違反なし。
73,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,2.0,70.0,3.21,0.0,0.2148808499115298,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキで適切に減速し、delta_stopが3mで5m以内の高評価範囲にあり、速度制限・CBTCも遵守しているため高評価とした。
74,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.4,惰行,20.0,70.0,70.0,2.0,2.0,3.21,11.6,0.2148808499115298,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,次駅減速フェーズでブレーキが適切にかかり、delta_stopが3mで許容範囲内、速度制限・CBTC信号を遵守し、ノコギリ運転や無駄な加速がなく安全に停止できるため最高評価とした。
75,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.4,惰行,20.0,70.0,70.0,2.0,70.0,3.21,0.0,0.2148808499115298,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキが適切に掛かり、delta_stopが3mで許容範囲内かつ速度は制限・信号内、ノコギリ運転なしで安全に停止できるため高評価。
76,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,2.0,2.0,3.21,11.6,0.2148808499115298,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキが適切に作動し、delta_stopが3mで許容範囲内のため停止位置が確保され、他の安全・速度要件も満たす。
77,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,2.0,70.0,3.21,0.0,0.2148808499115298,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,次駅減速フェーズでブレーキが適切にかかり、delta_stopが3mで許容範囲内、速度制限・CBTC遵守、ノコギリ運転なしのため高評価とした。
78,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,2.0,2.0,4.21,15.2,0.2148808499115298,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキが適切に作動し、delta_stopが4mで停止位置は十分確保されているため高評価とし、0.1刻みで1.0点とした。
80,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.4,惰行,20.0,70.0,70.0,2.0,2.0,4.21,15.2,0.2148808499115298,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキ中でdelta_stopが4mと許容範囲内、速度・信号遵守、ノコギリ運転なしで適切な減速と判断し高評価とした。
81,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.4,惰行,20.0,70.0,70.0,2.0,70.0,4.21,0.0,0.2148808499115298,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキが適切に作動しdelta_stopが4mで許容範囲内、速度・CBTC制限遵守、ノコギリ運転なし、停止位置精度が高く評価できるため高評価とした。
82,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,2.0,2.0,4.21,15.2,0.2148808499115298,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキが適切にかかりdelta_stopが4mで許容範囲内、速度・信号遵守、ノコギリ運転なしで安全に駅停車できるため高評価。
83,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,2.0,70.0,4.21,0.0,0.2148808499115298,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキが適切に掛かり、delta_stopが4mで許容範囲内のため停止位置が正確であり、速度・信号違反もなくノコギリ運転もなしと判断し最高評価とした。
102,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,3.0,3.0,1.98,4.8,0.4833729474772746,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキが適切に掛かり、delta_stopが1.5mで許容範囲内のため高評価とし、reward=0.9とした。
103,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,3.0,70.0,1.98,0.0,0.4833729474772746,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキが適切にかかりdelta_stopが1.5mで許容範囲内、速度も制限・CBTC内でノコギリ運転なし、現在の操作は安全かつ定時性に支障なしと判断し高評価。
104,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.0,惰行,20.0,70.0,70.0,3.0,3.0,1.98,4.8,0.4833729474772746,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキ中でdelta_stopが1.5mと適切範囲内、速度制限・CBTC遵守、ノコギリ運転なしで次駅減速フェーズに合致し、全項目で問題なしと判断したため。
105,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,11.0,惰行,20.0,70.0,70.0,3.0,70.0,1.98,0.0,0.4833729474772746,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキ中でdelta_stopが1.5mと許容範囲内、信号・制限速度遵守、ノコギリ運転なしで適切に減速しているため高評価とした。
106,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,3.0,3.0,1.98,4.8,0.4833729474772746,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,ブレーキ開始時のdelta_stopが1.5mで|delta_stop|≤5mのため停止位置は適切と判断し、他に違反は見られない。
107,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,15.0,70.0,70.0,3.0,70.0,1.98,0.0,0.4833729474772746,10.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,1.0,ブレーキが適切に作動し、delta_stopが1.5mで停止位置が確保でき、速度・信号超過なしで安全に減速しているため高評価とした。
