source_file,time,run_id,section,position_km,phase,current_notch,holding_time,prev_notch,prev_notch_duration,notch_jump,current_speed,atc_now,signal_speed,v_ceiling,v_target,band_upper,band_lower,band_notch_pair,hold_notch,v_std,v_std_deviation,schedule_speed,section_cap,required_speed,target_speed_no_stop,target_speed_spacing,dist_to_next_station,time_to_next_station,req_stop_dist,delta_stop,current_gradient,coast_accel,power_accel,next_gradient_info,limit_drop_ahead,delay,total_delay,stations_remaining,total_remaining_time,forward_info,forward_train_delay,forward_departed_next,standard_headway,forward_clear_remaining_time,forward_observed_delay,backward_info,backward_distance,backward_speed,backward_delay,is_dwelling,dwell_elapsed,dwell_min,dwell_max,mode,reward,reason,checks
tozai_normal_bad.csv,0.0,early_coast_s0_a,0,0.0,駅出発直後の加速フェーズ（20秒以内）,力行,0.0,なし（または停止）,0.0,0.0,0.0,45.0,45.0,45.0,0.0,39.8,34.5,惰行 ↔ 勾配ブレーキ,惰行,0.0,0.0,49.4,75.0,45.0,45.0,,964.5,80.0,0.0,964.5,-5.0,0.103,3.476,80m先で勾配が-5.0‰から-14.2‰に変わる,前方に現示の低下なし,0.0,0.0,1,80.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,normal,1.0,駅出発直後の加速フェーズで力行を選択し、信号遵守・勾配対応・ノコギリ運転なしと全項目が適正であるため高評価。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""対象外"", ""gradient"": ""OK"", ""phase"": ""OK"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
tozai_normal_bad.csv,76.0,useless_brake_s1,1,1.949955,次駅への減速フェーズ（駅手前400m以内）,制動,7.8,力行,0.0,5.87,37.84,70.0,70.0,70.0,37.8,65.3,59.7,勾配力行 ↔ 惰行,惰行,37.8,0.0,,75.0,70.0,70.0,,72.5,9.0,72.81,-0.26,3.0,-0.266,3.107,当面+3.0‰が続く,412m先でATC現示が70km/hから55km/hに低下する,0.0,0.0,1,9.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,normal,0.9,駅手前の減速フェーズで適切に制動し、停止位置誤差0.26mは許容範囲内、ATC遵守・速度が標準曲線と一致しエネルギー無駄なし。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""OK"", ""phase"": ""OK"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
tozai_normal_good.csv,41.0,std_s0,0,0.490885,巡航フェーズ（駅間走行中）,惰行,26.8,力行,14.2,2.34,57.7,75.0,75.0,75.0,57.9,71.0,67.7,惰行 ↔ 勾配ブレーキ,惰行,57.9,-0.2,62.8,75.0,63.7,63.7,,473.6,39.0,220.07,253.55,-16.3,0.342,2.681,220m先で勾配が-16.3‰から+2.0‰に変わる,前方に現示の低下なし,0.0,0.0,1,39.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,normal,0.9,巡航フェーズで目標速度57.9km/h付近を惰行で維持し、ATC上限75km/hを超えず、停止位置も十分確保できているため評価は高い。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""OK"", ""phase"": ""OK"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
tozai_normal_bad.csv,16.0,early_coast_s1_b,1,1.077761,駅出発直後の加速フェーズ（20秒以内）,力行,16.0,なし（または停止）,0.0,0.0,49.53,75.0,75.0,75.0,49.5,71.3,65.5,勾配力行 ↔ 惰行,惰行,49.5,-0.0,58.8,75.0,59.0,59.0,,944.7,69.0,125.33,819.41,2.0,-0.272,2.453,150m先で勾配が+2.0‰から+3.5‰に変わる,594m先でATC現示が75km/hから70km/hに低下する,0.0,0.0,1,69.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,normal,1.0,加速フェーズで力行が適切に継続され、速度は標準運転曲線と一致し、ATC現示を遵守、勾配上りでも加速が正当化され、停止位置も十分に確保されている。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""OK(上り・力行適正)"", ""phase"": ""OK"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
tozai_normal_good.csv,58.0,std_s0_v+2.0,0,0.793879,次駅への減速フェーズ（駅手前400m以内）,制動,1.5,惰行,41.7,2.5,58.03,75.0,75.0,75.0,58.0,72.0,66.1,勾配力行 ↔ 惰行,惰行,58.0,0.0,,75.0,75.0,75.0,,170.6,22.0,170.85,-0.23,2.0,-0.305,2.02,当面+2.0‰が続く,878m先でATC現示が75km/hから70km/hに低下する,0.0,0.0,1,22.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,normal,0.9,制動が適切に開始され、delta_stop が‑0.23 m と許容範囲内で、ATC遵守・速度・勾配対応すべて正しいため高評価。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""OK"", ""phase"": ""OK"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
tozai_normal_good.csv,5.0,std_s1,1,0.975706,駅出発直後の加速フェーズ（20秒以内）,力行,5.0,なし（または停止）,0.0,0.0,16.08,75.0,75.0,75.0,16.1,70.2,64.4,勾配力行 ↔ 惰行,惰行,16.1,-0.0,54.1,75.0,59.0,59.0,,1046.8,80.0,13.49,1033.3,2.0,-0.173,3.201,255m先で勾配が+2.0‰から+3.5‰に変わる,696m先でATC現示が75km/hから70km/hに低下する,0.0,0.0,1,80.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,normal,1.0,ATC遵守、速度が標準運転曲線と一致し、勾配対応も適切で、ノコギリ運転なし、停止位置も十分確保されているため高評価。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""OK"", ""phase"": ""OK"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
tozai_normal_good.csv,15.0,std_s0_v-1.0,0,0.106985,駅出発直後の加速フェーズ（20秒以内）,惰行,1.1,力行,13.9,2.83,47.76,70.0,70.0,70.0,48.9,65.3,61.6,惰行 ↔ 勾配ブレーキ,惰行,48.9,-1.1,56.9,75.0,57.8,57.8,,857.5,65.0,150.95,706.56,-14.2,0.307,3.132,65m先で勾配が-14.2‰から-16.3‰に変わる,前方に現示の低下なし,0.0,0.0,1,65.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,normal,0.6,下り勾配で惰行に切り替えたため速度が自然に上がり、勾配ブレーキで抑えるべきところを減速せず、加速フェーズで早すぎる惰行にした点が評価を下げた。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""NG(惰行で下り勾配加速)"", ""phase"": ""NG(加速フェーズで早期惰行)"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
tozai_normal_good.csv,71.5,std_s0_v-4.0,0,0.915529,次駅への減速フェーズ（駅手前400m以内）,制動,9.9,惰行,48.6,2.5,30.81,75.0,75.0,75.0,30.8,70.3,64.4,勾配力行 ↔ 惰行,惰行,30.8,-0.0,,75.0,75.0,75.0,,49.0,8.5,49.12,-0.15,2.0,-0.21,3.164,当面+2.0‰が続く,756m先でATC現示が75km/hから70km/hに低下する,0.0,0.0,1,8.5,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,normal,0.9,制動が適切に行われ、delta_stop が±5m以内で停止位置が確保され、ATC超過なしで安全かつエネルギー効率的。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""OK"", ""phase"": ""OK"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
tozai_normal_good.csv,68.5,std_s1_v+1.0,1,1.91445,次駅への減速フェーズ（駅手前400m以内）,惰行,38.6,力行,29.9,3.12,43.27,70.0,70.0,70.0,43.5,65.7,60.1,勾配力行 ↔ 惰行,惰行,43.5,-0.2,,75.0,70.0,70.0,,108.1,16.5,94.84,13.21,3.0,-0.284,2.835,当面+3.0‰が続く,447m先でATC現示が70km/hから55km/hに低下する,0.0,0.0,1,16.5,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,normal,0.9,減速フェーズでdelta_stopが正、速度がv_std付近かつ惰行でエネルギー効率良く減速しており、ATC超過やノコギリ運転はなく安全かつ省エネに適切。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""OK"", ""phase"": ""OK"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
tozai_normal_good.csv,49.0,std_s1_v-2.0,1,1.642833,次駅への減速フェーズ（駅手前400m以内）,惰行,21.2,力行,27.8,2.76,48.84,75.0,75.0,75.0,54.2,72.7,66.5,勾配力行 ↔ 惰行,勾配力行,54.2,-5.4,,75.0,52.4,52.4,,379.7,36.0,97.02,282.65,29.7,-1.246,1.517,70m先で勾配が+29.7‰から+3.0‰に変わる,29m先でATC現示が75km/hから70km/hに低下する,0.0,0.0,1,36.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,normal,1.0,減速フェーズで距離余裕が大きく、惰行で速度を自然減衰させているためATC遵守・エネルギー効率ともに適切であり、停止位置も確保できる。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""OK"", ""phase"": ""OK"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
