time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,reward
32.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,5.0,惰行,1.0,70.0,53.2,44.01,70.0,1915.9,12.0,105.29,0.0,-2.1,この先制限速度なし,125m先に下り勾配6.7‰あり,前方203.1m先を60.3km/h,後続列車なし,10.0,169.0,未発車,22.0,45.8,-0.5
67.0,Train11,巡航フェーズ（駅間走行中）,惰行中,2.0,力行（加速）,8.0,70.0,70.0,43.62,70.0,1572.5,26.0,100.54,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方699.6m先を62.9km/h,後続列車なし,10.0,121.0,未発車,35.0,54.4,-0.5
37.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,3.0,力行（加速）,22.0,70.0,70.0,42.29,70.0,1882.8,18.0,97.34,0.0,-2.1,この先制限速度なし,92m先に下り勾配6.7‰あり,前方361.6m先を63.5km/h,後続列車なし,10.0,173.0,未発車,28.0,44.2,-0.5
138.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,9.0,惰行,6.0,70.0,70.0,40.0,70.0,952.0,29.0,72.54,0.0,12.5,この先制限速度なし,この先目立った勾配なし,前方929.4m先を14.6km/h,後続列車なし,10.0,72.0,未発車,28.0,66.9,-0.5
199.59999999999968,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.1,力行（加速）,0.1,70.0,30.5,29.37,70.0,43.3,0.0,40.83,19.7,9.2,この先制限速度なし,この先目立った勾配なし,前方94.0m先を25.6km/h,後続列車なし,10.0,0.0,発車済み,35.0,70.0,-0.05
65.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,3.0,惰行,26.0,70.0,70.0,45.74,70.0,1603.8,18.0,110.45,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方573.8m先を63.3km/h,後続列車なし,10.0,145.0,未発車,28.0,49.2,-0.5
143.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,6.0,惰行,3.0,70.0,70.0,41.05,70.0,670.0,23.0,89.2,0.0,0.0,この先制限速度なし,80m先に上り勾配6.1‰あり,前方643.3m先を15.8km/h,後続列車なし,10.0,58.0,未発車,22.0,40.9,-0.5
84.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,25.0,ブレーキ（減速）,6.0,70.0,70.0,47.76,70.0,1565.3,29.0,120.26,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方988.4m先を61.5km/h,後続列車なし,10.0,119.0,未発車,35.0,55.2,-0.5
200.5999999999999,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.699999999999998,力行（加速）,4.0,70.0,25.0,26.87,70.0,79.3,0.0,34.22,22.7,9.2,この先制限速度なし,この先目立った勾配なし,前方79.7m先を0.0km/h,後続列車なし,10.0,2.4,未発車,35.0,23.1,-0.05
116.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,6.0,力行（加速）,2.0,70.0,70.0,19.15,70.0,1160.5,22.0,19.6,0.0,0.0,この先制限速度なし,170m先に上り勾配12.5‰あり,前方886.5m先を49.1km/h,後続列車なし,10.0,100.0,未発車,22.0,46.5,-0.5
95.0,Train11,巡航フェーズ（駅間走行中）,惰行中,36.0,力行（加速）,6.0,70.0,70.0,43.02,70.0,1115.1,32.0,97.85,0.0,0.0,この先制限速度なし,125m先に上り勾配12.5‰あり,前方721.1m先を57.6km/h,後続列車なし,10.0,108.0,未発車,35.0,42.5,-0.5
204.3999999999997,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,8.499999999999986,力行（加速）,4.0,70.0,14.2,15.72,70.0,56.9,0.0,11.75,26.5,9.2,この先制限速度なし,この先目立った勾配なし,前方59.5m先を6.4km/h,後続列車なし,10.0,0.0,発車済み,35.0,70.0,-0.05
185.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,19.0,70.0,35.5,37.3,70.0,109.1,0.0,65.65,8.0,9.2,この先制限速度なし,この先目立った勾配なし,前方109.4m先を0.0km/h,後続列車なし,10.0,10.0,未発車,28.0,22.0,-0.5
146.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,1.0,力行（加速）,1.0,70.0,70.0,37.51,70.0,697.4,30.0,74.6,0.0,0.0,この先制限速度なし,107m先に上り勾配6.1‰あり,前方695.7m先を4.3km/h,後続列車なし,10.0,49.0,未発車,28.0,48.8,-0.5
172.19999999999914,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.2000000000000006,力行（加速）,0.1,70.0,0.0,1.78,0.0,0.0,5.8,0.17,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方0.0m先を0.0km/h,後続列車なし,10.0,43.8,未発車,22.0,0.0,-0.05
