time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
191.89999999999944,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.3,力行（加速）,0.1,70.0,0.0,18.52,70.0,9.8,0.0,16.3,14.0,9.2,この先制限速度なし,この先目立った勾配なし,前方10.1m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,5.4,24.9,-0.05
140.19999999999982,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,3.3000000000000016,惰行,1.0,70.0,9.1,38.05,38.0,53.5,37.8,68.28,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方53.9m先を0.0km/h,後続列車なし,90.0,41.8,未発車,30.0,12.7,0.0,-0.05
161.1,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,28.200000000000003,力行（加速）,11.0,70.0,31.3,38.63,38.6,95.9,16.9,70.36,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方96.3m先を0.0km/h,後続列車なし,90.0,20.9,未発車,30.0,17.3,0.0,-0.05
169.89999999999966,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.5,惰行,0.1,70.0,0.0,27.52,27.5,33.0,8.1,35.89,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方33.3m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,10.0,2.9,-0.05
151.69999999999985,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.30000000000000004,惰行,8.499999999999991,70.0,23.4,30.31,30.3,75.5,26.3,43.47,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方75.9m先を0.0km/h,後続列車なし,60.0,15.0,未発車,60.0,15.5,14.7,-0.05
177.29999999999936,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.2000000000000006,惰行,0.1,70.0,0.0,13.94,13.9,1.4,2.7,9.24,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方36.9m先を22.2km/h,後続列車なし,60.0,0.0,発車済み,60.0,13.9,0.0,-0.05
152.3999999999998,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,2.1000000000000005,ブレーキ（減速）,0.1,70.0,21.0,28.62,28.6,70.6,25.6,38.8,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方71.0m先を0.0km/h,後続列車なし,90.0,29.6,未発車,30.0,14.6,0.0,-0.05
150.89999999999978,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.4,惰行,0.1,70.0,7.8,32.16,32.2,52.5,27.1,48.9,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方52.9m先を0.0km/h,後続列車なし,90.0,31.1,未発車,30.0,12.6,0.0,-0.05
162.19999999999976,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.1000000000000005,力行（加速）,0.1,70.0,0.0,33.76,33.8,47.7,15.8,53.87,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方48.0m先を0.0km/h,後続列車なし,60.0,15.0,未発車,60.0,12.0,25.2,-0.05
146.9999999999999,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,7.0999999999999925,惰行,19.0,70.0,20.4,38.07,38.1,69.4,31.0,68.36,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方69.8m先を0.0km/h,後続列車なし,90.0,35.0,未発車,30.0,14.5,0.0,-0.05
138.6999999999999,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.8000000000000005,惰行,1.0,70.0,20.9,42.51,42.5,70.3,39.3,85.07,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方70.7m先を0.0km/h,後続列車なし,90.0,43.3,未発車,30.0,14.6,0.0,-0.05
152.39999999999958,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,3.3000000000000016,惰行,0.1,70.0,0.0,25.53,25.5,20.6,25.6,30.91,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方20.9m先を0.0km/h,後続列車なし,90.0,29.6,未発車,30.0,7.9,0.0,-0.05
176.89999999999978,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.2000000000000006,力行（加速）,0.1,70.0,10.1,33.0,70.0,54.5,1.1,51.48,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方54.8m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,12.9,9.9,-0.05
156.39999999999935,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.1,力行（加速）,0.1,70.0,0.0,11.18,11.2,5.6,21.6,5.95,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方6.0m先を0.0km/h,後続列車なし,90.0,25.6,未発車,30.0,4.1,0.0,-0.05
151.89999999999984,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,1.6000000000000003,ブレーキ（減速）,0.1,70.0,23.0,28.85,28.8,74.6,26.1,39.41,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方75.0m先を0.0km/h,後続列車なし,90.0,30.1,未発車,30.0,15.1,0.0,-0.05
