time,run_id,section,position_km,phase,current_notch,holding_time,prev_notch,prev_notch_duration,notch_jump,current_speed,atc_now,signal_speed,v_ceiling,v_target,band_upper,band_lower,band_notch_pair,hold_notch,v_std,v_std_deviation,schedule_speed,section_cap,required_speed,target_speed_no_stop,target_speed_spacing,dist_to_next_station,time_to_next_station,req_stop_dist,delta_stop,current_gradient,coast_accel,power_accel,next_gradient_info,limit_drop_ahead,delay,total_delay,stations_remaining,total_remaining_time,forward_info,forward_train_delay,forward_departed_next,standard_headway,forward_clear_remaining_time,forward_observed_delay,backward_info,backward_distance,backward_speed,backward_delay,is_dwelling,dwell_elapsed,dwell_min,dwell_max,mode,reward,reason
0.0,early_coast_s0_a,0,0.0,駅出発直後の加速フェーズ（20秒以内）,力行,0.0,なし（または停止）,0.0,0.0,0.0,45.0,45.0,45.0,0.0,39.8,34.5,惰行 ↔ 勾配ブレーキ,惰行,0.0,0.0,49.4,75.0,45.0,45.0,,964.5,80.0,0.0,964.5,-5.0,0.103,3.476,80m先で勾配が-5.0‰から-14.2‰に変わる,前方に現示の低下なし,0.0,0.0,1,80.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,,,
1.0,early_coast_s0_a,0,0.000487,駅出発直後の加速フェーズ（20秒以内）,力行,1.0,なし（または停止）,0.0,0.0,3.47,45.0,45.0,45.0,3.5,39.8,34.5,惰行 ↔ 勾配ブレーキ,惰行,3.5,-0.0,50.2,75.0,45.0,45.0,,964.0,79.0,0.7,963.31,-5.0,0.098,3.471,80m先で勾配が-5.0‰から-14.2‰に変わる,前方に現示の低下なし,0.0,0.0,1,79.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,,,
2.0,early_coast_s0_a,0,0.001939,駅出発直後の加速フェーズ（20秒以内）,力行,2.0,なし（または停止）,0.0,0.0,6.94,45.0,45.0,45.0,6.9,39.8,34.5,惰行 ↔ 勾配ブレーキ,惰行,6.9,-0.0,51.0,75.0,45.0,45.0,,962.6,78.0,2.78,959.78,-5.0,0.092,3.466,80m先で勾配が-5.0‰から-14.2‰に変わる,前方に現示の低下なし,0.0,0.0,1,78.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,,,
3.0,early_coast_s0_a,0,0.004353,駅出発直後の加速フェーズ（20秒以内）,力行,3.0,なし（または停止）,0.0,0.0,10.4,45.0,45.0,45.0,10.4,39.8,34.5,惰行 ↔ 勾配ブレーキ,惰行,10.4,-0.0,51.8,75.0,45.0,45.0,,960.1,77.0,6.24,953.9,-5.0,0.086,3.459,75m先で勾配が-5.0‰から-14.2‰に変わる,前方に現示の低下なし,0.0,0.0,1,77.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,,,
4.0,early_coast_s0_a,0,0.007729,駅出発直後の加速フェーズ（20秒以内）,力行,4.0,なし（または停止）,0.0,0.0,13.86,45.0,45.0,45.0,13.9,39.8,34.5,惰行 ↔ 勾配ブレーキ,惰行,13.9,0.0,52.3,75.0,45.0,45.0,,956.8,76.0,11.06,945.71,-5.0,0.079,3.453,70m先で勾配が-5.0‰から-14.2‰に変わる,前方に現示の低下なし,0.0,0.0,1,76.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,,,
5.0,early_coast_s0_a,0,0.012063,駅出発直後の加速フェーズ（20秒以内）,力行,5.0,なし（または停止）,0.0,0.0,17.31,45.0,45.0,45.0,17.3,39.8,34.5,惰行 ↔ 勾配ブレーキ,惰行,17.3,0.0,53.0,75.0,45.0,45.0,,952.4,75.0,17.22,935.22,-5.0,0.072,3.445,70m先で勾配が-5.0‰から-14.2‰に変わる,前方に現示の低下なし,0.0,0.0,1,75.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,,,
6.0,early_coast_s0_a,0,0.017354,駅出発直後の加速フェーズ（20秒以内）,力行,6.0,なし（または停止）,0.0,0.0,20.75,70.0,70.0,70.0,20.8,64.8,59.6,惰行 ↔ 勾配ブレーキ,惰行,20.8,-0.0,53.4,75.0,56.9,56.9,,947.1,74.0,24.7,922.45,-5.0,0.064,3.437,65m先で勾配が-5.0‰から-14.2‰に変わる,前方に現示の低下なし,0.0,0.0,1,74.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,,,
7.0,early_coast_s0_a,0,0.0236,駅出発直後の加速フェーズ（20秒以内）,力行,7.0,なし（または停止）,0.0,0.0,24.18,70.0,70.0,70.0,24.2,64.9,59.6,惰行 ↔ 勾配ブレーキ,惰行,24.2,-0.0,54.2,75.0,56.9,56.9,,940.9,73.0,33.48,907.42,-5.0,0.055,3.429,55m先で勾配が-5.0‰から-14.2‰に変わる,前方に現示の低下なし,0.0,0.0,1,73.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,,,
8.0,early_coast_s0_a,0,0.030799,駅出発直後の加速フェーズ（20秒以内）,力行,8.0,なし（または停止）,0.0,0.0,27.61,70.0,70.0,70.0,27.6,64.9,64.3,惰行 ↔ 勾配ブレーキ,惰行,27.6,0.0,54.5,75.0,56.9,56.9,,933.7,72.0,43.53,890.17,-5.0,0.046,3.42,50m先で勾配が-5.0‰から-14.2‰に変わる,前方に現示の低下なし,0.0,0.0,1,72.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,,,
9.0,early_coast_s0_a,0,0.038947,駅出発直後の加速フェーズ（20秒以内）,力行,9.0,なし（または停止）,0.0,0.0,31.02,70.0,70.0,70.0,31.0,64.9,59.9,惰行 ↔ 勾配ブレーキ,惰行,31.0,-0.0,55.1,75.0,56.9,56.9,,925.6,71.0,57.36,868.2,-5.0,0.037,3.41,40m先で勾配が-5.0‰から-14.2‰に変わる,前方に現示の低下なし,0.0,0.0,1,71.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,,,
10.0,early_coast_s0_a,0,0.048043,駅出発直後の加速フェーズ（20秒以内）,力行,10.0,なし（または停止）,0.0,0.0,34.43,70.0,70.0,70.0,34.4,64.9,60.3,惰行 ↔ 勾配ブレーキ,惰行,34.4,0.0,55.7,75.0,56.9,56.9,,916.5,70.0,73.2,843.25,-5.0,0.027,3.4,30m先で勾配が-5.0‰から-14.2‰に変わる,前方に現示の低下なし,0.0,0.0,1,70.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,,,
