run_id,time,section,position,phase,current_notch,holding_time,prev_notch,prev_notch_duration,current_speed,speed_limit,signal_speed,required_speed,target_speed_no_stop,v_std,v_std_deviation,dist_to_next_station,time_to_next_station,req_stop_dist,delta_stop,current_gradient,coast_accel,power_accel,next_limit_info,next_gradient_info,coast_reachable,coast_arrival_speed,delay,total_delay,stations_remaining,total_remaining_distance,total_remaining_time,is_dwelling,dwell_elapsed,dwell_min,dwell_max,dwell_over_std,time_to_stop_limit,forward_info,forward_train_delay,standard_headway,forward_clear_remaining_time,forward_observed_delay,forward_dwell_elapsed,forward_departed_next,backward_info,mode,reward,reason
anti_mid_stop__on_time__solo,1.0000,0,21.1124,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,30.0000,なし（または停止）,0.0000,3.1655,70.0000,70.0000,64.8030,64.8030,1.9871,1.1784,2177.5520,179.0000,0.4738,2177.0783,-2.1000,-0.0130,3.0809,この先制限速度なし,387m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,0.3625,2,3554.5520,339.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
anti_mid_stop__on_time__solo,76.0000,0,22.1047,巡航フェーズ（駅間走行中）,惰行中,29.0000,力行（加速）,46.0000,56.1820,70.0000,70.0000,58.7290,58.7290,59.9889,-3.8069,1185.2970,104.0000,147.3959,1037.9011,0.0000,-0.1978,0.6563,この先制限速度なし,195m先に上り勾配12.5‰あり,1.0000,13.6279,0.0000,1.6648,2,2562.2970,264.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
anti_mid_stop__on_time__solo,151.0000,0,23.0521,次駅への減速フェーズ（駅手前400m以内）,惰行中,1.0000,力行（加速）,1.0000,35.9615,70.0000,70.0000,37.4428,37.4428,34.9299,1.0316,237.9238,29.0000,61.0047,176.9191,6.1000,-0.3562,1.0148,この先制限速度なし,47m先に上り勾配9.2‰あり,1.0000,25.3729,0.0000,4.8551,2,1614.9238,189.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
anti_mid_stop__on_time__solo,172.0000,0,23.2487,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.5000,惰行,0.6000,29.6275,70.0000,70.0000,70.0000,70.0000,24.8234,4.8042,41.2945,8.0000,41.5109,-0.2165,9.2000,-0.4515,1.2523,この先制限速度なし,この先目立った勾配なし,1.0000,29.6275,0.0000,2.2987,2,1418.2945,168.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
anti_mid_stop__on_time__solo,179.5000,0,23.2874,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,8.0000,惰行,0.6000,7.6369,70.0000,70.0000,70.0000,70.0000,7.3281,0.3088,2.5538,0.5000,2.7696,-0.2158,9.2000,-0.4162,2.4428,この先制限速度なし,この先目立った勾配なし,1.0000,7.6369,0.0000,2.0308,2,1379.5538,160.5000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
anti_mid_stop__on_time__solo,262.0000,1,23.7618,巡航フェーズ（駅間走行中）,力行（加速）中,50.0000,ブレーキ（減速）,30.0000,49.5414,70.0000,70.0000,54.4113,54.4113,49.5415,-0.0000,905.1566,78.0000,133.3045,771.8521,11.4000,-0.6076,0.3402,この先制限速度なし,この先目立った勾配なし,1.0000,15.2714,0.0000,2.0003,1,905.1566,78.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
anti_mid_stop__on_time__solo,327.1000,1,24.5863,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0000,惰行,13.0000,39.0649,70.0000,70.0000,70.0000,70.0000,38.4195,0.6453,80.6587,12.9000,83.3817,-2.7229,-2.3000,-0.0674,1.1406,この先制限速度なし,この先目立った勾配なし,1.0000,39.0649,0.0000,2.3049,1,80.6587,12.9000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
anti_mid_stop__on_time__solo,334.6000,1,24.6478,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.5000,惰行,13.0000,19.9684,70.0000,70.0000,70.0000,70.0000,18.6941,1.2743,19.2441,5.4000,21.9657,-2.7216,-2.3000,-0.0277,2.1835,この先制限速度なし,この先目立った勾配なし,1.0000,19.9684,0.0000,2.0519,1,19.2441,5.4000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
anti_mid_stop__on_time__solo,342.1000,1,24.6697,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,17.0000,惰行,13.0000,1.1090,70.0000,70.0000,0.0000,0.0000,0.5688,0.5402,-2.6546,0.0000,0.0667,-2.7213,-2.3000,-0.0041,3.1978,この先制限速度なし,この先目立った勾配なし,1.0000,1.1090,2.1000,2.3400,1,-2.6546,-2.1000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
anti_mid_stop__on_time__solo,183.0000,1,23.2900,駅停車中（発車判断）,ブレーキ（減速）中,10.6000,惰行,0.6000,0.0000,70.0000,70.0000,50.7910,50.7910,0.0000,0.0000,1377.0000,157.0000,0.0000,1377.0000,9.2000,-0.4089,2.8513,この先制限速度なし,10m先に上り勾配11.4‰あり,1.0000,0.0000,0.0000,2.0000,1,1377.0000,157.0000,1.0000,1.0000,30.0000,300.0000,0.0000,109.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
