run_id,time,section,position,phase,current_notch,holding_time,prev_notch,prev_notch_duration,current_speed,speed_limit,signal_speed,required_speed,target_speed_no_stop,v_std,v_std_deviation,dist_to_next_station,time_to_next_station,req_stop_dist,delta_stop,current_gradient,coast_accel,power_accel,next_limit_info,next_gradient_info,coast_reachable,coast_arrival_speed,delay,total_delay,stations_remaining,total_remaining_distance,total_remaining_time,is_dwelling,dwell_elapsed,dwell_min,dwell_max,dwell_over_std,time_to_stop_limit,forward_info,forward_train_delay,standard_headway,forward_clear_remaining_time,forward_observed_delay,forward_dwell_elapsed,forward_departed_next,backward_info,mode,reward,reason
coast_early__on_time__solo,1.0000,0,21.1124,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,30.0000,なし（または停止）,0.0000,3.1655,70.0000,70.0000,64.8030,64.8030,1.9871,1.1784,2177.5520,179.0000,0.4738,2177.0783,-2.1000,-0.0130,3.0809,この先制限速度なし,387m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,0.3625,2,3554.5520,339.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo,103.0000,0,22.4736,巡航フェーズ（駅間走行中）,惰行中,58.0000,力行（加速）,44.0000,44.1580,70.0000,70.0000,50.0302,50.0302,50.1918,-6.0338,816.3580,77.0000,91.6403,724.7177,12.5000,-0.6029,0.4208,この先制限速度なし,26m先で上り勾配12.5‰が終わり平坦になる,1.0000,4.0493,0.0000,5.0844,2,2193.3580,237.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo,185.2000,0,23.2035,次駅への減速フェーズ（駅手前400m以内）,惰行中,141.1000,力行（加速）,44.0000,16.7784,70.0000,70.0000,70.0000,70.0000,27.5858,-10.8074,86.5084,0.0000,13.3632,73.1452,9.2000,-0.4283,1.9504,この先制限速度なし,この先目立った勾配なし,1.0000,4.5928,5.2000,21.7116,2,1463.5084,154.8000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo,195.4000,0,23.2449,次駅への減速フェーズ（駅手前400m以内）,惰行中,151.3000,力行（加速）,44.0000,12.4419,70.0000,70.0000,70.0000,70.0000,25.0684,-12.6265,45.1339,0.0000,7.3531,37.7808,9.2000,-0.4221,2.1844,この先制限速度なし,この先目立った勾配なし,1.0000,4.5116,15.4000,26.2532,2,1422.1339,144.6000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo,205.6000,0,23.2740,次駅への減速フェーズ（駅手前400m以内）,惰行中,161.5000,力行（加速）,44.0000,8.1642,70.0000,70.0000,70.0000,70.0000,18.3517,-10.1876,15.9607,0.0000,3.1657,12.7950,9.2000,-0.4168,2.4145,この先制限速度なし,この先目立った勾配なし,1.0000,4.6368,25.6000,31.9022,2,1392.9607,134.4000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo,248.5000,1,23.2934,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0000,ブレーキ（減速）,30.0000,7.9053,70.0000,70.0000,70.0000,70.0000,7.8074,0.0978,1373.6071,91.5000,3.4498,1370.1573,9.2000,-0.4165,2.4284,この先制限速度なし,6m先に上り勾配11.4‰あり,0.0000,0.0000,0.0000,35.5344,1,1373.6071,91.5000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo,350.5000,1,24.3666,次駅への減速フェーズ（駅手前400m以内）,惰行中,48.0000,力行（加速）,57.0000,28.6944,70.0000,70.0000,70.0000,70.0000,40.8288,-12.1344,300.3731,0.0000,45.2099,255.1632,-2.3000,-0.0439,1.7089,この先制限速度なし,この先目立った勾配なし,1.0000,26.5643,10.5000,45.6062,1,300.3731,-10.5000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo,385.0000,1,24.6291,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,83.4000,力行（加速）,57.0000,26.3071,70.0000,70.0000,70.0000,70.0000,26.2720,0.0351,37.9197,0.0000,38.0375,-0.1178,-2.3000,-0.0391,1.8391,この先制限速度なし,この先目立った勾配なし,1.0000,26.3071,45.0000,55.4449,1,37.9197,-45.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo,395.2000,1,24.6671,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,10.2000,惰行,83.4000,0.6138,70.0000,70.0000,0.0000,0.0000,0.5688,0.0450,-0.0972,0.0000,0.0201,-0.1172,-2.3000,-0.0037,3.2242,この先制限速度なし,この先目立った勾配なし,1.0000,0.6138,55.2000,55.4400,1,-0.0972,-55.2000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo,216.5000,1,23.2900,駅停車中（発車判断）,ブレーキ（減速）中,1.5000,惰行,170.0000,0.0000,70.0000,70.0000,55.7941,55.7941,0.0000,0.0000,1377.0000,123.5000,0.0000,1377.0000,9.2000,-0.4089,2.8513,この先制限速度なし,10m先に上り勾配11.4‰あり,1.0000,0.0000,0.0000,35.5000,1,1377.0000,123.5000,1.0000,1.0000,30.0000,300.0000,0.0000,105.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo,231.5000,1,23.2900,駅停車中（発車判断）,ブレーキ（減速）中,16.5000,惰行,170.0000,0.0000,70.0000,70.0000,70.0000,70.0000,0.0000,0.0000,1377.0000,108.5000,0.0000,1377.0000,9.2000,-0.4089,2.8513,この先制限速度なし,10m先に上り勾配11.4‰あり,1.0000,0.0000,0.0000,35.5000,1,1377.0000,108.5000,1.0000,16.0000,30.0000,300.0000,0.0000,102.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay20,21.0000,0,21.1124,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,30.0000,なし（または停止）,0.0000,3.1655,70.0000,70.0000,69.4697,69.4697,1.9871,1.1784,2177.5520,159.0000,0.4738,2177.0783,-2.1000,-0.0130,3.0809,この先制限速度なし,387m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,20.3625,2,3554.5520,319.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay20,123.0000,0,22.4736,巡航フェーズ（駅間走行中）,惰行中,58.0000,力行（加速）,44.0000,44.1580,70.0000,70.0000,70.0000,70.0000,50.1918,-6.0338,816.3580,57.0000,91.6403,724.7177,12.5000,-0.6029,0.4208,この先制限速度なし,26m先で上り勾配12.5‰が終わり平坦になる,1.0000,4.0493,0.0000,25.0844,2,2193.3580,217.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay20,205.2000,0,23.2035,次駅への減速フェーズ（駅手前400m以内）,惰行中,141.1000,力行（加速）,44.0000,16.7784,70.0000,70.0000,70.0000,70.0000,27.5858,-10.8074,86.5084,0.0000,13.3632,73.1452,9.2000,-0.4283,1.9504,この先制限速度なし,この先目立った勾配なし,1.0000,4.5928,25.2000,41.7116,2,1463.5084,134.8000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay20,215.4000,0,23.2449,次駅への減速フェーズ（駅手前400m以内）,惰行中,151.3000,力行（加速）,44.0000,12.4419,70.0000,70.0000,70.0000,70.0000,25.0684,-12.6265,45.1339,0.0000,7.3531,37.7808,9.2000,-0.4221,2.1844,この先制限速度なし,この先目立った勾配なし,1.0000,4.5116,35.4000,46.2532,2,1422.1339,124.6000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay20,225.6000,0,23.2740,次駅への減速フェーズ（駅手前400m以内）,惰行中,161.5000,力行（加速）,44.0000,8.1642,70.0000,70.0000,70.0000,70.0000,18.3517,-10.1876,15.9607,0.0000,3.1657,12.7950,9.2000,-0.4168,2.4145,この先制限速度なし,この先目立った勾配なし,1.0000,4.6368,45.6000,51.9022,2,1392.9607,114.4000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay20,268.5000,1,23.2934,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0000,ブレーキ（減速）,30.0000,7.9053,70.0000,70.0000,70.0000,70.0000,7.8074,0.0978,1373.6071,71.5000,3.4498,1370.1573,9.2000,-0.4165,2.4284,この先制限速度なし,6m先に上り勾配11.4‰あり,0.0000,0.0000,0.0000,55.5344,1,1373.6071,71.5000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay20,370.5000,1,24.3666,次駅への減速フェーズ（駅手前400m以内）,惰行中,48.0000,力行（加速）,57.0000,28.6944,70.0000,70.0000,70.0000,70.0000,40.8288,-12.1344,300.3731,0.0000,45.2099,255.1632,-2.3000,-0.0439,1.7089,この先制限速度なし,この先目立った勾配なし,1.0000,26.5643,30.5000,65.6062,1,300.3731,-30.5000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay20,405.0000,1,24.6291,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,83.4000,力行（加速）,57.0000,26.3071,70.0000,70.0000,70.0000,70.0000,26.2720,0.0351,37.9197,0.0000,38.0375,-0.1178,-2.3000,-0.0391,1.8391,この先制限速度なし,この先目立った勾配なし,1.0000,26.3071,65.0000,75.4449,1,37.9197,-65.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay20,415.2000,1,24.6671,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,10.2000,惰行,83.4000,0.6138,70.0000,70.0000,0.0000,0.0000,0.5688,0.0450,-0.0972,0.0000,0.0201,-0.1172,-2.3000,-0.0037,3.2242,この先制限速度なし,この先目立った勾配なし,1.0000,0.6138,75.2000,75.4400,1,-0.0972,-75.2000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay20,236.5000,1,23.2900,駅停車中（発車判断）,ブレーキ（減速）中,1.5000,惰行,170.0000,0.0000,70.0000,70.0000,70.0000,70.0000,0.0000,0.0000,1377.0000,103.5000,0.0000,1377.0000,9.2000,-0.4089,2.8513,この先制限速度なし,10m先に上り勾配11.4‰あり,1.0000,0.0000,0.0000,55.5000,1,1377.0000,103.5000,1.0000,1.0000,30.0000,300.0000,0.0000,102.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay20,251.5000,1,23.2900,駅停車中（発車判断）,ブレーキ（減速）中,16.5000,惰行,170.0000,0.0000,70.0000,70.0000,70.0000,70.0000,0.0000,0.0000,1377.0000,88.5000,0.0000,1377.0000,9.2000,-0.4089,2.8513,この先制限速度なし,10m先に上り勾配11.4‰あり,1.0000,0.0000,0.0000,55.5000,1,1377.0000,88.5000,1.0000,16.0000,30.0000,300.0000,0.0000,102.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay60,61.0000,0,21.1124,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,30.0000,なし（または停止）,0.0000,3.1655,70.0000,70.0000,70.0000,70.0000,1.9871,1.1784,2177.5520,119.0000,0.4738,2177.0783,-2.1000,-0.0130,3.0809,この先制限速度なし,387m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,60.3625,2,3554.5520,279.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay60,163.0000,0,22.4736,巡航フェーズ（駅間走行中）,惰行中,58.0000,力行（加速）,44.0000,44.1580,70.0000,70.0000,70.0000,70.0000,50.1918,-6.0338,816.3580,17.0000,91.6403,724.7177,12.5000,-0.6029,0.4208,この先制限速度なし,26m先で上り勾配12.5‰が終わり平坦になる,1.0000,4.0493,0.0000,65.0844,2,2193.3580,177.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay60,245.2000,0,23.2035,次駅への減速フェーズ（駅手前400m以内）,惰行中,141.1000,力行（加速）,44.0000,16.7784,70.0000,70.0000,70.0000,70.0000,27.5858,-10.8074,86.5084,0.0000,13.3632,73.1452,9.2000,-0.4283,1.9504,この先制限速度なし,この先目立った勾配なし,1.0000,4.5928,65.2000,81.7116,2,1463.5084,94.8000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay60,255.4000,0,23.2449,次駅への減速フェーズ（駅手前400m以内）,惰行中,151.3000,力行（加速）,44.0000,12.4419,70.0000,70.0000,70.0000,70.0000,25.0684,-12.6265,45.1339,0.0000,7.3531,37.7808,9.2000,-0.4221,2.1844,この先制限速度なし,この先目立った勾配なし,1.0000,4.5116,75.4000,86.2532,2,1422.1339,84.6000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay60,265.6000,0,23.2740,次駅への減速フェーズ（駅手前400m以内）,惰行中,161.5000,力行（加速）,44.0000,8.1642,70.0000,70.0000,70.0000,70.0000,18.3517,-10.1876,15.9607,0.0000,3.1657,12.7950,9.2000,-0.4168,2.4145,この先制限速度なし,この先目立った勾配なし,1.0000,4.6368,85.6000,91.9022,2,1392.9607,74.4000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay60,308.5000,1,23.2934,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0000,ブレーキ（減速）,30.0000,7.9053,70.0000,70.0000,70.0000,70.0000,7.8074,0.0978,1373.6071,31.5000,3.4498,1370.1573,9.2000,-0.4165,2.4284,この先制限速度なし,6m先に上り勾配11.4‰あり,0.0000,0.0000,0.0000,95.5344,1,1373.6071,31.5000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay60,410.5000,1,24.3666,次駅への減速フェーズ（駅手前400m以内）,惰行中,48.0000,力行（加速）,57.0000,28.6944,70.0000,70.0000,70.0000,70.0000,40.8288,-12.1344,300.3731,0.0000,45.2099,255.1632,-2.3000,-0.0439,1.7089,この先制限速度なし,この先目立った勾配なし,1.0000,26.5643,70.5000,105.6062,1,300.3731,-70.5000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay60,445.0000,1,24.6291,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,83.4000,力行（加速）,57.0000,26.3071,70.0000,70.0000,70.0000,70.0000,26.2720,0.0351,37.9197,0.0000,38.0375,-0.1178,-2.3000,-0.0391,1.8391,この先制限速度なし,この先目立った勾配なし,1.0000,26.3071,105.0000,115.4449,1,37.9197,-105.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_early__on_time__solo_delay60,455.2000,1,24.6671,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,10.2000,惰行,83.4000,0.6138,70.0000,70.0000,0.0000,0.0000,0.5688,0.0450,-0.0972,0.0000,0.0201,-0.1172,-2.3000,-0.0037,3.2242,この先制限速度なし,この先目立った勾配なし,1.0000,0.6138,115.2000,115.4400,1,-0.0972,-115.2000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
