run_id,time,section,position,phase,current_notch,holding_time,prev_notch,prev_notch_duration,current_speed,speed_limit,signal_speed,required_speed,target_speed_no_stop,v_std,v_std_deviation,dist_to_next_station,time_to_next_station,req_stop_dist,delta_stop,current_gradient,coast_accel,power_accel,next_limit_info,next_gradient_info,coast_reachable,coast_arrival_speed,delay,total_delay,stations_remaining,total_remaining_distance,total_remaining_time,is_dwelling,dwell_elapsed,dwell_min,dwell_max,dwell_over_std,time_to_stop_limit,forward_info,forward_train_delay,standard_headway,forward_clear_remaining_time,forward_observed_delay,forward_dwell_elapsed,forward_departed_next,backward_info,mode,reward,reason
coast_late__on_time__solo,1.0000,0,21.1124,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,30.0000,なし（または停止）,0.0000,3.1655,70.0000,70.0000,64.8030,64.8030,1.9871,1.1784,2177.5520,179.0000,0.4738,2177.0783,-2.1000,-0.0130,3.0809,この先制限速度なし,387m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,0.3625,2,3554.5520,339.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_late__on_time__solo,76.0000,0,22.1408,巡航フェーズ（駅間走行中）,惰行中,20.0000,力行（加速）,1.0000,60.9168,70.0000,70.0000,60.9168,60.9168,59.5326,1.3842,1149.1663,104.0000,172.8015,976.3649,0.0000,-0.2136,0.5736,この先制限速度なし,159m先に上り勾配12.5‰あり,1.0000,27.0318,0.0000,0.0000,2,2526.1663,264.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_late__on_time__solo,151.0000,0,23.1280,次駅への減速フェーズ（駅手前400m以内）,惰行中,95.0000,力行（加速）,1.0000,33.7760,70.0000,70.0000,33.7760,33.7760,31.7271,2.0489,162.0401,29.0000,53.8636,108.1765,9.2000,-0.4605,1.0253,この先制限速度なし,この先目立った勾配なし,1.0000,26.7524,0.0000,0.0000,2,1539.0401,189.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_late__on_time__solo,164.8000,0,23.2454,次駅への減速フェーズ（駅手前400m以内）,惰行中,109.7000,力行（加速）,1.0000,27.5150,70.0000,70.0000,27.5150,27.5150,25.0366,2.4784,44.6332,15.2000,35.8291,8.8041,9.2000,-0.4472,1.3675,この先制限速度なし,この先目立った勾配なし,1.0000,26.8448,0.0000,0.0000,2,1421.6332,175.2000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_late__on_time__solo,172.3000,0,23.2863,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,6.0000,惰行,111.2000,9.0124,70.0000,70.0000,9.0124,9.0124,8.8178,0.1946,3.6874,7.7000,3.8581,-0.1707,9.2000,-0.4178,2.3689,この先制限速度なし,この先目立った勾配なし,1.0000,9.0124,0.0000,0.0000,2,1380.6874,167.7000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_late__on_time__solo,250.3000,1,23.6942,巡航フェーズ（駅間走行中）,力行（加速）中,45.0000,ブレーキ（減速）,30.0000,47.7659,70.0000,70.0000,53.3855,53.3855,47.7657,0.0001,972.7511,89.7000,124.0539,848.6972,11.4000,-0.6024,0.3704,この先制限速度なし,この先目立った勾配なし,0.0000,0.0000,0.0000,0.0000,1,972.7511,89.7000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_late__on_time__solo,316.3000,1,24.5887,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.9000,惰行,37.0000,38.2903,70.0000,70.0000,38.2903,38.2903,37.8559,0.4344,78.3319,23.7000,80.1402,-1.8083,-2.3000,-0.0655,1.1832,この先制限速度なし,この先目立った勾配なし,1.0000,38.2903,0.0000,0.0000,1,78.3319,23.7000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_late__on_time__solo,323.8000,1,24.6485,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.4000,惰行,37.0000,19.2057,70.0000,70.0000,19.2057,19.2057,18.3367,0.8690,18.5176,16.2000,20.3247,-1.8071,-2.3000,-0.0264,2.2248,この先制限速度なし,この先目立った勾配なし,1.0000,19.2057,0.0000,0.0000,1,18.5176,16.2000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_late__on_time__solo,331.3000,1,24.6688,駅停車完了（速度0km/h）,ブレーキ（減速）中,16.9000,惰行,37.0000,0.3534,70.0000,70.0000,0.0000,0.0000,0.5688,-0.2154,-1.8004,8.7000,0.0064,-1.8068,-2.3000,-0.0035,3.2381,この先制限速度なし,この先目立った勾配なし,1.0000,0.3534,0.0000,0.0000,1,-1.8004,8.7000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_late__on_time__solo,176.3000,1,23.2900,駅停車中（発車判断）,ブレーキ（減速）中,9.1000,惰行,111.2000,0.0000,70.0000,70.0000,50.4364,50.4364,0.0000,0.0000,1377.0000,163.7000,0.0000,1377.0000,9.2000,-0.4089,2.8513,この先制限速度なし,10m先に上り勾配11.4‰あり,1.0000,0.0000,0.0000,0.0000,1,1377.0000,163.7000,1.0000,1.0000,30.0000,300.0000,0.0000,109.5000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
coast_late__on_time__solo,191.3000,1,23.2900,駅停車中（発車判断）,ブレーキ（減速）中,24.1000,惰行,111.2000,0.0000,70.0000,70.0000,51.4746,51.4746,0.0000,0.0000,1377.0000,148.7000,0.0000,1377.0000,9.2000,-0.4089,2.8513,この先制限速度なし,10m先に上り勾配11.4‰あり,1.0000,0.0000,0.0000,0.0000,1,1377.0000,148.7000,1.0000,16.0000,30.0000,300.0000,0.0000,108.5000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
