run_id,time,section,position,phase,current_notch,holding_time,prev_notch,prev_notch_duration,current_speed,speed_limit,signal_speed,required_speed,target_speed_no_stop,v_std,v_std_deviation,dist_to_next_station,time_to_next_station,req_stop_dist,delta_stop,current_gradient,coast_accel,power_accel,next_limit_info,next_gradient_info,coast_reachable,coast_arrival_speed,delay,total_delay,stations_remaining,total_remaining_distance,total_remaining_time,is_dwelling,dwell_elapsed,dwell_min,dwell_max,dwell_over_std,time_to_stop_limit,forward_info,forward_train_delay,standard_headway,forward_clear_remaining_time,forward_observed_delay,forward_dwell_elapsed,forward_departed_next,backward_info,mode,reward,reason
creep__on_time__solo,1.0000,0,21.1124,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,30.0000,なし（または停止）,0.0000,3.1655,70.0000,70.0000,64.8030,64.8030,1.9871,1.1784,2177.5520,179.0000,0.4738,2177.0783,-2.1000,-0.0130,3.0809,この先制限速度なし,387m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,0.3625,2,3554.5520,339.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo,120.0000,0,21.5571,巡航フェーズ（駅間走行中）,惰行中,62.0000,力行（加速）,1.0000,15.2611,70.0000,70.0000,70.0000,70.0000,59.2639,-44.0028,1732.8615,60.0000,11.0588,1721.8028,-6.7000,0.1349,2.5934,この先制限速度なし,92m先で下り勾配6.7‰が終わり平坦になる,0.0000,0.0000,0.0000,77.2096,2,3109.8615,220.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo,239.0000,0,22.0430,巡航フェーズ（駅間走行中）,惰行中,12.0000,力行（加速）,1.0000,13.1665,70.0000,70.0000,70.0000,70.0000,60.7679,-47.6014,1246.9821,0.0000,8.2338,1238.7483,0.0000,-0.0985,2.4700,この先制限速度なし,256m先に上り勾配12.5‰あり,0.0000,0.0000,59.0000,168.3429,2,2623.9821,101.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo,358.0000,0,22.4726,巡航フェーズ（駅間走行中）,力行（加速）中,4.0000,力行（加速）,1.0000,13.5565,70.0000,70.0000,70.0000,70.0000,50.2367,-36.6802,817.3723,0.0000,8.7284,808.6439,12.5000,-0.5401,2.0080,この先制限速度なし,27m先で上り勾配12.5‰が終わり平坦になる,0.0000,0.0000,178.0000,260.1564,2,2194.3723,-18.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo,477.0000,0,22.9059,次駅への減速フェーズ（駅手前400m以内）,惰行中,6.0000,力行（加速）,1.0000,11.9599,70.0000,70.0000,70.0000,70.0000,39.9875,-28.0276,384.1051,0.0000,6.7946,377.3105,6.1000,-0.3121,2.3198,この先制限速度なし,194m先に上り勾配9.2‰あり,0.0000,0.0000,297.0000,344.9105,2,1761.1051,-137.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo,560.0000,0,23.2045,次駅への減速フェーズ（駅手前400m以内）,惰行中,0.1000,惰行,0.5000,12.1583,70.0000,70.0000,70.0000,70.0000,27.5252,-15.3669,85.4719,0.0000,7.0218,78.4501,9.2000,-0.4217,2.1997,この先制限速度なし,この先目立った勾配なし,0.0000,0.0000,380.0000,396.3758,2,1462.4719,-220.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo,571.9000,0,23.2445,次駅への減速フェーズ（駅手前400m以内）,惰行中,0.1000,力行（加速）,0.1000,12.1293,70.0000,70.0000,70.0000,70.0000,25.0920,-12.9627,45.5051,0.0000,6.9883,38.5167,9.2000,-0.4217,2.2013,この先制限速度なし,この先目立った勾配なし,1.0000,3.3811,391.9000,402.8062,2,1422.5051,-231.9000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo,583.8000,0,23.2844,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.2000,惰行,0.6000,11.0881,70.0000,70.0000,70.0000,70.0000,10.8645,0.2236,5.5969,0.0000,5.8404,-0.2435,9.2000,-0.4203,2.2573,この先制限速度なし,この先目立った勾配なし,1.0000,11.0881,403.8000,407.5430,2,1382.5969,-243.8000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo,699.5000,1,23.5727,巡航フェーズ（駅間走行中）,惰行中,1.0000,力行（加速）,1.0000,12.8251,70.0000,70.0000,70.0000,70.0000,43.9288,-31.1036,1094.2532,0.0000,9.0776,1085.1757,11.4000,-0.5285,2.0580,この先制限速度なし,この先目立った勾配なし,0.0000,0.0000,359.5000,454.0298,1,1094.2532,-359.5000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo,588.5000,1,23.2900,駅停車中（発車判断）,ブレーキ（減速）中,4.0000,惰行,0.6000,0.0000,70.0000,70.0000,70.0000,70.0000,0.0000,0.0000,1377.0000,0.0000,0.0000,1377.0000,9.2000,-0.4089,2.8513,この先制限速度なし,10m先に上り勾配11.4‰あり,1.0000,0.0000,248.5000,407.5000,1,1377.0000,-248.5000,1.0000,1.0000,30.0000,300.0000,0.0000,102.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo,603.5000,1,23.2900,駅停車中（発車判断）,ブレーキ（減速）中,19.0000,惰行,0.6000,0.0000,70.0000,70.0000,70.0000,70.0000,0.0000,0.0000,1377.0000,0.0000,0.0000,1377.0000,9.2000,-0.4089,2.8513,この先制限速度なし,10m先に上り勾配11.4‰あり,1.0000,0.0000,263.5000,407.5000,1,1377.0000,-263.5000,1.0000,16.0000,30.0000,300.0000,0.0000,102.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo_delay20,21.0000,0,21.1124,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,30.0000,なし（または停止）,0.0000,3.1655,70.0000,70.0000,69.4697,69.4697,1.9871,1.1784,2177.5520,159.0000,0.4738,2177.0783,-2.1000,-0.0130,3.0809,この先制限速度なし,387m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,20.3625,2,3554.5520,319.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo_delay20,137.0000,0,21.5446,巡航フェーズ（駅間走行中）,惰行中,59.0000,力行（加速）,1.0000,14.8555,70.0000,70.0000,70.0000,70.0000,58.6183,-43.7628,1745.4108,43.0000,10.4795,1734.9313,-6.7000,0.1355,2.6153,この先制限速度なし,105m先で下り勾配6.7‰が終わり平坦になる,0.0000,0.0000,0.0000,94.9751,2,3122.4108,203.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo_delay20,253.0000,0,22.0206,巡航フェーズ（駅間走行中）,惰行中,6.0000,力行（加速）,1.0000,13.7600,70.0000,70.0000,70.0000,70.0000,61.0512,-47.2912,1269.4194,0.0000,8.9923,1260.4271,0.0000,-0.0993,2.4380,この先制限速度なし,279m先に上り勾配12.5‰あり,0.0000,0.0000,73.0000,183.6687,2,2646.4194,87.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo_delay20,369.0000,0,22.4413,巡航フェーズ（駅間走行中）,惰行中,1.0000,惰行,4.0000,13.2047,70.0000,70.0000,70.0000,70.0000,51.6130,-38.4084,848.6585,0.0000,8.2816,840.3768,12.5000,-0.5396,2.0269,この先制限速度なし,58m先で上り勾配12.5‰が終わり平坦になる,0.0000,0.0000,189.0000,273.3681,2,2225.6585,-29.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo_delay20,485.0000,0,22.8630,巡航フェーズ（駅間走行中）,惰行中,2.0000,力行（加速）,1.0000,13.1439,70.0000,70.0000,70.0000,70.0000,41.3843,-28.2404,427.0185,0.0000,8.2056,418.8129,6.1000,-0.3137,2.2560,この先制限速度なし,237m先に上り勾配9.2‰あり,0.0000,0.0000,305.0000,356.7066,2,1804.0185,-145.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo_delay20,578.5000,0,23.1995,次駅への減速フェーズ（駅手前400m以内）,惰行中,0.4000,力行（加速）,0.1000,12.0029,70.0000,70.0000,70.0000,70.0000,27.8183,-15.8154,90.5057,0.0000,6.8435,83.6622,9.2000,-0.4215,2.2081,この先制限速度なし,この先目立った勾配なし,0.0000,0.0000,398.5000,415.5312,2,1467.5057,-238.5000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo_delay20,590.1000,0,23.2384,次駅への減速フェーズ（駅手前400m以内）,惰行中,0.1000,力行（加速）,0.1000,12.1006,70.0000,70.0000,70.0000,70.0000,25.4733,-13.3727,51.5517,0.0000,6.9554,44.5963,9.2000,-0.4217,2.2028,この先制限速度なし,この先目立った勾配なし,0.0000,0.0000,410.1000,421.8673,2,1428.5517,-250.1000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
creep__on_time__solo_delay20,601.7000,0,23.2774,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,0.5000,力行（加速）,0.1000,12.1984,70.0000,70.0000,70.0000,70.0000,16.3049,-4.1065,12.6039,0.0000,7.0682,5.5357,9.2000,-0.4218,2.1976,この先制限速度なし,この先目立った勾配なし,1.0000,11.3556,421.7000,427.3031,2,1389.6039,-261.7000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
