run_id,time,section,position,phase,current_notch,holding_time,prev_notch,prev_notch_duration,current_speed,speed_limit,signal_speed,required_speed,target_speed_no_stop,v_std,v_std_deviation,dist_to_next_station,time_to_next_station,req_stop_dist,delta_stop,current_gradient,coast_accel,power_accel,next_limit_info,next_gradient_info,coast_reachable,coast_arrival_speed,delay,total_delay,stations_remaining,total_remaining_distance,total_remaining_time,is_dwelling,dwell_elapsed,dwell_min,dwell_max,dwell_over_std,time_to_stop_limit,forward_info,forward_train_delay,standard_headway,forward_clear_remaining_time,forward_observed_delay,forward_dwell_elapsed,forward_departed_next,backward_info,mode,reward,reason
early_coast__on_time__solo,1.0000,0,21.1124,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,30.0000,なし（または停止）,0.0000,3.1655,70.0000,70.0000,64.8030,64.8030,1.9871,1.1784,2177.5520,179.0000,0.4738,2177.0783,-2.1000,-0.0130,3.0809,この先制限速度なし,387m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,0.3625,2,3554.5520,339.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
early_coast__on_time__solo,25.0000,0,21.2895,巡航フェーズ（駅間走行中）,惰行中,7.0000,力行（加速）,17.0000,35.2797,70.0000,70.0000,64.6131,64.6131,43.5826,-8.3028,2000.4718,155.0000,58.7302,1941.7417,-2.1000,-0.0653,1.3415,この先制限速度なし,210m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,0.8777,2,3377.4718,315.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
early_coast__on_time__solo,49.0000,0,21.5197,巡航フェーズ（駅間走行中）,惰行中,31.0000,力行（加速）,17.0000,34.0911,70.0000,70.0000,65.1125,65.1125,57.2823,-23.1912,1770.3094,131.0000,54.8662,1715.4432,-6.7000,0.0997,1.5690,この先制限速度なし,130m先で下り勾配6.7‰が終わり平坦になる,0.0000,0.0000,0.0000,8.5232,2,3147.3094,291.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
early_coast__on_time__solo,73.0000,0,21.7512,巡航フェーズ（駅間走行中）,惰行中,55.0000,力行（加速）,17.0000,33.9667,70.0000,70.0000,64.7547,64.7547,64.4521,-30.4855,1538.7954,107.0000,54.4691,1484.3262,0.0000,-0.1364,1.3394,この先制限速度なし,この先目立った勾配なし,0.0000,0.0000,0.0000,19.1267,2,2915.7954,267.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
early_coast__on_time__solo,97.0000,0,21.9669,巡航フェーズ（駅間走行中）,惰行中,79.0000,力行（加速）,17.0000,30.7791,70.0000,70.0000,70.0000,70.0000,61.7285,-30.9494,1323.0743,83.0000,44.7814,1278.2929,0.0000,-0.1294,1.5139,この先制限速度なし,333m先に上り勾配12.5‰あり,0.0000,0.0000,0.0000,30.8154,2,2700.0743,243.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
early_coast__on_time__solo,121.0000,0,22.1619,巡航フェーズ（駅間走行中）,惰行中,103.0000,力行（加速）,17.0000,27.7510,70.0000,70.0000,70.0000,70.0000,59.2660,-31.5150,1128.0618,59.0000,36.4434,1091.6184,0.0000,-0.1231,1.6792,この先制限速度なし,138m先に上り勾配12.5‰あり,0.0000,0.0000,0.0000,43.2088,2,2505.0618,219.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
early_coast__on_time__solo,145.0000,0,22.3355,巡航フェーズ（駅間走行中）,惰行中,127.0000,力行（加速）,17.0000,22.5305,70.0000,70.0000,70.0000,70.0000,56.0807,-33.5501,954.4845,35.0000,24.0619,930.4226,12.5000,-0.5542,1.5224,この先制限速度なし,164m先で上り勾配12.5‰が終わり平坦になる,0.0000,0.0000,0.0000,56.4450,2,2331.4845,195.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
early_coast__on_time__solo,169.0000,0,22.4419,巡航フェーズ（駅間走行中）,惰行中,151.0000,力行（加速）,17.0000,9.4787,70.0000,70.0000,70.0000,70.0000,51.5871,-42.1084,848.0645,11.0000,4.2679,843.7966,12.5000,-0.5348,2.2274,この先制限速度なし,58m先で上り勾配12.5‰が終わり平坦になる,0.0000,0.0000,0.0000,73.3265,2,2225.0645,171.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
early_coast__on_time__solo_delay20,21.0000,0,21.1124,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,30.0000,なし（または停止）,0.0000,3.1655,70.0000,70.0000,69.4697,69.4697,1.9871,1.1784,2177.5520,159.0000,0.4738,2177.0783,-2.1000,-0.0130,3.0809,この先制限速度なし,387m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,20.3625,2,3554.5520,319.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
early_coast__on_time__solo_delay20,45.0000,0,21.2895,巡航フェーズ（駅間走行中）,惰行中,7.0000,力行（加速）,17.0000,35.2797,70.0000,70.0000,69.9619,69.9619,43.5826,-8.3028,2000.4718,135.0000,58.7302,1941.7417,-2.1000,-0.0653,1.3415,この先制限速度なし,210m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,20.8777,2,3377.4718,295.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
