run_id,time,section,position,phase,current_notch,holding_time,prev_notch,prev_notch_duration,current_speed,speed_limit,signal_speed,required_speed,target_speed_no_stop,v_std,v_std_deviation,dist_to_next_station,time_to_next_station,req_stop_dist,delta_stop,current_gradient,coast_accel,power_accel,next_limit_info,next_gradient_info,coast_reachable,coast_arrival_speed,delay,total_delay,stations_remaining,total_remaining_distance,total_remaining_time,is_dwelling,dwell_elapsed,dwell_min,dwell_max,dwell_over_std,time_to_stop_limit,forward_info,forward_train_delay,standard_headway,forward_clear_remaining_time,forward_observed_delay,forward_dwell_elapsed,forward_departed_next,backward_info,mode,reward,reason
late_brake__on_time__solo,1.0000,0,21.1124,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,30.0000,なし（または停止）,0.0000,3.1655,70.0000,70.0000,64.8030,64.8030,1.9871,1.1784,2177.5520,179.0000,0.4738,2177.0783,-2.1000,-0.0130,3.0809,この先制限速度なし,387m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,0.3625,2,3554.5520,339.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo,40.0000,0,21.5121,巡航フェーズ（駅間走行中）,力行（加速）中,39.0000,ブレーキ（減速）,30.0000,56.8659,70.0000,70.0000,64.8807,64.8807,56.8659,-0.0000,1777.9016,140.0000,150.9463,1626.9553,-6.7000,0.0364,0.8808,この先制限速度なし,137m先で下り勾配6.7‰が終わり平坦になる,0.0000,0.0000,0.0000,0.0000,2,3154.9016,300.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo,79.0000,0,22.1866,巡航フェーズ（駅間走行中）,惰行中,26.0000,力行（加速）,52.0000,59.6142,70.0000,70.0000,59.6142,59.6142,58.9543,0.6599,1103.3952,101.0000,165.6207,937.7745,0.0000,-0.2092,0.5964,この先制限速度なし,113m先に上り勾配12.5‰あり,1.0000,25.1664,0.0000,0.0000,2,2480.3952,261.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo,118.0000,0,22.7497,巡航フェーズ（駅間走行中）,惰行中,65.0000,力行（加速）,52.0000,45.6853,70.0000,70.0000,45.6853,45.6853,44.9219,0.7634,540.2642,62.0000,98.0151,442.2491,6.1000,-0.3813,0.6209,この先制限速度なし,350m先に上り勾配9.2‰あり,1.0000,25.3871,0.0000,0.0000,2,1917.2642,222.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo,157.0000,0,23.1660,次駅への減速フェーズ（駅手前400m以内）,惰行中,104.0000,力行（加速）,52.0000,30.7443,70.0000,70.0000,30.7443,30.7443,29.7051,1.0392,124.0321,23.0000,44.6807,79.3514,9.2000,-0.4539,1.1912,この先制限速度なし,この先目立った勾配なし,1.0000,25.1403,0.0000,0.0000,2,1501.0321,183.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo,163.6000,0,23.2196,次駅への減速フェーズ（駅手前400m以内）,惰行中,111.5000,力行（加速）,52.0000,27.7693,70.0000,70.0000,27.7693,27.7693,26.6310,1.1383,70.4049,16.4000,36.4913,33.9136,9.2000,-0.4477,1.3537,この先制限速度なし,この先目立った勾配なし,1.0000,25.3190,0.0000,0.0000,2,1447.4049,176.4000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo,167.5000,0,23.2487,次駅への減速フェーズ（駅手前400m以内）,惰行中,115.4000,力行（加速）,52.0000,26.0300,70.0000,70.0000,26.0300,26.0300,24.8216,1.2083,41.2673,12.5000,32.0821,9.1852,9.2000,-0.4443,1.4485,この先制限速度なし,この先目立った勾配なし,1.0000,25.1427,0.0000,0.0000,2,1418.2673,172.5000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo,171.4000,0,23.2760,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.2000,惰行,119.1000,23.5538,70.0000,70.0000,23.5538,23.5538,17.2110,6.3428,14.0391,8.6000,26.2893,-12.2502,9.2000,-0.4396,1.5832,この先制限速度なし,この先目立った勾配なし,1.0000,23.5538,0.0000,0.0000,2,1391.0391,168.6000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo,175.3000,0,23.2953,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.1000,惰行,119.1000,12.1260,70.0000,70.0000,0.0000,0.0000,0.6744,11.4516,-5.2653,4.7000,6.9846,-12.2499,9.2000,-0.4217,2.2015,この先制限速度なし,この先目立った勾配なし,1.0000,12.1260,0.0000,0.0000,2,1371.7347,164.7000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo_delay20,21.0000,0,21.1124,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,30.0000,なし（または停止）,0.0000,3.1655,70.0000,70.0000,69.4697,69.4697,1.9871,1.1784,2177.5520,159.0000,0.4738,2177.0783,-2.1000,-0.0130,3.0809,この先制限速度なし,387m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,20.3625,2,3554.5520,319.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo_delay20,60.0000,0,21.5121,巡航フェーズ（駅間走行中）,力行（加速）中,39.0000,ブレーキ（減速）,30.0000,56.8659,70.0000,70.0000,69.5375,69.5375,56.8659,-0.0000,1777.9016,120.0000,150.9463,1626.9553,-6.7000,0.0364,0.8808,この先制限速度なし,137m先で下り勾配6.7‰が終わり平坦になる,0.0000,0.0000,0.0000,19.9998,2,3154.9016,280.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo_delay20,99.0000,0,22.1866,巡航フェーズ（駅間走行中）,惰行中,26.0000,力行（加速）,52.0000,59.6142,70.0000,70.0000,63.8524,63.8524,58.9543,0.6599,1103.3952,81.0000,165.6207,937.7745,0.0000,-0.2092,0.5964,この先制限速度なし,113m先に上り勾配12.5‰あり,1.0000,25.1664,0.0000,19.7071,2,2480.3952,241.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo_delay20,138.0000,0,22.7497,巡航フェーズ（駅間走行中）,惰行中,65.0000,力行（加速）,52.0000,45.6853,70.0000,70.0000,70.0000,70.0000,44.9219,0.7634,540.2642,42.0000,98.0151,442.2491,6.1000,-0.3813,0.6209,この先制限速度なし,350m先に上り勾配9.2‰あり,1.0000,25.3871,0.0000,19.1561,2,1917.2642,202.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo_delay20,177.0000,0,23.1660,次駅への減速フェーズ（駅手前400m以内）,惰行中,104.0000,力行（加速）,52.0000,30.7443,70.0000,70.0000,70.0000,70.0000,29.7051,1.0392,124.0321,3.0000,44.6807,79.3514,9.2000,-0.4539,1.1912,この先制限速度なし,この先目立った勾配なし,1.0000,25.1403,0.0000,18.2259,2,1501.0321,163.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo_delay20,183.6000,0,23.2196,次駅への減速フェーズ（駅手前400m以内）,惰行中,111.5000,力行（加速）,52.0000,27.7693,70.0000,70.0000,70.0000,70.0000,26.6310,1.1383,70.4049,0.0000,36.4913,33.9136,9.2000,-0.4477,1.3537,この先制限速度なし,この先目立った勾配なし,1.0000,25.3190,3.6000,17.9727,2,1447.4049,156.4000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo_delay20,187.5000,0,23.2487,次駅への減速フェーズ（駅手前400m以内）,惰行中,115.4000,力行（加速）,52.0000,26.0300,70.0000,70.0000,70.0000,70.0000,24.8216,1.2083,41.2673,0.0000,32.0821,9.1852,9.2000,-0.4443,1.4485,この先制限速度なし,この先目立った勾配なし,1.0000,25.1427,7.5000,17.7948,2,1418.2673,152.5000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo_delay20,191.4000,0,23.2760,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.2000,惰行,119.1000,23.5538,70.0000,70.0000,70.0000,70.0000,17.2110,6.3428,14.0391,0.0000,26.2893,-12.2502,9.2000,-0.4396,1.5832,この先制限速度なし,この先目立った勾配なし,1.0000,23.5538,11.4000,17.3131,2,1391.0391,148.6000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo_delay20,195.3000,0,23.2953,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.1000,惰行,119.1000,12.1260,70.0000,70.0000,0.0000,0.0000,0.6744,11.4516,-5.2653,0.0000,6.9846,-12.2499,9.2000,-0.4217,2.2015,この先制限速度なし,この先目立った勾配なし,1.0000,12.1260,15.3000,15.5460,2,1371.7347,144.7000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo_delay60,61.0000,0,21.1124,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,30.0000,なし（または停止）,0.0000,3.1655,70.0000,70.0000,70.0000,70.0000,1.9871,1.1784,2177.5520,119.0000,0.4738,2177.0783,-2.1000,-0.0130,3.0809,この先制限速度なし,387m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,60.3625,2,3554.5520,279.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo_delay60,100.0000,0,21.5121,巡航フェーズ（駅間走行中）,力行（加速）中,39.0000,ブレーキ（減速）,30.0000,56.8659,70.0000,70.0000,70.0000,70.0000,56.8659,-0.0000,1777.9016,80.0000,150.9463,1626.9553,-6.7000,0.0364,0.8808,この先制限速度なし,137m先で下り勾配6.7‰が終わり平坦になる,0.0000,0.0000,0.0000,59.9998,2,3154.9016,240.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo_delay60,139.0000,0,22.1866,巡航フェーズ（駅間走行中）,惰行中,26.0000,力行（加速）,52.0000,59.6142,70.0000,70.0000,70.0000,70.0000,58.9543,0.6599,1103.3952,41.0000,165.6207,937.7745,0.0000,-0.2092,0.5964,この先制限速度なし,113m先に上り勾配12.5‰あり,1.0000,25.1664,0.0000,59.7071,2,2480.3952,201.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo_delay60,178.0000,0,22.7497,巡航フェーズ（駅間走行中）,惰行中,65.0000,力行（加速）,52.0000,45.6853,70.0000,70.0000,70.0000,70.0000,44.9219,0.7634,540.2642,2.0000,98.0151,442.2491,6.1000,-0.3813,0.6209,この先制限速度なし,350m先に上り勾配9.2‰あり,1.0000,25.3871,0.0000,59.1561,2,1917.2642,162.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo_delay60,217.0000,0,23.1660,次駅への減速フェーズ（駅手前400m以内）,惰行中,104.0000,力行（加速）,52.0000,30.7443,70.0000,70.0000,70.0000,70.0000,29.7051,1.0392,124.0321,0.0000,44.6807,79.3514,9.2000,-0.4539,1.1912,この先制限速度なし,この先目立った勾配なし,1.0000,25.1403,37.0000,58.2259,2,1501.0321,123.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
late_brake__on_time__solo_delay60,223.6000,0,23.2196,次駅への減速フェーズ（駅手前400m以内）,惰行中,111.5000,力行（加速）,52.0000,27.7693,70.0000,70.0000,70.0000,70.0000,26.6310,1.1383,70.4049,0.0000,36.4913,33.9136,9.2000,-0.4477,1.3537,この先制限速度なし,この先目立った勾配なし,1.0000,25.3190,43.6000,57.9727,2,1447.4049,116.4000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
