run_id,time,section,position,phase,current_notch,holding_time,prev_notch,prev_notch_duration,current_speed,speed_limit,signal_speed,required_speed,target_speed_no_stop,v_std,v_std_deviation,dist_to_next_station,time_to_next_station,req_stop_dist,delta_stop,current_gradient,coast_accel,power_accel,next_limit_info,next_gradient_info,coast_reachable,coast_arrival_speed,delay,total_delay,stations_remaining,total_remaining_distance,total_remaining_time,is_dwelling,dwell_elapsed,dwell_min,dwell_max,dwell_over_std,time_to_stop_limit,forward_info,forward_train_delay,standard_headway,forward_clear_remaining_time,forward_observed_delay,forward_dwell_elapsed,forward_departed_next,backward_info,mode,reward,reason
sawtooth__on_time__solo,1.0000,0,21.1124,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,30.0000,なし（または停止）,0.0000,3.1655,70.0000,70.0000,64.8030,64.8030,1.9871,1.1784,2177.5520,179.0000,0.4738,2177.0783,-2.1000,-0.0130,3.0809,この先制限速度なし,387m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,0.3625,2,3554.5520,339.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
sawtooth__on_time__solo,88.0000,0,21.3484,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,3.0000,ブレーキ（減速）,3.0000,13.4393,70.0000,70.0000,70.0000,70.0000,47.8004,-34.3611,1941.5616,92.0000,8.5783,1932.9833,-2.1000,-0.0248,2.5294,この先制限速度なし,151m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,59.2401,2,3318.5616,252.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
sawtooth__on_time__solo,175.0000,0,21.6892,巡航フェーズ（駅間走行中）,力行（加速）中,3.0000,力行（加速）,3.0000,14.4833,70.0000,70.0000,70.0000,70.0000,64.7495,-50.2661,1600.8121,5.0000,9.9615,1590.8506,0.0000,-0.1004,2.3990,この先制限速度なし,この先目立った勾配なし,0.0000,0.0000,0.0000,124.5737,2,2977.8121,165.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
sawtooth__on_time__solo,262.0000,0,21.9957,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,3.0000,ブレーキ（減速）,3.0000,12.4699,70.0000,70.0000,70.0000,70.0000,61.3652,-48.8953,1294.2954,0.0000,7.3862,1286.9092,0.0000,-0.0976,2.5075,この先制限速度なし,304m先に上り勾配12.5‰あり,0.0000,0.0000,82.0000,194.1324,2,2671.2954,78.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
sawtooth__on_time__solo,349.0000,0,22.2591,巡航フェーズ（駅間走行中）,力行（加速）中,3.0000,力行（加速）,3.0000,9.6260,70.0000,70.0000,70.0000,70.0000,58.0378,-48.4118,1030.8905,0.0000,4.4016,1026.4889,0.0000,-0.0940,2.6605,この先制限速度なし,40m先に上り勾配12.5‰あり,0.0000,0.0000,169.0000,265.2442,2,2407.8905,-9.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
sawtooth__on_time__solo,436.0000,0,22.3934,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,3.0000,ブレーキ（減速）,3.0000,4.5516,70.0000,70.0000,70.0000,70.0000,53.6689,-49.1173,896.5539,0.0000,0.9820,895.5719,12.5000,-0.5294,2.4917,この先制限速度なし,106m先で上り勾配12.5‰が終わり平坦になる,0.0000,0.0000,256.0000,343.6441,2,2273.5539,-96.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
sawtooth__on_time__solo,523.0000,0,22.4771,巡航フェーズ（駅間走行中）,力行（加速）中,3.0000,力行（加速）,3.0000,2.6638,70.0000,70.0000,70.0000,70.0000,50.0390,-47.3752,812.9219,0.0000,0.3349,812.5869,12.5000,-0.5276,2.5926,この先制限速度なし,22m先で上り勾配12.5‰が終わり平坦になる,0.0000,0.0000,343.0000,424.8374,2,2189.9219,-183.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
sawtooth__on_time__solo,610.0000,0,22.6378,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,3.0000,ブレーキ（減速）,3.0000,10.9166,70.0000,70.0000,70.0000,70.0000,47.2253,-36.3087,652.2426,0.0000,5.6611,646.5815,0.0000,-0.0956,2.5911,この先制限速度なし,62m先に上り勾配6.1‰あり,0.0000,0.0000,430.0000,499.8637,2,2029.2426,-270.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
sawtooth__on_time__solo,697.0000,0,22.8125,巡航フェーズ（駅間走行中）,力行（加速）中,3.0000,力行（加速）,3.0000,2.8978,70.0000,70.0000,70.0000,70.0000,42.9848,-40.0870,477.4543,0.0000,0.3967,477.0576,6.1000,-0.3020,2.8059,この先制限速度なし,287m先に上り勾配9.2‰あり,0.0000,0.0000,517.0000,573.0117,2,1854.4543,-357.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
sawtooth__on_time__solo_delay20,21.0000,0,21.1124,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,30.0000,なし（または停止）,0.0000,3.1655,70.0000,70.0000,69.4697,69.4697,1.9871,1.1784,2177.5520,159.0000,0.4738,2177.0783,-2.1000,-0.0130,3.0809,この先制限速度なし,387m先に下り勾配6.7‰あり,0.0000,0.0000,0.0000,20.3625,2,3554.5520,319.0000,0.0000,0.0000,30.0000,300.0000,0.0000,0.0000,先行列車なし,0.0000,0.0000,0.0000,0.0000,0.0000,,後続列車なし,,,
