time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward
464,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,3.0,力行（加速）,12.0,70.0,70.0,30.0,0.0,67.9,16.3,0.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0
465,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,10.0,力行（加速）,12.0,70.0,70.0,30.0,0.0,67.9,16.3,0.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0
466,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,3.0,力行（加速）,12.0,70.0,70.0,30.0,0.0,97.9,23.5,0.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0
467,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,10.0,力行（加速）,12.0,70.0,70.0,30.0,0.0,97.9,23.5,0.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0
468,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,3.0,力行（加速）,12.0,70.0,70.0,30.0,0.0,127.9,30.7,0.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0
469,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,10.0,力行（加速）,12.0,70.0,70.0,30.0,0.0,127.9,30.7,0.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0
470,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,3.0,力行（加速）,12.0,70.0,70.0,30.0,0.0,167.9,40.3,0.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0
471,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,10.0,力行（加速）,12.0,70.0,70.0,30.0,0.0,167.9,40.3,0.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0
472,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,3.0,力行（加速）,12.0,70.0,70.0,30.0,0.0,207.9,49.9,0.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0
473,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,10.0,力行（加速）,12.0,70.0,70.0,30.0,0.0,207.9,49.9,0.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0
