time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
182.69999999999985,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.4000000000000001,力行（加速）,0.1,70.0,21.7,24.62,70.0,72.0,0.0,28.74,4.8,9.2,この先制限速度なし,この先目立った勾配なし,前方72.4m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,15.0,15.7,-0.05
179.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,26.0,70.0,33.4,34.86,70.0,102.5,0.0,57.4,2.0,9.2,この先制限速度なし,この先目立った勾配なし,前方102.8m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,18.9,12.0,-0.5
192.79999999999927,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.4000000000000001,力行（加速）,0.1,70.0,0.0,0,70.0,40.8,0.0,0.0,14.9,9.2,この先制限速度なし,この先目立った勾配なし,前方41.2m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,11.1,25.8,-0.05
176.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,5.0,ブレーキ（減速）,6.0,70.0,70.0,30.84,70.0,362.2,2.0,46.75,0.0,6.1,この先制限速度なし,172m先に上り勾配9.2‰あり,前方362.6m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,69.7,9.0,-0.5
189.09999999999948,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.6000000000000003,力行（加速）,0.1,70.0,0.0,7.38,70.0,43.6,0.0,2.6,11.2,9.2,この先制限速度なし,この先目立った勾配なし,前方44.0m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,11.5,22.1,-0.05
175.89999999999995,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,3.000000000000001,力行（加速）,5.0,70.0,29.4,35.98,70.0,90.4,2.1,61.12,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方90.8m先を0.0km/h,後続列車なし,75.0,15.0,未発車,45.0,17.4,23.9,-0.05
163.1,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.199999999999999,惰行,7.0,70.0,30.3,46.23,46.2,92.9,14.9,100.42,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方93.3m先を0.0km/h,後続列車なし,75.0,15.0,未発車,45.0,17.7,11.1,-0.05
181.09999999999994,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,5.199999999999996,惰行,26.0,70.0,26.9,28.65,70.0,83.9,0.0,38.88,3.2,9.2,この先制限速度なし,この先目立った勾配なし,前方84.3m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,16.6,14.1,-0.05
190.09999999999943,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.5,惰行,0.1,70.0,0.0,4.72,70.0,41.9,0.0,1.06,12.2,9.2,この先制限速度なし,この先目立った勾配なし,前方42.3m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,11.3,23.1,-0.05
184.09999999999977,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,0.1,ブレーキ（減速）,2.700000000000001,70.0,16.9,20.5,70.0,63.2,0.0,19.97,6.2,9.2,この先制限速度なし,この先目立った勾配なし,前方63.6m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,13.9,17.1,-0.05
