time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
111.0,Train11,巡航フェーズ（駅間走行中）,惰行中,3.0,力行（加速）,6.0,70.0,70.0,57.76,57.8,634.1,67.0,174.79,0.0,0.0,この先制限速度なし,44m先に上り勾配6.1‰あり,前方634.5m先を0.0km/h,後続列車なし,5.0,21.0,未発車,70.0,57.8,0.0,-0.5
117.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,4.0,ブレーキ（減速）,4.0,70.0,70.0,44.61,44.6,530.6,61.0,97.18,0.0,6.1,この先制限速度なし,340m先に上り勾配9.2‰あり,前方530.9m先を0.0km/h,後続列車なし,5.0,15.0,未発車,100.0,44.6,15.0,-0.5
119.0,Train11,巡航フェーズ（駅間走行中）,惰行中,2.0,力行（加速）,3.0,70.0,70.0,50.94,52.0,688.6,59.0,136.56,0.0,0.0,この先制限速度なし,98m先に上り勾配6.1‰あり,前方688.9m先を0.0km/h,後続列車なし,5.0,15.0,未発車,85.0,52.0,2.0,-0.5
75.0,Train11,巡航フェーズ（駅間走行中）,惰行中,6.0,力行（加速）,6.0,70.0,70.0,68.39,70.0,1138.4,40.0,243.2,0.0,0.0,この先制限速度なし,148m先に上り勾配12.5‰あり,前方578.7m先を61.8km/h,後続列車なし,5.0,87.0,未発車,40.0,50.6,0.0,-0.5
151.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,15.0,ブレーキ（減速）,6.0,70.0,70.0,40.88,70.0,432.4,27.0,81.74,0.0,6.1,この先制限速度なし,242m先に上り勾配9.2‰あり,前方432.7m先を0.0km/h,後続列車なし,0.0,6.0,未発車,40.0,70.0,0.0,-0.5
111.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,3.0,惰行,5.0,70.0,70.0,41.11,42.3,641.0,67.0,89.46,0.0,0.0,この先制限速度なし,51m先に上り勾配6.1‰あり,前方641.4m先を0.0km/h,後続列車なし,10.0,26.0,未発車,70.0,42.3,0.0,-0.5
147.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,2.0,ブレーキ（減速）,6.0,70.0,70.0,21.43,70.0,666.0,31.0,24.53,0.0,0.0,この先制限速度なし,76m先に上り勾配6.1‰あり,前方666.4m先を0.0km/h,後続列車なし,0.0,15.0,未発車,55.0,70.0,5.0,-0.5
39.0,Train11,巡航フェーズ（駅間走行中）,惰行中,5.0,ブレーキ（減速）,1.0,70.0,70.0,49.17,70.0,1799.8,40.0,131.03,0.0,-2.1,この先制限速度なし,9m先に下り勾配6.7‰あり,前方699.5m先を63.4km/h,後続列車なし,0.0,118.0,未発車,40.0,59.2,0.0,-0.5
158.0,Train11,巡航フェーズ（駅間走行中）,惰行中,6.0,力行（加速）,16.0,70.0,70.0,32.56,70.0,691.7,20.0,56.34,0.0,0.0,この先制限速度なし,101m先に上り勾配6.1‰あり,前方692.1m先を0.0km/h,後続列車なし,10.0,9.0,未発車,40.0,70.0,0.0,-0.5
134.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,4.0,力行（加速）,13.0,70.0,70.0,33.71,70.0,589.2,44.0,55.79,0.0,6.1,この先制限速度なし,399m先に上り勾配9.2‰あり,前方589.6m先を0.0km/h,後続列車なし,0.0,23.0,未発車,40.0,70.0,0.0,-0.5
