time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
200.99999999999932,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.3,惰行,0.1,70.0,0.0,0,70.0,42.2,0.0,0.0,23.1,9.2,この先制限速度なし,この先目立った勾配なし,前方48.5m先を10.3km/h,後続列車なし,0.0,0.0,発車済み,30.0,70.0,0.0,-0.05
180.19999999999936,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.3,力行（加速）,0.2,70.0,0.0,1.89,70.0,43.4,0.0,0.17,2.3,9.2,この先制限速度なし,この先目立った勾配なし,前方43.7m先を0.0km/h,後続列車なし,0.0,15.0,未発車,30.0,11.5,13.2,-0.05
210.69999999999877,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.1000000000000005,力行（加速）,4.000000000000002,70.0,27.0,7.23,70.0,25.6,0.0,2.49,30.8,9.2,この先制限速度なし,この先目立った勾配なし,前方84.4m先を27.1km/h,後続列車なし,0.0,0.0,発車済み,30.0,70.0,0.0,-0.05
189.09999999999886,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,0.1,ブレーキ（減速）,0.1,70.0,15.2,0,70.0,42.9,0.0,0.0,9.2,9.2,この先制限速度なし,この先目立った勾配なし,前方61.0m先を16.7km/h,後続列車なし,0.0,0.0,発車済み,30.0,70.0,0.0,-0.05
209.79999999999882,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.2,力行（加速）,4.000000000000002,70.0,25.1,9.86,70.0,27.7,0.0,4.63,29.9,9.2,この先制限速度なし,この先目立った勾配なし,前方79.9m先を25.9km/h,後続列車なし,0.0,0.0,発車済み,30.0,70.0,0.0,-0.05
183.2999999999992,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,0.4,ブレーキ（減速）,1.8000000000000005,70.0,0.0,0.85,70.0,43.0,0.0,0.03,5.4,9.2,この先制限速度なし,この先目立った勾配なし,前方44.1m先を3.6km/h,後続列車なし,0.0,0.0,発車済み,30.0,70.0,0.0,-0.05
208.69999999999888,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.1,力行（加速）,4.000000000000002,70.0,23.3,13.07,70.0,31.2,0.0,8.13,28.8,9.2,この先制限速度なし,この先目立った勾配なし,前方75.7m先を24.3km/h,後続列車なし,0.0,0.0,発車済み,30.0,70.0,0.0,-0.05
186.499999999999,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,3.2000000000000015,力行（加速）,0.4,70.0,4.1,0,70.0,42.9,0.0,0.0,8.6,9.2,この先制限速度なし,この先目立った勾配なし,前方50.8m先を11.4km/h,後続列車なし,0.0,0.0,発車済み,30.0,70.0,0.0,-0.05
185.59999999999906,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.3000000000000007,力行（加速）,0.4,70.0,0.0,0,70.0,42.9,0.0,0.0,7.7,9.2,この先制限速度なし,この先目立った勾配なし,前方48.2m先を9.3km/h,後続列車なし,0.0,0.0,発車済み,30.0,70.0,0.0,-0.05
212.39999999999867,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,1.5000000000000002,ブレーキ（減速）,2.3000000000000007,70.0,30.8,5.78,70.0,22.7,0.0,1.59,32.5,9.2,この先制限速度なし,この先目立った勾配なし,前方94.8m先を29.2km/h,後続列車なし,0.0,0.0,発車済み,30.0,70.0,0.0,-0.05
