time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
142.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,4.0,惰行,6.0,70.0,70.0,59.22,59.2,293.1,36.0,169.78,0.0,6.1,この先制限速度なし,103m先に上り勾配9.2‰あり,前方293.5m先を0.0km/h,後続列車なし,5.0,5.0,未発車,55.0,59.2,0.0,-0.5
102.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,4.0,惰行,6.0,70.0,70.0,62.21,62.2,765.2,66.0,202.15,0.0,0.0,この先制限速度なし,175m先に上り勾配6.1‰あり,前方746.5m先を13.3km/h,後続列車なし,0.0,40.0,未発車,55.0,62.2,0.0,-0.5
75.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,10.0,ブレーキ（減速）,6.0,70.0,70.0,50.88,70.0,1249.0,40.0,136.23,0.0,0.0,この先制限速度なし,258m先に上り勾配12.5‰あり,前方689.2m先を61.8km/h,後続列車なし,5.0,87.0,未発車,40.0,56.0,0.0,-0.5
89.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,1.0,惰行,5.0,70.0,70.0,56.12,70.0,1035.2,44.0,165.18,0.0,0.0,この先制限速度なし,45m先に上り勾配12.5‰あり,前方703.8m先を54.2km/h,後続列車なし,5.0,73.0,未発車,40.0,52.7,0.0,-0.5
172.8999999999992,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,7.799999999999988,力行（加速）,0.1,70.0,0.0,5.11,0.0,0.0,5.1,1.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方0.0m先を0.0km/h,後続列車なし,0.0,15.0,未発車,40.0,0.0,15.9,-0.05
155.0999999999997,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.6000000000000003,力行（加速）,0.1,70.0,12.5,16.79,16.8,57.1,22.9,13.41,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方57.4m先を0.0km/h,後続列車なし,0.0,15.0,未発車,70.0,13.2,28.1,-0.05
161.19999999999982,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.1,惰行,0.1,70.0,20.3,22.59,22.6,69.2,16.8,24.21,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方69.5m先を0.0km/h,後続列車なし,5.0,15.0,未発車,55.0,14.7,14.2,-0.05
173.39999999999918,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,8.299999999999986,力行（加速）,0.1,70.0,0.0,3.66,0.0,0.0,4.6,0.72,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方0.0m先を0.0km/h,後続列車なし,0.0,15.0,未発車,40.0,0.0,16.4,-0.05
167.79999999999956,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.9999999999999999,惰行,0.1,70.0,4.1,10.59,70.0,50.4,10.2,5.34,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方50.8m先を0.0km/h,後続列車なし,5.0,15.0,未発車,40.0,12.4,5.8,-0.05
93.0,Train11,巡航フェーズ（駅間走行中）,惰行中,12.0,力行（加速）,6.0,70.0,70.0,64.08,64.4,937.0,82.0,183.74,0.0,12.5,この先制限速度なし,この先目立った勾配なし,前方934.0m先を5.6km/h,後続列車なし,0.0,34.0,未発車,70.0,64.4,0.0,-0.5
171.09999999999948,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.2000000000000006,惰行,0.1,70.0,0.0,14.25,70.0,26.6,6.9,9.66,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方27.0m先を0.0km/h,後続列車なし,0.0,15.0,未発車,40.0,9.0,14.1,-0.05
