time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
159.6999999999995,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,0.1,ブレーキ（減速）,0.7,70.0,0.0,24.2,24.2,2.8,18.3,27.78,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方3.2m先を0.0km/h,後続列車なし,90.0,7.3,未発車,30.0,2.9,0.0,-0.05
190.09999999999994,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,0.4,力行（加速）,0.7999999999999999,70.0,27.1,37.1,70.0,84.5,0.0,64.96,12.2,9.2,この先制限速度なし,この先目立った勾配なし,前方84.9m先を0.0km/h,後続列車なし,90.0,0.0,未発車,30.0,70.0,23.1,-0.05
178.5999999999998,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.30000000000000004,力行（加速）,0.1,70.0,32.5,34.33,70.0,56.0,1.4,55.68,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方99.8m先を24.2km/h,後続列車なし,60.0,0.0,発車済み,60.0,70.0,0.0,-0.05
203.2999999999992,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.700000000000001,惰行,0.1,70.0,0.0,3.68,70.0,3.2,0.0,0.65,23.4,9.2,この先制限速度なし,この先目立った勾配なし,前方17.8m先を15.2km/h,後続列車なし,90.0,0.0,発車済み,30.0,70.0,0.0,-0.05
168.1999999999997,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0000000000000004,力行（加速）,0.1,70.0,0.0,29.02,29.0,40.8,9.8,39.87,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方41.2m先を0.0km/h,後続列車なし,90.0,0.0,未発車,30.0,29.0,1.2,-0.05
182.39999999999958,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.6000000000000003,力行（加速）,0.1,70.0,31.6,24.21,70.0,25.1,0.0,27.8,2.5,9.2,この先制限速度なし,この先目立った勾配なし,前方97.2m先を29.2km/h,後続列車なし,60.0,0.0,発車済み,60.0,70.0,0.0,-0.05
160.69999999999945,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.7999999999999999,力行（加速）,0.1,70.0,0.0,22.16,0.0,0.0,17.3,26.21,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方0.0m先を0.0km/h,後続列車なし,90.0,6.3,未発車,30.0,0.0,0.0,-0.05
163.49999999999997,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.6,力行（加速）,1.0,70.0,28.3,42.56,70.0,87.4,14.5,85.25,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方87.8m先を0.0km/h,後続列車なし,90.0,3.5,未発車,30.0,23.6,0.0,-0.05
130.0,Train11,巡航フェーズ（駅間走行中）,惰行中,7.0,力行（加速）,44.0,70.0,70.0,62.7,62.7,427.1,41.0,189.9,0.0,6.1,この先制限速度なし,237m先に上り勾配9.2‰あり,前方417.9m先を9.4km/h,後続列車なし,90.0,37.0,未発車,30.0,40.8,0.0,-0.5
160.09999999999948,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.2,力行（加速）,0.1,70.0,0.0,23.92,23.9,0.1,17.9,27.14,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方0.5m先を0.0km/h,後続列車なし,90.0,6.9,未発車,30.0,1.0,0.0,-0.05
