time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
121.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,27.0,惰行,16.0,70.0,70.0,67.3,70.0,1202.9,59.0,235.7,0.0,0.0,この先制限速度なし,212m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
215.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,10.0,惰行,11.0,70.0,70.0,65.54,70.0,656.5,0.0,223.9,36.0,0.0,この先制限速度なし,66m先に上り勾配6.1‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
167.0,Train11,巡航フェーズ（駅間走行中）,惰行中,15.0,力行（加速）,20.0,70.0,70.0,62.41,70.0,880.4,13.0,174.5,0.0,12.5,この先制限速度なし,90m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
157.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,9.0,惰行,21.0,70.0,70.0,62.55,70.0,780.6,23.0,204.3,0.0,0.0,この先制限速度なし,190m先に上り勾配6.1‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
127.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,7.0,惰行,6.0,70.0,70.0,61.31,70.0,1583.9,53.0,196.5,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
186.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,11.0,惰行,7.0,70.0,70.0,66.91,70.0,1119.0,0.0,233.1,7.0,0.0,この先制限速度なし,129m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
196.0,Train11,巡航フェーズ（駅間走行中）,惰行中,7.0,力行（加速）,16.0,70.0,70.0,66.62,70.0,654.2,0.0,231.1,17.0,0.0,この先制限速度なし,64m先に上り勾配6.1‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
168.0,Train11,巡航フェーズ（駅間走行中）,惰行中,14.0,力行（加速）,27.0,70.0,70.0,63.85,70.0,928.4,12.0,182.5,0.0,12.5,この先制限速度なし,138m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
193.0,Train11,巡航フェーズ（駅間走行中）,惰行中,5.0,力行（加速）,13.0,70.0,70.0,67.26,70.0,987.4,0.0,202.1,14.0,12.5,この先制限速度なし,197m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
163.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,14.0,惰行,18.0,70.0,70.0,65.79,70.0,680.5,17.0,225.5,0.0,0.0,この先制限速度なし,90m先に上り勾配6.1‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
140.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,15.0,惰行,10.0,70.0,70.0,61.8,70.0,1406.4,40.0,199.6,0.0,0.0,この先制限速度なし,416m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
151.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,2.0,惰行,18.0,70.0,70.0,62.0,70.0,891.5,29.0,172.3,0.0,12.5,この先制限速度なし,101m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
143.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,5.0,惰行,15.0,70.0,70.0,66.51,70.0,1016.3,37.0,230.4,0.0,0.0,この先制限速度なし,26m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
135.0,Train11,巡航フェーズ（駅間走行中）,惰行中,12.0,力行（加速）,19.0,70.0,70.0,65.46,70.0,1161.4,45.0,223.3,0.0,0.0,この先制限速度なし,171m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
180.0,Train11,巡航フェーズ（駅間走行中）,惰行中,6.0,力行（加速）,21.0,70.0,70.0,67.17,70.0,1173.2,0.0,234.8,1.0,0.0,この先制限速度なし,183m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
203.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,11.0,惰行,12.0,70.0,70.0,65.7,70.0,654.5,0.0,224.9,24.0,0.0,この先制限速度なし,64m先に上り勾配6.1‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
173.0,Train11,巡航フェーズ（駅間走行中）,惰行中,4.0,力行（加速）,3.0,70.0,70.0,64.38,70.0,1016.8,7.0,216.2,0.0,0.0,この先制限速度なし,26m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
209.0,Train11,巡航フェーズ（駅間走行中）,惰行中,5.0,力行（加速）,17.0,70.0,70.0,66.37,70.0,479.8,0.0,212.3,30.0,6.1,この先制限速度なし,289m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
216.0,Train11,巡航フェーズ（駅間走行中）,惰行中,11.0,力行（加速）,17.0,70.0,70.0,65.11,70.0,509.0,0.0,204.4,37.0,6.1,この先制限速度なし,319m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
138.0,Train11,巡航フェーズ（駅間走行中）,惰行中,8.0,力行（加速）,29.0,70.0,70.0,65.08,70.0,1036.8,42.0,220.8,0.0,0.0,この先制限速度なし,46m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
171.0,Train11,巡航フェーズ（駅間走行中）,惰行中,2.0,力行（加速）,9.0,70.0,70.0,62.2,70.0,812.0,9.0,173.4,0.0,12.5,この先制限速度なし,21m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
188.0,Train11,巡航フェーズ（駅間走行中）,惰行中,9.0,力行（加速）,16.0,70.0,70.0,65.65,70.0,544.4,0.0,207.8,9.0,6.1,この先制限速度なし,354m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
160.0,Train11,巡航フェーズ（駅間走行中）,惰行中,6.0,力行（加速）,27.0,70.0,70.0,67.21,70.0,1074.9,20.0,235.1,0.0,0.0,この先制限速度なし,84m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
157.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,17.0,惰行,7.0,70.0,70.0,62.82,70.0,1420.5,23.0,206.0,0.0,0.0,この先制限速度なし,430m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
167.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,8.0,惰行,10.0,70.0,70.0,64.7,70.0,706.5,13.0,218.3,0.0,0.0,この先制限速度なし,116m先に上り勾配6.1‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
215.0,Train11,巡航フェーズ（駅間走行中）,惰行中,6.0,力行（加速）,3.0,70.0,70.0,65.87,70.0,753.1,0.0,226.0,36.0,0.0,この先制限速度なし,163m先に上り勾配6.1‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
190.0,Train11,巡航フェーズ（駅間走行中）,惰行中,15.0,力行（加速）,23.0,70.0,70.0,63.93,70.0,497.7,0.0,197.3,11.0,6.1,この先制限速度なし,307m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
163.0,Train11,巡航フェーズ（駅間走行中）,惰行中,14.0,力行（加速）,26.0,70.0,70.0,65.37,70.0,1004.1,17.0,222.7,0.0,0.0,この先制限速度なし,14m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
128.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,27.0,惰行,15.0,70.0,70.0,65.24,70.0,1219.9,52.0,221.9,0.0,0.0,この先制限速度なし,229m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
127.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,26.0,惰行,15.0,70.0,70.0,64.74,70.0,1237.9,53.0,218.6,0.0,0.0,この先制限速度なし,247m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
141.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,18.0,惰行,6.0,70.0,70.0,64.12,70.0,1411.4,39.0,214.5,0.0,0.0,この先制限速度なし,421m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
167.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,15.0,惰行,9.0,70.0,70.0,67.37,70.0,924.9,13.0,202.7,0.0,12.5,この先制限速度なし,134m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
189.0,Train11,巡航フェーズ（駅間走行中）,惰行中,1.0,力行（加速）,13.0,70.0,70.0,68.28,70.0,1062.7,0.0,242.4,10.0,0.0,この先制限速度なし,72m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
145.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,7.0,惰行,15.0,70.0,70.0,67.19,70.0,979.1,35.0,201.7,0.0,12.5,この先制限速度なし,189m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
123.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,15.0,惰行,8.0,70.0,70.0,65.68,70.0,1392.4,57.0,224.8,0.0,0.0,この先制限速度なし,402m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
152.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,3.0,惰行,1.0,70.0,70.0,68.72,70.0,936.0,28.0,210.7,0.0,12.5,この先制限速度なし,146m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
210.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,5.0,惰行,11.0,70.0,70.0,62.97,70.0,745.7,0.0,207.0,31.0,0.0,この先制限速度なし,155m先に上り勾配6.1‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
161.0,Train11,巡航フェーズ（駅間走行中）,惰行中,5.0,力行（加速）,18.0,70.0,70.0,67.29,70.0,679.3,19.0,235.6,0.0,0.0,この先制限速度なし,89m先に上り勾配6.1‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
167.0,Train11,巡航フェーズ（駅間走行中）,惰行中,13.0,力行（加速）,27.0,70.0,70.0,64.52,70.0,946.2,13.0,186.2,0.0,12.5,この先制限速度なし,156m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
170.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,6.0,惰行,7.0,70.0,70.0,64.48,70.0,1193.5,10.0,216.9,0.0,0.0,この先制限速度なし,203m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
149.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,17.0,惰行,3.0,70.0,70.0,66.97,70.0,1452.1,31.0,233.5,0.0,0.0,この先制限速度なし,462m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
167.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,5.0,惰行,22.0,70.0,70.0,62.21,70.0,861.2,13.0,173.4,0.0,12.5,この先制限速度なし,71m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
168.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,17.0,惰行,6.0,70.0,70.0,61.58,70.0,1282.2,12.0,198.1,0.0,0.0,この先制限速度なし,292m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
221.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,16.0,惰行,11.0,70.0,70.0,67.84,70.0,545.0,0.0,221.5,42.0,6.1,この先制限速度なし,355m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
143.0,Train11,巡航フェーズ（駅間走行中）,惰行中,12.0,力行（加速）,20.0,70.0,70.0,65.49,70.0,1033.2,37.0,223.5,0.0,0.0,この先制限速度なし,43m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
207.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,2.0,惰行,9.0,70.0,70.0,62.19,70.0,530.6,0.0,186.9,28.0,6.1,この先制限速度なし,340m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
208.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,2.0,惰行,1.0,70.0,70.0,68.36,70.0,883.9,0.0,208.5,29.0,12.5,この先制限速度なし,93m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
119.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,25.0,惰行,16.0,70.0,70.0,66.36,70.0,1240.0,61.0,229.4,0.0,0.0,この先制限速度なし,250m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
159.0,Train11,巡航フェーズ（駅間走行中）,惰行中,4.0,力行（加速）,16.0,70.0,70.0,66.12,70.0,549.7,21.0,210.7,0.0,6.1,この先制限速度なし,359m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
108.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,11.0,惰行,10.0,70.0,70.0,61.02,70.0,1468.1,72.0,194.7,0.0,0.0,この先制限速度なし,478m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
147.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,9.0,惰行,15.0,70.0,70.0,67.23,70.0,941.8,33.0,201.9,0.0,12.5,この先制限速度なし,151m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
178.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,8.0,惰行,16.0,70.0,70.0,63.5,70.0,754.7,2.0,210.4,0.0,0.0,この先制限速度なし,164m先に上り勾配6.1‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
177.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,3.0,惰行,19.0,70.0,70.0,62.52,70.0,482.4,3.0,188.9,0.0,6.1,この先制限速度なし,292m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
186.0,Train11,巡航フェーズ（駅間走行中）,惰行中,6.0,力行（加速）,29.0,70.0,70.0,66.06,70.0,954.0,0.0,195.1,7.0,12.5,この先制限速度なし,164m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
169.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,16.0,惰行,9.0,70.0,70.0,65.56,70.0,1379.0,11.0,224.0,0.0,0.0,この先制限速度なし,388m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
169.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,3.0,惰行,17.0,70.0,70.0,64.56,70.0,1088.8,11.0,217.4,0.0,0.0,この先制限速度なし,98m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
170.0,Train11,巡航フェーズ（駅間走行中）,惰行中,1.0,力行（加速）,9.0,70.0,70.0,62.86,70.0,829.4,10.0,177.0,0.0,12.5,この先制限速度なし,39m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
214.0,Train11,巡航フェーズ（駅間走行中）,惰行中,14.0,力行（加速）,17.0,70.0,70.0,64.47,70.0,544.9,0.0,200.6,35.0,6.1,この先制限速度なし,354m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
116.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,8.0,惰行,8.0,70.0,70.0,62.03,70.0,1516.7,64.0,201.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
147.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,9.0,惰行,16.0,70.0,70.0,63.86,70.0,734.6,33.0,212.8,0.0,0.0,この先制限速度なし,144m先に上り勾配6.1‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
184.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,11.0,惰行,6.0,70.0,70.0,62.8,70.0,1213.7,0.0,205.9,5.0,0.0,この先制限速度なし,223m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
131.0,Train11,巡航フェーズ（駅間走行中）,惰行中,13.0,力行（加速）,15.0,70.0,70.0,65.17,70.0,976.9,49.0,189.9,0.0,12.5,この先制限速度なし,186m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
147.0,Train11,巡航フェーズ（駅間走行中）,惰行中,7.0,力行（加速）,20.0,70.0,70.0,66.91,70.0,1218.5,33.0,233.1,0.0,0.0,この先制限速度なし,228m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
217.0,Train11,巡航フェーズ（駅間走行中）,惰行中,8.0,力行（加速）,3.0,70.0,70.0,65.41,70.0,716.6,0.0,223.0,38.0,0.0,この先制限速度なし,126m先に上り勾配6.1‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
142.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,7.0,惰行,14.0,70.0,70.0,64.85,70.0,863.9,38.0,188.1,0.0,12.5,この先制限速度なし,73m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
