time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
108.0,Train11,巡航フェーズ（駅間走行中）,惰行中,3.0,力行（加速）,2.0,70.0,70.0,67.21,67.2,509.1,72.0,217.6,0.0,6.1,この先制限速度なし,319m先に上り勾配9.2‰あり,前方509.5m先を0.0km/h,後続列車なし,20.0,15.0,未発車,100.0,67.2,12.0,-0.5
112.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,10.0,惰行,6.0,70.0,70.0,68.31,68.3,519.2,68.0,224.6,0.0,6.1,この先制限速度なし,329m先に上り勾配9.2‰あり,前方519.6m先を0.0km/h,後続列車なし,40.0,19.0,未発車,80.0,68.3,0.0,-0.5
136.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,41.0,惰行,51.0,70.0,70.0,64.97,65.0,355.9,44.0,203.6,0.0,6.1,この先制限速度なし,165m先に上り勾配9.2‰あり,前方356.2m先を0.0km/h,後続列車なし,60.0,15.0,未発車,60.0,65.0,0.0,-0.5
145.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,6.0,力行（加速）,12.0,70.0,70.0,45.5,70.0,378.1,35.0,101.0,0.0,6.1,この先制限速度なし,188m先に上り勾配9.2‰あり,前方378.5m先を0.0km/h,後続列車なし,80.0,26.0,未発車,40.0,43.4,0.0,-0.5
81.0,Train11,巡航フェーズ（駅間走行中）,惰行中,3.0,力行（加速）,6.0,70.0,70.0,69.45,69.5,1042.2,99.0,250.6,0.0,0.0,この先制限速度なし,52m先に上り勾配12.5‰あり,前方664.1m先を57.2km/h,後続列車なし,80.0,90.0,未発車,40.0,44.7,0.0,-0.5
115.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,6.0,惰行,6.0,70.0,70.0,68.77,68.8,473.9,65.0,227.5,0.0,6.1,この先制限速度なし,283m先に上り勾配9.2‰あり,前方474.3m先を0.0km/h,後続列車なし,20.0,15.0,未発車,100.0,68.8,19.0,-0.5
127.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,2.0,惰行,7.0,70.0,59.7,66.16,66.2,222.1,53.0,211.0,0.0,6.1,この先制限速度なし,32m先に上り勾配9.2‰あり,前方222.5m先を0.5km/h,後続列車なし,80.0,44.0,未発車,40.0,23.0,0.0,-0.5
49.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,50.0,ブレーキ（減速）,30,70.0,70.0,64.02,64.0,1626.3,131.0,213.8,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方1566.7m先を23.6km/h,後続列車なし,20.0,47.0,未発車,100.0,64.0,0.0,-0.5
112.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,3.0,惰行,6.0,70.0,70.0,67.72,67.7,485.8,68.0,220.8,0.0,6.1,この先制限速度なし,295m先に上り勾配9.2‰あり,前方486.1m先を0.0km/h,後続列車なし,40.0,19.0,未発車,80.0,67.7,0.0,-0.5
64.0,Train11,巡航フェーズ（駅間走行中）,惰行中,3.0,力行（加速）,62.0,70.0,70.0,69.6,69.6,1345.0,116.0,251.7,0.0,0.0,この先制限速度なし,355m先に上り勾配12.5‰あり,前方1343.4m先を4.3km/h,後続列車なし,20.0,32.0,未発車,100.0,69.6,0.0,-0.5
105.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,2.0,惰行,6.0,70.0,70.0,67.89,67.9,565.6,75.0,221.9,0.0,6.1,この先制限速度なし,375m先に上り勾配9.2‰あり,前方565.9m先を0.0km/h,後続列車なし,20.0,15.0,未発車,100.0,67.9,9.0,-0.5
126.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,3.0,惰行,6.0,70.0,70.0,67.01,67.0,262.3,54.0,216.3,0.0,6.1,この先制限速度なし,72m先に上り勾配9.2‰あり,前方469.2m先を40.7km/h,後続列車なし,20.0,0.0,発車済み,100.0,67.0,0.0,-0.5
57.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,46.0,惰行,6.0,70.0,70.0,64.88,64.9,1563.5,123.0,219.5,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方1544.8m先を13.3km/h,後続列車なし,20.0,39.0,未発車,100.0,64.9,0.0,-0.5
80.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,2.0,惰行,6.0,70.0,70.0,69.1,69.1,1036.7,100.0,248.2,0.0,0.0,この先制限速度なし,46m先に上り勾配12.5‰あり,前方1027.5m先を9.4km/h,後続列車なし,40.0,51.0,未発車,80.0,69.1,0.0,-0.5
