time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
161.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,10.0,惰行,23.0,70.0,70.0,61.02,70.0,830.5,19.0,166.9,0.0,12.5,この先制限速度なし,40m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
144.0,Train11,巡航フェーズ（駅間走行中）,惰行中,4.0,力行（加速）,21.0,70.0,70.0,40.28,70.0,2003.3,36.0,88.4,0.0,-2.1,この先制限速度なし,213m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
153.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,17.0,惰行,6.0,70.0,70.0,64.86,70.0,1214.9,27.0,219.4,0.0,0.0,この先制限速度なし,224m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
140.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,14.0,惰行,10.0,70.0,70.0,62.04,70.0,1421.8,40.0,201.1,0.0,0.0,この先制限速度なし,431m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
217.2,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.5,惰行,0.1,70.0,70.0,41.01,70.0,69.7,0.0,79.2,37.3,9.2,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.05
204.9,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,0.1,70.0,70.0,35.56,70.0,45.3,0.0,59.7,25.0,9.2,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.05
222.0,Train11,巡航フェーズ（駅間走行中）,惰行中,27.0,力行（加速）,6.0,70.0,70.0,46.84,70.0,948.5,0.0,99.1,43.0,12.5,この先制限速度なし,158m先で上り勾配12.5‰が終わり平坦になる,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
210.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,7.0,力行（加速）,6.0,70.0,70.0,50.6,70.0,343.8,0.0,124.6,31.0,6.1,この先制限速度なし,153m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
220.5,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.2,惰行,0.1,70.0,70.0,34.03,70.0,49.8,0.0,54.7,40.6,9.2,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.05
225.9,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.7,力行（加速）,0.1,70.0,70.0,19.09,70.0,10.4,0.0,17.3,46.0,9.2,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.05
