time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
174.0,Train11,巡航フェーズ（駅間走行中）,惰行中,4.0,力行（加速）,12.0,70.0,70.0,54.46,70.0,1249.2,6.0,155.7,0.0,0.0,この先制限速度なし,259m先に上り勾配12.5‰あり,前方988.7m先を47.9km/h,後続列車なし,75.0,82.0,未発車,-45.0,58.3,0.0,-0.5
202.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,3.0,力行（加速）,17.0,70.0,70.0,50.32,70.0,390.2,0.0,123.2,23.0,6.1,この先制限速度なし,200m先に上り勾配9.2‰あり,前方390.6m先を0.0km/h,後続列車なし,75.0,24.0,未発車,-15.0,48.4,0.0,-0.5
201.2,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.5,惰行,0.1,70.0,0.0,25.69,70.0,31.2,0.0,31.3,21.3,9.2,この先制限速度なし,この先目立った勾配なし,前方31.6m先を0.0km/h,後続列車なし,90.0,40.7,未発車,-30.0,9.7,0.0,-0.05
227.6,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.7,力行（加速）,0.1,70.0,29.4,17.61,70.0,17.1,0.0,14.7,47.7,9.2,この先制限速度なし,この先目立った勾配なし,前方90.9m先を29.5km/h,後続列車なし,60.0,0.0,発車済み,0.0,70.0,0.0,-0.05
159.0,Train11,巡航フェーズ（駅間走行中）,惰行中,1.0,力行（加速）,26.0,70.0,70.0,51.32,70.0,1852.8,21.0,142.5,0.0,-2.1,この先制限速度なし,62m先に下り勾配6.7‰あり,前方840.4m先を63.1km/h,後続列車なし,75.0,127.0,未発車,-75.0,56.5,0.0,-0.5
172.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,2.0,惰行,1.0,70.0,70.0,46.64,70.0,1622.9,8.0,114.8,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方836.9m先を62.8km/h,後続列車なし,75.0,114.0,未発車,-75.0,58.8,0.0,-0.5
174.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,16.0,惰行,6.0,70.0,70.0,58.84,70.0,1609.4,6.0,181.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方597.0m先を63.1km/h,後続列車なし,90.0,127.0,未発車,-90.0,53.8,0.0,-0.5
114.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,25.0,ブレーキ（減速）,30,70.0,70.0,43.47,70.0,2002.0,66.0,102.8,0.0,-2.1,この先制限速度なし,211m先に下り勾配6.7‰あり,前方463.2m先を62.9km/h,後続列車なし,90.0,157.0,未発車,-60.0,50.9,0.0,-0.5
213.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,5.0,力行（加速）,3.0,70.0,70.0,35.2,70.0,349.1,0.0,60.8,34.0,6.1,この先制限速度なし,159m先に上り勾配9.2‰あり,前方349.5m先を0.0km/h,後続列車なし,90.0,28.0,未発車,-30.0,38.1,0.0,-0.5
197.2,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.6,力行（加速）,0.1,70.0,0.0,30.05,70.0,22.7,0.0,42.7,17.3,9.2,この先制限速度なし,この先目立った勾配なし,前方23.0m先を0.0km/h,後続列車なし,60.0,15.0,未発車,0.0,8.3,0.3,-0.05
