time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
97.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,11.0,惰行,25.0,70.0,70.0,64.54,64.5,743.6,81.0,217.2,0.0,0.0,この先制限速度なし,153m先に上り勾配6.1‰あり,前方744.0m先を0.0km/h,後続列車なし,20.0,15.0,未発車,100.0,64.5,1.0,-0.5
12.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,13.0,ブレーキ（減速）,30,70.0,70.0,28.74,70.0,2124.9,40.0,45.3,0.0,-2.1,この先制限速度なし,334m先に下り勾配6.7‰あり,前方551.0m先を63.4km/h,後続列車なし,80.0,159.0,未発車,40.0,54.1,0.0,-0.5
118.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,3.0,惰行,6.0,70.0,70.0,66.83,66.8,320.7,60.0,215.2,0.0,6.1,この先制限速度なし,130m先に上り勾配9.2‰あり,前方321.1m先を0.0km/h,後続列車なし,60.0,33.0,未発車,60.0,66.8,0.0,-0.5
153.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,18.0,力行（加速）,12.0,70.0,68.2,40.46,70.0,273.6,25.0,80.1,0.0,6.1,この先制限速度なし,83m先に上り勾配9.2‰あり,前方274.0m先を0.0km/h,後続列車なし,80.0,18.0,未発車,40.0,39.6,0.0,-0.5
125.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,3.0,惰行,6.0,70.0,69.9,66.85,66.8,285.4,52.0,215.3,0.0,6.1,この先制限速度なし,95m先に上り勾配9.2‰あり,前方284.8m先を3.0km/h,後続列車なし,80.0,46.0,未発車,40.0,26.8,0.0,-0.5
179.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.9,力行（加速）,0.1,70.0,19.4,18.95,70.0,67.5,0.0,17.1,1.1,9.2,この先制限速度なし,この先目立った勾配なし,前方67.8m先を0.0km/h,後続列車なし,80.0,15.0,未発車,40.0,14.5,22.1,-0.05
97.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,10.0,惰行,3.0,70.0,70.0,68.83,70.0,760.1,51.0,246.3,0.0,0.0,この先制限速度なし,170m先に上り勾配6.1‰あり,前方595.4m先を39.5km/h,後続列車なし,80.0,74.0,未発車,40.0,38.0,0.0,-0.5
125.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,1.0,惰行,6.0,70.0,63.3,66.3,66.3,244.3,52.0,211.8,0.0,6.1,この先制限速度なし,54m先に上り勾配9.2‰あり,前方243.7m先を3.0km/h,後続列車なし,80.0,46.0,未発車,40.0,24.2,0.0,-0.5
78.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,6.0,惰行,6.0,70.0,70.0,69.78,70.0,1116.4,71.0,253.0,0.0,0.0,この先制限速度なし,126m先に上り勾配12.5‰あり,前方962.5m先を38.1km/h,後続列車なし,60.0,73.0,未発車,60.0,57.2,0.0,-0.5
93.0,Train11,巡航フェーズ（駅間走行中）,惰行中,5.0,力行（加速）,26.0,70.0,70.0,67.88,68.0,972.5,71.0,205.7,0.0,12.5,この先制限速度なし,182m先で上り勾配12.5‰が終わり平坦になる,前方936.2m先を18.4km/h,後続列車なし,60.0,58.0,未発車,60.0,70.0,0.0,-0.5
117.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,2.0,惰行,6.0,70.0,70.0,66.62,66.6,340.8,61.0,213.9,0.0,6.1,この先制限速度なし,150m先に上り勾配9.2‰あり,前方341.2m先を0.0km/h,後続列車なし,40.0,15.0,未発車,80.0,66.6,1.0,-0.5
