time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
206.8,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,3.0,惰行,0.1,70.0,0.0,19.52,70.0,1.0,0.0,18.1,28.9,9.2,この先制限速度なし,この先目立った勾配なし,前方1.3m先を0.0km/h,後続列車なし,60.0,15.0,未発車,0.0,1.7,9.9,-0.05
225.2,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,3.3,惰行,0.1,70.0,0.0,36.98,70.0,45.4,0.0,64.5,47.3,9.2,この先制限速度なし,この先目立った勾配なし,前方45.7m先を0.0km/h,後続列車なし,60.0,16.7,未発車,-30.0,11.7,0.0,-0.05
183.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,5.0,ブレーキ（減速）,6.0,70.0,70.0,43.83,70.0,1115.3,0.0,101.5,51.0,0.0,この先制限速度なし,125m先に上り勾配12.5‰あり,前方768.7m先を55.5km/h,後続列車なし,90.0,88.0,未発車,-60.0,49.1,0.0,-0.5
222.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.6,力行（加速）,0.1,70.0,49.1,15.32,70.0,0.2,0.0,11.2,42.1,9.2,この先制限速度なし,この先目立った勾配なし,前方163.2m先を38.2km/h,後続列車なし,60.0,0.0,発車済み,0.0,70.0,0.0,-0.05
158.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,42.0,惰行,6.0,70.0,70.0,66.95,70.0,1418.6,0.0,233.4,39.0,0.0,この先制限速度なし,428m先に上り勾配12.5‰あり,前方909.8m先を60.5km/h,後続列車なし,75.0,98.0,未発車,-45.0,57.1,0.0,-0.5
183.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,4.0,惰行,6.0,70.0,59.1,67.06,70.0,255.4,0.0,216.6,19.0,6.1,この先制限速度なし,65m先に上り勾配9.2‰あり,前方219.1m先を18.4km/h,後続列車なし,90.0,58.0,未発車,-30.0,24.3,0.0,-0.5
177.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,1.0,ブレーキ（減速）,6.0,70.0,70.0,42.0,70.0,695.8,0.0,93.3,3.0,0.0,この先制限速度なし,105m先に上り勾配6.1‰あり,前方691.1m先を6.9km/h,後続列車なし,75.0,49.0,未発車,-15.0,48.4,0.0,-0.5
197.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,6.0,惰行,6.0,70.0,70.0,42.58,70.0,580.7,0.0,88.6,20.0,6.1,この先制限速度なし,390m先に上り勾配9.2‰あり,前方581.0m先を0.5km/h,後続列車なし,90.0,44.0,未発車,-30.0,48.3,0.0,-0.5
191.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,3.0,力行（加速）,2.0,70.0,70.0,53.31,70.0,364.1,0.0,138.1,14.0,6.1,この先制限速度なし,174m先に上り勾配9.2‰あり,前方364.4m先を0.0km/h,後続列車なし,60.0,20.0,未発車,0.0,51.5,0.0,-0.5
204.9,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.7,惰行,0.2,70.0,0.0,18.48,70.0,0.6,0.0,16.2,27.0,9.2,この先制限速度なし,この先目立った勾配なし,前方1.0m先を0.0km/h,後続列車なし,75.0,22.0,未発車,-15.0,1.4,0.0,-0.05
