time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
198.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,18.0,惰行,6.0,70.0,70.0,69.99,70.0,366.3,0.0,235.5,19.0,6.1,この先制限速度なし,176m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
159.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,8.0,惰行,6.0,70.0,70.0,67.33,70.0,772.4,21.0,235.9,0.0,0.0,この先制限速度なし,182m先に上り勾配6.1‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
187.0,Train11,巡航フェーズ（駅間走行中）,惰行中,1.0,力行（加速）,10.0,70.0,70.0,70.03,70.0,446.8,0.0,235.7,8.0,6.1,この先制限速度なし,256m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
115.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,8.0,惰行,7.0,70.0,70.0,69.02,70.0,1237.8,65.0,247.6,0.0,0.0,この先制限速度なし,247m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
154.0,Train11,巡航フェーズ（駅間走行中）,惰行中,4.0,力行（加速）,45.0,70.0,70.0,69.66,70.0,1195.9,26.0,252.1,0.0,0.0,この先制限速度なし,205m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
206.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,1.0,惰行,6.0,70.0,70.0,67.4,70.0,464.5,0.0,218.8,27.0,6.1,この先制限速度なし,274m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
122.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,41.0,惰行,6.0,70.0,70.0,67.07,70.0,1442.9,58.0,234.2,0.0,0.0,この先制限速度なし,452m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
120.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,61.0,ブレーキ（減速）,30,70.0,70.0,69.22,70.0,1422.5,60.0,249.0,0.0,0.0,この先制限速度なし,432m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
130.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,3.0,惰行,6.0,70.0,70.0,69.51,70.0,1229.9,50.0,251.0,0.0,0.0,この先制限速度なし,239m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
111.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,11.0,惰行,6.0,70.0,70.0,68.08,70.0,1319.5,69.0,241.1,0.0,0.0,この先制限速度なし,329m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,-0.5
